Date,Time,Tank,Position,PAR,Instrument,Measure_Type,Notes
20180919,10:10,12,4,650,Apogee,Six-point,Sunny
20180919,10:10,12,4,475,LICOR-193,Six-point,Sunny
20180919,10:10,12,5,660,Apogee,Six-point,Sunny
20180919,10:10,12,5,467,LICOR-193,Six-point,Sunny
20180919,10:10,12,6,610,Apogee,Six-point,Sunny
20180919,10:10,12,6,475,LICOR-193,Six-point,Sunny
20180919,10:13,6,1,510,Apogee,Six-point,Sunny
20180919,10:13,6,1,419,LICOR-193,Six-point,Sunny
20180919,10:13,6,2,550,Apogee,Six-point,Sunny
20180919,10:13,6,2,489,LICOR-193,Six-point,Sunny
20180919,10:13,6,3,580,Apogee,Six-point,Sunny
20180919,10:13,6,3,527,LICOR-193,Six-point,Sunny
20180919,10:13,6,4,588,Apogee,Six-point,Sunny
20180919,10:13,6,4,457,LICOR-193,Six-point,Sunny
20180919,10:13,6,5,600,Apogee,Six-point,Sunny
20180919,10:13,6,5,505,LICOR-193,Six-point,Sunny
20180919,10:13,6,6,610,Apogee,Six-point,Sunny
20180919,10:13,6,6,552,LICOR-193,Six-point,Sunny
20180919,10:15,11,1,423,LICOR-193,Six-point,Sunny/Clouds
20180919,10:15,11,2,472,LICOR-193,Six-point,Sunny/Clouds
20180919,10:15,11,3,471,LICOR-193,Six-point,Sunny/Clouds
20180919,10:15,11,4,245,LICOR-193,Six-point,Sunny/Clouds
20180919,10:15,11,5,385,LICOR-193,Six-point,Sunny/Clouds
20180919,10:15,11,6,261,LICOR-193,Six-point,Sunny/Clouds
20180919,10:19,5,1,108,LICOR-193,Six-point,Sunny/Clouds
20180919,10:19,5,2,204,LICOR-193,Six-point,Sunny/Clouds
20180919,10:19,5,3,261,LICOR-193,Six-point,Sunny/Clouds
20180919,10:19,5,4,93,LICOR-193,Six-point,Sunny/Clouds
20180919,10:19,5,5,134,LICOR-193,Six-point,Sunny/Clouds
20180919,10:19,5,6,302,LICOR-193,Six-point,Sunny/Clouds
20180919,10:23,10,1,106,LICOR-193,Six-point,Sunny/Clouds
20180919,10:23,10,2,112,LICOR-193,Six-point,Sunny/Clouds
20180919,10:23,10,3,88,LICOR-193,Six-point,Sunny/Clouds
20180919,10:23,10,4,170,LICOR-193,Six-point,Sunny/Clouds
20180919,10:23,10,5,128,LICOR-193,Six-point,Sunny/Clouds
20180919,10:23,10,6,70,LICOR-193,Six-point,Sunny/Clouds
20180919,10:24,9,1,91,LICOR-193,Six-point,Sunny/Clouds
20180919,10:24,9,2,104,LICOR-193,Six-point,Sunny/Clouds
20180919,10:24,9,3,107,LICOR-193,Six-point,Sunny/Clouds
20180919,10:24,9,4,222,LICOR-193,Six-point,Sunny/Clouds
20180919,10:24,9,5,145,LICOR-193,Six-point,Sunny/Clouds
20180919,10:24,9,6,187,LICOR-193,Six-point,Sunny/Clouds
20180919,10:24,4,1,86,LICOR-193,Six-point,Sunny/Clouds
20180919,10:24,4,2,61,LICOR-193,Six-point,Sunny/Clouds
20180919,10:24,4,3,68,LICOR-193,Six-point,Sunny/Clouds
20180919,10:24,4,4,148,LICOR-193,Six-point,Sunny/Clouds
20180919,10:24,4,5,203,LICOR-193,Six-point,Sunny/Clouds
20180919,10:24,4,6,105,LICOR-193,Six-point,Sunny/Clouds
20180919,10:25,3,1,227,LICOR-193,Six-point,Sunny/Clouds
20180919,10:25,3,2,355,LICOR-193,Six-point,Sunny/Clouds
20180919,10:25,3,3,490,LICOR-193,Six-point,Sunny/Clouds
20180919,10:25,3,4,341,LICOR-193,Six-point,Sunny/Clouds
20180919,10:25,3,5,236,LICOR-193,Six-point,Sunny/Clouds
20180919,10:25,3,6,341,LICOR-193,Six-point,Sunny/Clouds
