file.ID,Date.Time,PAR
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:16:00Z,17
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:17:00Z,17
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:18:00Z,20
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:19:00Z,24
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:20:00Z,24
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:21:00Z,33
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:22:00Z,43
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:23:00Z,49
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:24:00Z,59
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:25:00Z,62
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:26:00Z,49
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:27:00Z,49
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:28:00Z,62
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:29:00Z,59
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:30:00Z,49
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:31:00Z,43
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:32:00Z,33
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:33:00Z,24
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:34:00Z,36
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:35:00Z,52
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:36:00Z,55
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:37:00Z,36
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:38:00Z,30
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:39:00Z,30
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:40:00Z,33
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:41:00Z,46
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:42:00Z,46
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:43:00Z,52
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:44:00Z,52
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:45:00Z,43
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:46:00Z,33
