Species,Plug_ID,Airbrush_Date,Airbrush_Tech,vol_mL,Notes
Pacuta,1324,20200204,EC,29,
Mcapitata,1325,20200220,AF,28,
Pacuta,1326,20200127,AF,14.5,
Pacuta,1327,20200129,AF,15,10 mL added to original 20201109 ES
Mcapitata,1333,20200212,AM,31,
Pacuta,1336,20200128,DC,9,
Mcapitata,1337,20200211,EC,52.5,
Pacuta,1338,20200130,DC,21,
Pacuta,1339,20200128,DC,15,
Pacuta,1344,20200204,DC,22.5,
Mcapitata,1353,20200225,SG,24.5,
Mcapitata,1409,20200220,AF,46,
Mcapitata,1410,20200228,AM,45,
Pacuta,1411,20200203,AF,15,5 mL added to original 20201109 ES
Pacuta,1412,20200122,ES,15,5 mL added to original 20200728 ES
Mcapitata,1413,20200225,AM,37,
Pacuta,1414,20200203,AM,40,
Pacuta,1422,20200204,SG,17.5,
Pacuta,1423,20200121,ES,35,
Mcapitata,1426,20200219,AF,33,
Pacuta,1430,20200128,DC,20,
Pacuta,1432,20200127,AM,22.5,
Pacuta,1434,20200211,DC,45,
Pacuta,1437,20200128,DC,47.5,
Mcapitata,1438,20200220,DC,55,
Pacuta,1439,20200124,AF,19,
Pacuta,1441,20200130,DC,11,
Mcapitata,1443,20200124,AF,18,
Mcapitata,1444,20200121,ES,25,
Pacuta,1446,20200129,AM,37.5,
Mcapitata,1447,20200220,AF,17.5,
Mcapitata,1448,20200211,SG,30.5,
Mcapitata,1454,20200214,ES,23.5,
Pacuta,1456,20200211,DC,32.5,
Mcapitata,1461,20200212,AM,40,
Mcapitata,1469,20200217,AF,11.5,
Mcapitata,1470,20200219,AF,35.5,
Pacuta,1472,20200210,AM,20,
Pacuta,1473,20200211,DC,21,
Mcapitata,1479,20200225,SG,34,
Mcapitata,1480,20200220,AF,27.5,
Pacuta,1482,20200211,DC,14,5 mL added to original 20201109 ES
Mcapitata,1483,20200221,AM,55,
Pacuta,1484,20200203,AM,41.5,
Pacuta,1488,20200204,AM,23.5,5 mL added to original 20200728 ES
Mcapitata,1489,20200217,AF,17.5,10 mL added to original 20201109 ES
Pacuta,1490,20200128,AM,12,
Pacuta,1491,20200205,AM,28,
Pacuta,1492,20200206,EC,17,
Mcapitata,1494,20200225,DC,47.5,
Pacuta,1495,20200121,ES,17,5 mL added to original 20200728 ES
Mcapitata,1498,20200225,EC/AM,27.5,
Pacuta,1500,20200129,AF,15,
Mcapitata,1533,20200221,AM,42.5,
Mcapitata,1534,20200227,AF,17.5,
Pacuta,1537,20200127,AF,18.5,10 mL added to on 20200804 ES
Mcapitata,1538,20200219,AF,15,
Mcapitata,1540,20200218,DC,28,
Mcapitata,1541,20200228,AM,34.5,
Pacuta,1547,20200206,AF,15,10 mL added to original 20200728 ES
Mcapitata,1549,20200122,ES,32.5,
Mcapitata,1550,20200212,AM,42,
Mcapitata,1551,20200225,DC,90,
Pacuta,1553,20200127,AF,15,
Mcapitata,1560,20200218,DC,52,
Mcapitata,1564,20200226,AM,43,
Mcapitata,1565,20200212,SG,22,
Pacuta,1566,20200127,AM,13,
Mcapitata,1567,20191023,ES,20,
Mcapitata,1568,20200211,SG,16.5,
Pacuta,1570,20200128,DC,30,
Pacuta,1572,20200204,EC,17,5 mL added to original 20200728 ES
Pacuta,1573,20200128,AM,25,
Pacuta,1574,20200128,DC,20,
Mcapitata,1576,20200218,SG,32.5,
Pacuta,1578,20200210,AF,12,
Mcapitata,1584,20200218,SG,52.5,
Mcapitata,1585,20200211,SG,27.5,
Mcapitata,1586,20200211,SG,28.5,
Mcapitata,1587,20200218,SG,40,
Mcapitata,1592,20200221,EC,50,
Mcapitata,1593,20200220,AF,37.5,
Mcapitata,1597,20200220,DC,25,
Mcapitata,1598,20200219,SG,25,
Mcapitata,1599,20200219,AF,24.5,
Pacuta,1602,20200122,ES,18,
Mcapitata,1603,,,,
Pacuta,1606,20200204,DC,16,
Mcapitata,1608,20200214,ES,24,
Pacuta,1615,20191023,ES,17,
Mcapitata,1616,20200214,ES,40,
Pacuta,1618,20200130,DC,13,
Pacuta,1620,20200122,ES,16.5,5 mL added to original 20201109 ES
Pacuta,1621,20200129,AF,17,
Pacuta,1622,20200130,DC,17.5,
Mcapitata,1625,20200218,SG,45,
Pacuta,1626,20200121,ES,40,
Mcapitata,1629,20200212,SG,22.5,
Pacuta,1630,20200204,EC,22.5,
Mcapitata,1634,20200212,AF,14.5,
Pacuta,1636,20200206,AF,14.5,5 mL added to original 20201109 ES
Mcapitata,1638,20200217,AF,16,
Mcapitata,1639,20200218,EC,29,
Mcapitata,1640,20200220,DC,33,
Mcapitata,1643,20200221,EC,35,
Pacuta,1646,20200127,AF,17,
Mcapitata,1649,20200211,SG,38,
Mcapitata,1650,20200227,AF,33,
Mcapitata,1654,,,,
Pacuta,1655,20200128,DC,18,
Mcapitata,1679,20200224,AM,91,
Pacuta,1686,20200129,AF,17.5,10 mL added to original 20201109 ES
Mcapitata,1687,20200228,AM,48,
Mcapitata,1688,20200218,DC,21,
Pacuta,1690,20200204,DC,18,
Pacuta,1691,20200128,DC,12.5,
Pacuta,1693,20200127,AM,30,
Mcapitata,1695,20200225,DC,72.5,
Pacuta,1702,20200204,EC,15,5 mL added to original 20200728 ES
Mcapitata,1708,20200225,DC,46,
Pacuta,1710,20200124,AF,49,
Pacuta,1713,20200130,DC,11,
Mcapitata,1717,20200122,ES,27,
Mcapitata,1718,20200122,ES,40,
Mcapitata,1723,20200219,AF,25,
Mcapitata,1724,20200124,AF,30,
Mcapitata,1725,20200214,ES,31,
Mcapitata,1727,20200122,ES,15,
Mcapitata,1730,20200212,AM,35,
Pacuta,1731,20200130,AF,12.5,
Pacuta,1735,20200128,DC,29,
Mcapitata,1737,20200220,AF,20.5,
Pacuta,1738,20200205,AF,16,5 mL added to original 20200728 ES
Pacuta,1739,,,,
Pacuta,1741,20200122,ES,17.5,
Mcapitata,1743,20200219,SG,12.5,
Pacuta,1748,20200130,AF,18.5,10 mL added to original 20201109 ES
Mcapitata,1749,20200221,AM,58,
Pacuta,1752,20200124,AF,12.5,
Pacuta,1753,20200129,AF,12.5,
Pacuta,1756,20200203,AF,17,10 mL added to original 20201109 ES
Mcapitata,1758,20200220,AF,50,
Mcapitata,1760,20200219,SG,25.5,
Mcapitata,1761,20200302,AM,42.5,
Pacuta,1764,20200204,DC,23,
Pacuta,1770,20200204,SG,16,
Pacuta,1772,20200203,AF,12.5,5 mL added to original 20200728 ES
Mcapitata,1774,20200220,AF,30,
Pacuta,1778,20200204,ES,14,5 mL added to original 20200728 ES
Pacuta,1811,20200130,EC,12.5,
Mcapitata,1822,20200226,AM,40,
Mcapitata,1824,20200211,SG,25,
Pacuta,1825,20200128,DC,24.5,
Pacuta,1908,20200203,AM,21.5,
Mcapitata,1998,20200214,ES,29.5,
Mcapitata,2001,20200122,ES,17,
Mcapitata,2003,20200122,ES,22.5,
Mcapitata,2004,20200214,ES,17.5,
Mcapitata,2008,,,,
Mcapitata,2010,20200212,AM,36.5,
Mcapitata,2011,20200214,ES,41.5,
Pacuta,2013,20200206,AF,14.5,
Pacuta,2014,20200204,DC,15,
Pacuta,2015,20200204,DC,15,
Mcapitata,2018,20200217,AF,17.5,10 mL added to original 20201109 ES
Pacuta,2022,20200127,AM,20,
Mcapitata,2023,20200218,EC,40,
Mcapitata,2044,20200221,EC,25,
Pacuta,2058,20200210,AF,17,10 mL added to original 20200728 ES
Pacuta,2060,20200124,AF,16,
Pacuta,2062,20200203,AF,13,5 mL added to original 20200728 ES
Pacuta,2063,20200127,AM,34.5,
Mcapitata,2070,20200224,AF,22.5,
Pacuta,2074,20200130,AF,25,
Pacuta,2075,20200130,DC,13,
Pacuta,2079,20200130,DC,22.5,
Mcapitata,2153,20200214,ES,30,
Pacuta,2156,20200129,EC,15,10 mL added to original 20201109 ES
Mcapitata,2164,20200224,AM,48,
Mcapitata,2165,20200122,ES,29,
Mcapitata,2168,20200122,ES,55,
Pacuta,2169,20200204,SG,17,
Mcapitata,2172,20200221,EC,50,
Mcapitata,2184,20200228,AM,37.5,
Pacuta,2189,20200203,AF,14.5,10 mL added to original 20200728 ES
Pacuta,2192,20200121,ES,20,
Mcapitata,2193,20191023,ES,20,
Mcapitata,2198,20200302,AM/AF,42.5,
Mcapitata,2200,,,,
Pacuta,2203,20200130,AF,17,
Pacuta,2208,20200211,DC,21,
Mcapitata,2211,20200220,AF,26,
Mcapitata,2279,20200221,EC,47.5,
Mcapitata,2297,20200302,AM/AF,62.5,
Mcapitata,2301,20200214,ES,66,
Mcapitata,2303,20200302,AM/AF,54,
Mcapitata,2360,20200226,AM,51,
Mcapitata,2372,20200217,AF,39.5,
Mcapitata,2376,20200225,EC/AM,32.5,
Mcapitata,2378,20200220,DC,28,
Pacuta,2382,20200205,AM,24.5,
Pacuta,2384,20200211,DC,30,
Pacuta,2388,20200203,AM,31,
Mcapitata,2389,20200225,DC,26,
Mcapitata,2391,20200221,EC,65,
Pacuta,2393,20200129,AF,30,
Mcapitata,2394,20200219,AF,30,
Pacuta,2396,20200206,AF,15,
Mcapitata,2397,20200218,SG,24,
Mcapitata,2398,20200214,ES,45,
Pacuta,2401,20200127,AM,15,5 mL added to original 20201109 ES
Mcapitata,2404,20200219,AF,27.5,
Mcapitata,2407,20200226,AM,65,
Pacuta,2416,20200130,DC,12.5,
Mcapitata,2512,,,,
Pacuta,2515,20200124,AF,15.5,
Mcapitata,2517,20200225,AM,39,
Pacuta,2519,20200130,DC,23,
Pacuta,2521,20200129,AF,18.5,
Pacuta,2522,,,,
Pacuta,2523,,,,
Mcapitata,2525,20200226,AM,50,
Mcapitata,2528,,,,
Mcapitata,2529,20200225,EC/AM,32.5,
Pacuta,2530,20200130,EC,14,
Pacuta,2531,20200128,DC,20,
Mcapitata,2532,20200211,SG,80,
Mcapitata,2535,20200224,AM,31,
Pacuta,2540,20200210,AF,15,10 mL added to original 20200724 ES
Pacuta,2541,20200204,DC,30,
Mcapitata,2552,20200302,AM/AF,40,
Mcapitata,2565,20200217,AF,32.5,
Pacuta,2566,20200206,AF,12,5 mL added to original 20201109 ES
Pacuta,2666,20200129,AM,37,
Pacuta,2669,20200211,DC,12.5,
Pacuta,2728,20200130,AF,18,10 mL added to original 20201109 ES
Pacuta,2729,20200204,SG,15.5,
Mcapitata,2732,20200225,EC/AM,35,
Pacuta,2738,20191023,ES,15,
Mcapitata,2740,,,,
Mcapitata,2741,20200219,SG,32.5,
Pacuta,2744,20200206,EC,32.5,
Mcapitata,2749,20200225,EC/AM,49,
Pacuta,2751,20200211,DC,12.5,
Pacuta,2752,,,,
Mcapitata,2755,,,,
Mcapitata,2852,20200220,DC,24,
Pacuta,2853,20200204,DC,10,
Mcapitata,2857,20200214,ES,45,
Pacuta,2858,20200130,AF,17,10 mL added to original 20201109 ES
Pacuta,2859,,,,
Mcapitata,2863,20200224,AM,42.5,
Pacuta,2864,20200122,ES,16,
Mcapitata,2867,20200228,AF,42,
Mcapitata,2869,20200225,DC,32.5,
Pacuta,2871,20200122,ES,17,
Mcapitata,2872,20200213,AF,15.5,
Pacuta,2874,20200210,AM,51,
Mcapitata,2876,20200211,EC,36.5,
Pacuta,2880,,,,
Pacuta,2882,20200130,EC,17.5,
Mcapitata,2976,,,,
Mcapitata,2978,20200214,ES,32.5,
Pacuta,2981,,,,
Pacuta,2982,20200211,DC,18.5,10 mL added to original 20200728 ES
Pacuta,2984,,,,
Mcapitata,2989,20200225,AM,73,
Pacuta,2992,20200204,SG,18,10 mL added to original 20200728 ES
Pacuta,2996,20200130,AF,23,
Pacuta,2997,20200130,DC,20,
Pacuta,2998,20200129,AM,19.5,10 mL added to original 20201109 ES
Mcapitata,3000,20200212,AM,53,
Mcapitata,3002,20200214,ES,26.5,
Mcapitata,3003,,,,
