PLUG.ID,Sample,weight1.g,weight2.g,Notes
2519,Coral,4.4299,5.1043,
2521,Coral,2.428,2.7396,
2525,Coral,3.25,3.7608,
2529,Coral,1.9623,2.3542,
2530,Coral,3.4995,3.8964,
2531,Coral,6.6997,7.5149,
2532,Coral,4.7656,5.2947,
2535,Coral,2.1714,2.4767,
2540,Coral,5.5852,6.1881,
2541,Coral,6.2823,7.0627,
2552,Coral,2.7536,3.0844,
2565,Coral,9.0394,10.1395,
2566,Coral,4.318,4.8875,
2666,Coral,7.2115,8.2748,
2669,Coral,3.6119,3.888,
2728,Coral,2.4766,2.8015,
2729,Coral,2.9088,3.3486,
2732,Coral,3.6907,4.2921,
2738,Coral,3.2397,3.6793,
2741,Coral,3.7322,4.243,
2744,Coral,7.9957,9.0753,
2749,Coral,6.2002,6.813,
2751,Coral,2.2726,2.4304,
2852,Coral,1.658,1.9014,
2853,Coral,4.2044,4.7735,
2857,Coral,3.9304,4.4451,
2858,Coral,3.5155,4.2723,
2863,Coral,2.1493,2.4514,
2864,Coral,3.4558,3.9976,
2867,Coral,2.9017,3.4306,
2869,Coral,2.4388,2.794,
2871,Coral,3.5797,4.1058,
2872,Coral,2.3956,2.6602,
2874,Coral,9.7452,10.674,
2876,Coral,1.7124,2.0064,
2882,Coral,6.3728,7.2549,
2978,Coral,3.2008,3.5779,
2982,Coral,4.1506,4.4154,
2989,Coral,6.5673,7.516,
2992,Coral,2.5332,2.7499,
2996,Coral,7.8,8.7023,
2997,Coral,5.2159,5.9789,
2998,Coral,2.5069,2.9251,
3000,Coral,3.7045,4.4049,
3002,Coral,2.515,2.869,
