Date,Well,Plug_ID
20200723 Plate 2,C5,1300
20200723 Plate 2,C6,1300
20200723 Plate 2,C7,1411
20200723 Plate 2,C8,1411
20200723 Plate 2,C9,2407
20200723 Plate 2,C10,2407
20200723 Plate 2,C11,1243
20200723 Plate 2,C12,1243
20200723 Plate 2,D1,1353
20200723 Plate 2,D2,1353
20200723 Plate 2,D3,1409
20200723 Plate 2,D4,1409
20200723 Plate 2,D5,1234
20200723 Plate 2,D6,1234
20200723 Plate 2,D7,2297
20200723 Plate 2,D8,2297
20200723 Plate 2,D9,2389
20200723 Plate 2,D10,2389
20200723 Plate 2,D11,2552
20200723 Plate 2,D12,2552
20200723 Plate 2,E1,2989
20200723 Plate 2,E2,2989
20200723 Plate 2,E3,2540
20200723 Plate 2,E4,2540
20200723 Plate 2,E5,1625
20200723 Plate 2,E6,1625
20200723 Plate 2,E7,1636
20200723 Plate 2,E8,1636
20200723 Plate 2,E9,1066
20200723 Plate 2,E10,1066
20200723 Plate 2,E11,1534
20200723 Plate 2,E12,1534
20200723 Plate 2,F1,2525
20200723 Plate 2,F2,2525
20200723 Plate 2,F3,1065
20200723 Plate 2,F4,1065
20200723 Plate 2,F5,1756
20200723 Plate 2,F6,1756
20200723 Plate 2,F7,2376
20200723 Plate 2,F8,2376
20200723 Plate 2,F9,1761
20200723 Plate 2,F10,1761
20200723 Plate 2,F11,2394
20200723 Plate 2,F12,2394
20200723 Plate 2,G1,1533
20200723 Plate 2,G2,1533
20200723 Plate 2,G3,1086
20200723 Plate 2,G4,1086
20200723 Plate 2,G5,2070
20200723 Plate 2,G6,2070
20200723 Plate 2,G7,2279
20200723 Plate 2,G8,2279
20200723 Plate 2,G9,1036
20200723 Plate 2,G10,1036
20200723 Plate 2,G11,1483
20200723 Plate 2,G12,1483
20200723 Plate 2,H1,2741
20200723 Plate 2,H2,2741
20200723 Plate 2,H3,1122
20200723 Plate 2,H4,1122
20200723 Plate 2,H5,1191
20200723 Plate 2,H6,1191
20200723 Plate 2,H7,2044
20200723 Plate 2,H8,2044
20200723 Plate 2,H9,1482
20200723 Plate 2,H10,1482
20200723 Plate 2,H11,2566
20200723 Plate 2,H12,2566
20200723 Plate 3,A1,BK
20200723 Plate 3,A2,BK
20200723 Plate 3,A3,1211
20200723 Plate 3,A4,1211
20200723 Plate 3,A5,NA
20200723 Plate 3,A6,NA
20200723 Plate 3,A7,1718
20200723 Plate 3,A8,1718
20200723 Plate 3,A9,NA
20200723 Plate 3,A10,NA
20200723 Plate 3,A11,2541
20200723 Plate 3,A12,2541
20200723 Plate 3,B1,1622
20200723 Plate 3,B2,1622
20200723 Plate 3,B3,2521
20200723 Plate 3,B4,2521
20200723 Plate 3,B5,NA
20200723 Plate 3,B6,NA
20200723 Plate 3,B7,NA
20200723 Plate 3,B8,NA
20200723 Plate 3,B9,1537
20200723 Plate 3,B10,1537
20200723 Plate 3,B11,1222
20200723 Plate 3,B12,1222
20200723 Plate 3,C1,1574
20200723 Plate 3,C2,1574
20200723 Plate 3,C3,1233
20200723 Plate 3,C4,1233
20200723 Plate 3,C5,1286
20200723 Plate 3,C6,1286
20200723 Plate 3,C7,1046
20200723 Plate 3,C8,1046
20200723 Plate 3,C9,NA
20200723 Plate 3,C10,NA
20200723 Plate 3,C11,1098
20200723 Plate 3,C12,1098
20200723 Plate 3,D1,1690
20200723 Plate 3,D2,1690
20200723 Plate 3,D3,2074
20200723 Plate 3,D4,2074
20200723 Plate 3,D5,1566
20200723 Plate 3,D6,1566
20200723 Plate 3,D7,1194
20200723 Plate 3,D8,1194
20200723 Plate 3,D9,1423
20200723 Plate 3,D10,1423
20200723 Plate 3,D11,2530
20200723 Plate 3,D12,2530
20200723 Plate 3,E1,1130
20200723 Plate 3,E2,1130
20200723 Plate 3,E3,NA
20200723 Plate 3,E4,NA
20200723 Plate 3,E5,1908
20200723 Plate 3,E6,1908
20200723 Plate 3,E7,1549
20200723 Plate 3,E8,1549
20200723 Plate 3,E9,1256
20200723 Plate 3,E10,1256
20200723 Plate 3,E11,1553
20200723 Plate 3,E12,1553
20200723 Plate 3,F1,1550
20200723 Plate 3,F2,1550
20200723 Plate 3,F3,1272
20200723 Plate 3,F4,1272
20200723 Plate 3,F5,1339
20200723 Plate 3,F6,1339
20200723 Plate 3,F7,1116
20200723 Plate 3,F8,1116
20200723 Plate 3,F9,2882
20200723 Plate 3,F10,2882
20200723 Plate 3,F11,2666
20200723 Plate 3,F12,2666
20200723 Plate 3,G1,2874
20200723 Plate 3,G2,2874
20200723 Plate 3,G3,2381
20200723 Plate 3,G4,2381
20200723 Plate 3,G5,1638
20200723 Plate 3,G6,1638
20200723 Plate 3,G7,NA
20200723 Plate 3,G8,NA
20200723 Plate 3,G9,1646
20200723 Plate 3,G10,1646
20200723 Plate 3,G11,1630
20200723 Plate 3,G12,1630
20200723 Plate 3,H1,1727
20200723 Plate 3,H2,1727
20200723 Plate 3,H3,1691
20200723 Plate 3,H4,1691
20200723 Plate 3,H5,1693
20200723 Plate 3,H6,1693
20200723 Plate 3,H7,2996
20200723 Plate 3,H8,2996
20200723 Plate 3,H9,2864
20200723 Plate 3,H10,2864
20200723 Plate 3,H11,1170
20200723 Plate 3,H12,1170
20200724 Plate 4,A1,BK
20200724 Plate 4,A2,BK
20200724 Plate 4,A3,1825
20200724 Plate 4,A4,1825
20200724 Plate 4,A5,2003
20200724 Plate 4,A6,2003
20200724 Plate 4,A7,1717
20200724 Plate 4,A8,1717
20200724 Plate 4,A9,NA
20200724 Plate 4,A10,NA
20200724 Plate 4,A11,2063
20200724 Plate 4,A12,2063
20200724 Plate 4,B1,1444
20200724 Plate 4,B2,1444
20200724 Plate 4,B3,2398
20200724 Plate 4,B4,2398
20200724 Plate 4,B5,1602
20200724 Plate 4,B6,1602
20200724 Plate 4,B7,1621
20200724 Plate 4,B8,1621
20200724 Plate 4,B9,1655
20200724 Plate 4,B10,1655
20200724 Plate 4,B11,NA
20200724 Plate 4,B12,NA
20200724 Plate 4,C1,1326
20200724 Plate 4,C2,1326
20200724 Plate 4,C3,1430
20200724 Plate 4,C4,1430
20200724 Plate 4,C5,1439
20200724 Plate 4,C6,1439
20200724 Plate 4,C7,1573
20200724 Plate 4,C8,1573
20200724 Plate 4,C9,1454
20200724 Plate 4,C10,1454
20200724 Plate 4,C11,1067
20200724 Plate 4,C12,1067
20200724 Plate 4,D1,1240
20200724 Plate 4,D2,1240
20200724 Plate 4,D3,1271
20200724 Plate 4,D4,1271
20200724 Plate 4,D5,1586
20200724 Plate 4,D6,1586
20200724 Plate 4,D7,1156
20200724 Plate 4,D8,1156
20200724 Plate 4,D9,1752
20200724 Plate 4,D10,1752
20200724 Plate 4,D11,2192
20200724 Plate 4,D12,2192
20200724 Plate 4,E1,2165
20200724 Plate 4,E2,2165
20200724 Plate 4,E3,1469
20200724 Plate 4,E4,1469
20200724 Plate 4,E5,1629
20200724 Plate 4,E6,1629
20200724 Plate 4,E7,1649
20200724 Plate 4,E8,1649
20200724 Plate 4,E9,1044
20200724 Plate 4,E10,1044
20200724 Plate 4,E11,1142
20200724 Plate 4,E12,1142
20200724 Plate 4,F1,1634
20200724 Plate 4,F2,1634
20200724 Plate 4,F3,1725
20200724 Plate 4,F4,1725
20200724 Plate 4,F5,2153
20200724 Plate 4,F6,2153
20200724 Plate 4,F7,NA
20200724 Plate 4,F8,NA
20200724 Plate 4,F9,1319
20200724 Plate 4,F10,1319
20200724 Plate 4,F11,1585
20200724 Plate 4,F12,1585
20200724 Plate 4,G1,1565
20200724 Plate 4,G2,1565
20200724 Plate 4,G3,NA
20200724 Plate 4,G4,NA
20200724 Plate 4,G5,1437
20200724 Plate 4,G6,1437
20200724 Plate 4,G7,1182
20200724 Plate 4,G8,1182
20200724 Plate 4,G9,1284
20200724 Plate 4,G10,1284
20200724 Plate 4,G11,1448
20200724 Plate 4,G12,1448
20200724 Plate 4,H1,2565
20200724 Plate 4,H2,2565
20200724 Plate 4,H3,1741
20200724 Plate 4,H4,1741
20200724 Plate 4,H5,1710
20200724 Plate 4,H6,1710
20200724 Plate 4,H7,1088
20200724 Plate 4,H8,1088
20200724 Plate 4,H9,1608
20200724 Plate 4,H10,1608
20200724 Plate 4,H11,NA
20200724 Plate 4,H12,NA
20200724 Plate 5,A1,BK
20200724 Plate 5,A2,BK
20200724 Plate 5,A3,1275
20200724 Plate 5,A4,1275
20200724 Plate 5,A5,2729
20200724 Plate 5,A6,2729
20200724 Plate 5,A7,1484
20200724 Plate 5,A8,1484
20200724 Plate 5,A9,1500
20200724 Plate 5,A10,1500
20200724 Plate 5,A11,1252
20200724 Plate 5,A12,1252
20200724 Plate 5,B1,NA
20200724 Plate 5,B2,NA
20200724 Plate 5,B3,1758
20200724 Plate 5,B4,1758
20200724 Plate 5,B5,1599
20200724 Plate 5,B6,1599
20200724 Plate 5,B7,1494
20200724 Plate 5,B8,1494
20200724 Plate 5,B9,1226
20200724 Plate 5,B10,1226
20200724 Plate 5,B11,1597
20200724 Plate 5,B12,1597
20200724 Plate 5,C1,2857
20200724 Plate 5,C2,2857
20200724 Plate 5,C3,1288
20200724 Plate 5,C4,1288
20200724 Plate 5,C5,1753
20200724 Plate 5,C6,1753
20200724 Plate 5,C7,2198
20200724 Plate 5,C8,2198
20200724 Plate 5,C9,1616
20200724 Plate 5,C10,1616
20200724 Plate 5,C11,NA
20200724 Plate 5,C12,NA
20200724 Plate 5,D1,1165
20200724 Plate 5,D2,1165
20200724 Plate 5,D3,NA
20200724 Plate 5,D4,NA
20200724 Plate 5,D5,1344
20200724 Plate 5,D6,1344
20200724 Plate 5,D7,NA
20200724 Plate 5,D8,NA
20200724 Plate 5,D9,2531
20200724 Plate 5,D10,2531
20200724 Plate 5,D11,NA
20200724 Plate 5,D12,NA
20200724 Plate 5,E1,NA
20200724 Plate 5,E2,NA
20200724 Plate 5,E3,2749
20200724 Plate 5,E4,2749
20200724 Plate 5,E5,1687
20200724 Plate 5,E6,1687
20200724 Plate 5,E7,1136
20200724 Plate 5,E8,1136
20200724 Plate 5,E9,1640
20200724 Plate 5,E10,1640
20200724 Plate 5,E11,2529
20200724 Plate 5,E12,2529
20200724 Plate 5,F1,1824
20200724 Plate 5,F2,1824
20200724 Plate 5,F3,1061
20200724 Plate 5,F4,1061
20200724 Plate 5,F5,1774
20200724 Plate 5,F6,1774
20200724 Plate 5,F7,1210
20200724 Plate 5,F8,1210
20200724 Plate 5,F9,1299
20200724 Plate 5,F10,1299
20200724 Plate 5,F11,2416
20200724 Plate 5,F12,2416
20200724 Plate 5,G1,NA
20200724 Plate 5,G2,NA
20200724 Plate 5,G3,1593
20200724 Plate 5,G4,1593
20200724 Plate 5,G5,2378
20200724 Plate 5,G6,2378
20200724 Plate 5,G7,1568
20200724 Plate 5,G8,1568
20200724 Plate 5,G9,2172
20200724 Plate 5,G10,2172
20200724 Plate 5,G11,1822
20200724 Plate 5,G12,1822
20200724 Plate 5,H1,2184
20200724 Plate 5,H2,2184
20200724 Plate 5,H3,1443
20200724 Plate 5,H4,1443
20200724 Plate 5,H5,1564
20200724 Plate 5,H6,1564
20200724 Plate 5,H7,1305
20200724 Plate 5,H8,1305
20200724 Plate 5,H9,1325
20200724 Plate 5,H10,1325
20200724 Plate 5,H11,1102
20200724 Plate 5,H12,1102
20200724 Plate 6,A1,BK
20200724 Plate 6,A2,BK
20200724 Plate 6,A3,2997
20200724 Plate 6,A4,2997
20200724 Plate 6,A5,NA
20200724 Plate 6,A6,NA
20200724 Plate 6,A7,NA
20200724 Plate 6,A8,NA
20200724 Plate 6,A9,1080
20200724 Plate 6,A10,1080
20200724 Plate 6,A11,2014
20200724 Plate 6,A12,2014
20200724 Plate 6,B1,NA
20200724 Plate 6,B2,NA
20200724 Plate 6,B3,2022
20200724 Plate 6,B4,2022
20200724 Plate 6,B5,2388
20200724 Plate 6,B6,2388
20200724 Plate 6,B7,1811
20200724 Plate 6,B8,1811
20200724 Plate 6,B9,1298
20200724 Plate 6,B10,1298
20200724 Plate 6,B11,2015
20200724 Plate 6,B12,2015
20200724 Plate 6,C1,NA
20200724 Plate 6,C2,NA
20200724 Plate 6,C3,NA
20200724 Plate 6,C4,NA
20200724 Plate 6,C5,1723
20200724 Plate 6,C6,1723
20200724 Plate 6,C7,1146
20200724 Plate 6,C8,1146
20200724 Plate 6,C9,1297
20200724 Plate 6,C10,1297
20200724 Plate 6,C11,1490
20200724 Plate 6,C12,1490
20200724 Plate 6,D1,1166
20200724 Plate 6,D2,1166
20200724 Plate 6,D3,1171
20200724 Plate 6,D4,1171
20200724 Plate 6,D5,2396
20200724 Plate 6,D6,2396
20200724 Plate 6,D7,2075
20200724 Plate 6,D8,2075
20200724 Plate 6,D9,2013
20200724 Plate 6,D10,2013
20200724 Plate 6,D11,NA
20200724 Plate 6,D12,NA
20200724 Plate 6,E1,1724
20200724 Plate 6,E2,1724
20200724 Plate 6,E3,2872
20200724 Plate 6,E4,2872
20200724 Plate 6,E5,2853
20200724 Plate 6,E6,2853
20200724 Plate 6,E7,1273
20200724 Plate 6,E8,1273
20200724 Plate 6,E9,2168
20200724 Plate 6,E10,2168
20200724 Plate 6,E11,1643
20200724 Plate 6,E12,1643
20200724 Plate 6,F1,1042
20200724 Plate 6,F2,1042
20200724 Plate 6,F3,NA
20200724 Plate 6,F4,NA
20200724 Plate 6,F5,2535
20200724 Plate 6,F6,2535
20200724 Plate 6,F7,2060
20200724 Plate 6,F8,2060
20200724 Plate 6,F9,1639
20200724 Plate 6,F10,1639
20200724 Plate 6,F11,2010
20200724 Plate 6,F12,2010
20200724 Plate 6,G1,1432
20200724 Plate 6,G2,1432
20200724 Plate 6,G3,2203
20200724 Plate 6,G4,2203
20200724 Plate 6,G5,1743
20200724 Plate 6,G6,1743
20200724 Plate 6,G7,1749
20200724 Plate 6,G8,1749
20200724 Plate 6,G9,1592
20200724 Plate 6,G10,1592
20200724 Plate 6,G11,NA
20200724 Plate 6,G12,NA
20200724 Plate 6,H1,1181
20200724 Plate 6,H2,1181
20200724 Plate 6,H3,1324
20200724 Plate 6,H4,1324
20200724 Plate 6,H5,1118
20200724 Plate 6,H6,1118
20200724 Plate 6,H7,2532
20200724 Plate 6,H8,2532
20200724 Plate 6,H9,1135
20200724 Plate 6,H10,1135
20200724 Plate 6,H11,1216
20200724 Plate 6,H12,1216
20200729 Plate 7,A1,BK
20200729 Plate 7,A2,BK
20200729 Plate 7,A3,1304
20200729 Plate 7,A4,1304
20200729 Plate 7,A5,1232
20200729 Plate 7,A6,1232
20200729 Plate 7,A7,2519
20200729 Plate 7,A8,2519
20200729 Plate 7,A9,1438
20200729 Plate 7,A10,1438
20200729 Plate 7,A11,2169
20200729 Plate 7,A12,2169
20200729 Plate 7,B1,1446
20200729 Plate 7,B2,1446
20200729 Plate 7,B3,2079
20200729 Plate 7,B4,2079
20200729 Plate 7,B5,1180
20200729 Plate 7,B6,1180
20200729 Plate 7,B7,1447
20200729 Plate 7,B8,1447
20200729 Plate 7,B9,2001
20200729 Plate 7,B10,2001
20200729 Plate 7,B11,1764
20200729 Plate 7,B12,1764
20200729 Plate 7,C1,1570
20200729 Plate 7,C2,1570
20200729 Plate 7,C3,1470
20200729 Plate 7,C4,1470
20200729 Plate 7,C5,NA
20200729 Plate 7,C6,NA
20200729 Plate 7,C7,1189
20200729 Plate 7,C8,1189
20200729 Plate 7,C9,1264
20200729 Plate 7,C10,1264
20200729 Plate 7,C11,1498
20200729 Plate 7,C12,1498
20200729 Plate 7,D1,1054
20200729 Plate 7,D2,1054
20200729 Plate 7,D3,NA
20200729 Plate 7,D4,NA
20200729 Plate 7,D5,1265
20200729 Plate 7,D6,1265
20200729 Plate 7,D7,1217
20200729 Plate 7,D8,1217
20200729 Plate 7,D9,1414
20200729 Plate 7,D10,1414
20200729 Plate 7,D11,1104
20200729 Plate 7,D12,1104
20200729 Plate 7,E1,1077
20200729 Plate 7,E2,1077
20200729 Plate 7,E3,1688
20200729 Plate 7,E4,1688
20200729 Plate 7,E5,1185
20200729 Plate 7,E6,1185
20200729 Plate 7,E7,2023
20200729 Plate 7,E8,2023
20200729 Plate 7,E9,1479
20200729 Plate 7,E10,1479
20200729 Plate 7,E11,2852
20200729 Plate 7,E12,2852
20200729 Plate 7,F1,1333
20200729 Plate 7,F2,1333
20200729 Plate 7,F3,1584
20200729 Plate 7,F4,1584
20200729 Plate 7,F5,NA
20200729 Plate 7,F6,NA
20200729 Plate 7,F7,2397
20200729 Plate 7,F8,2397
20200729 Plate 7,F9,2404
20200729 Plate 7,F10,2404
20200729 Plate 7,F11,1127
20200729 Plate 7,F12,1127
20200729 Plate 7,G1,2360
20200729 Plate 7,G2,2360
20200729 Plate 7,G3,1163
20200729 Plate 7,G4,1163
20200729 Plate 7,G5,1309
20200729 Plate 7,G6,1309
20200729 Plate 7,G7,2869
20200729 Plate 7,G8,2869
20200729 Plate 7,G9,1091
20200729 Plate 7,G10,1091
20200729 Plate 7,G11,1551
20200729 Plate 7,G12,1551
20200729 Plate 7,H1,1099
20200729 Plate 7,H2,1099
20200729 Plate 7,H3,1695
20200729 Plate 7,H4,1695
20200729 Plate 7,H5,1538
20200729 Plate 7,H6,1538
20200729 Plate 7,H7,2004
20200729 Plate 7,H8,2004
20200729 Plate 7,H9,1576
20200729 Plate 7,H10,1576
20200729 Plate 7,H11,1337
20200729 Plate 7,H12,1337
20200729 Plate 8,A1,BK
20200729 Plate 8,A2,BK
20200729 Plate 8,A3,1117
20200729 Plate 8,A4,1117
20200729 Plate 8,A5,NA
20200729 Plate 8,A6,NA
20200729 Plate 8,A7,1442
20200729 Plate 8,A8,1442
20200729 Plate 8,A9,NA
20200729 Plate 8,A10,NA
20200729 Plate 8,A11,1338
20200729 Plate 8,A12,1338
20200729 Plate 8,B1,2515
20200729 Plate 8,B2,2515
20200729 Plate 8,B3,1770
20200729 Plate 8,B4,1770
20200729 Plate 8,B5,2871
20200729 Plate 8,B6,2871
20200729 Plate 8,B7,NA
20200729 Plate 8,B8,NA
20200729 Plate 8,B9,NA
20200729 Plate 8,B10,NA
20200729 Plate 8,B11,NA
20200729 Plate 8,B12,NA
20200729 Plate 8,C1,1441
20200729 Plate 8,C2,1441
20200729 Plate 8,C3,NA
20200729 Plate 8,C4,NA
20200729 Plate 8,C5,1249
20200729 Plate 8,C6,1249
20200729 Plate 8,C7,1491
20200729 Plate 8,C8,1491
20200729 Plate 8,C9,1731
20200729 Plate 8,C10,1731
20200729 Plate 8,C11,1214
20200729 Plate 8,C12,1214
20200729 Plate 8,D1,NA
20200729 Plate 8,D2,NA
20200729 Plate 8,D3,1998
20200729 Plate 8,D4,1998
20200729 Plate 8,D5,1100
20200729 Plate 8,D6,1100
20200729 Plate 8,D7,1618
20200729 Plate 8,D8,1618
20200729 Plate 8,D9,2669
20200729 Plate 8,D10,2669
20200729 Plate 8,D11,1708
20200729 Plate 8,D12,1708
20200729 Plate 8,E1,1540
20200729 Plate 8,E2,1540
20200729 Plate 8,E3,NA
20200729 Plate 8,E4,NA
20200729 Plate 8,E5,1702
20200729 Plate 8,E6,1702
20200729 Plate 8,E7,1187
20200729 Plate 8,E8,1187
20200729 Plate 8,E9,1316
20200729 Plate 8,E10,1316
20200729 Plate 8,E11,1285
20200729 Plate 8,E12,1285
20200729 Plate 8,F1,1242
20200729 Plate 8,F2,1242
20200729 Plate 8,F3,1560
20200729 Plate 8,F4,1560
20200729 Plate 8,F5,NA
20200729 Plate 8,F6,NA
20200729 Plate 8,F7,NA
20200729 Plate 8,F8,NA
20200729 Plate 8,F9,1045
20200729 Plate 8,F10,1045
20200729 Plate 8,F11,NA
20200729 Plate 8,F12,NA
20200729 Plate 8,G1,1738
20200729 Plate 8,G2,1738
20200729 Plate 8,G3,3002
20200729 Plate 8,G4,3002
20200729 Plate 8,G5,1228
20200729 Plate 8,G6,1228
20200729 Plate 8,G7,1295
20200729 Plate 8,G8,1295
20200729 Plate 8,G9,NA
20200729 Plate 8,G10,NA
20200729 Plate 8,G11,2211
20200729 Plate 8,G12,2211
20200729 Plate 8,H1,1778
20200729 Plate 8,H2,1778
20200729 Plate 8,H3,2863
20200729 Plate 8,H4,2863
20200729 Plate 8,H5,1092
20200729 Plate 8,H6,1092
20200729 Plate 8,H7,1084
20200729 Plate 8,H8,1084
20200729 Plate 8,H9,NA
20200729 Plate 8,H10,NA
20200729 Plate 8,H11,NA
20200729 Plate 8,H12,NA
20200730 Plate 10,A1,BK
20200730 Plate 10,A2,BK
20200730 Plate 10,A3,2978
20200730 Plate 10,A4,2978
20200730 Plate 10,A5,NA
20200730 Plate 10,A6,NA
20200730 Plate 10,A7,1174
20200730 Plate 10,A8,1174
20200730 Plate 10,A9,NA
20200730 Plate 10,A10,NA
20200730 Plate 10,A11,1737
20200730 Plate 10,A12,1737
20200730 Plate 10,B1,1587
20200730 Plate 10,B2,1587
20200730 Plate 10,B3,NA
20200730 Plate 10,B4,NA
20200730 Plate 10,B5,NA
20200730 Plate 10,B6,NA
20200730 Plate 10,B7,NA
20200730 Plate 10,B8,NA
20200730 Plate 10,B9,NA
20200730 Plate 10,B10,NA
20200730 Plate 10,B11,NA
20200730 Plate 10,B12,NA
20200730 Plate 10,C1,NA
20200730 Plate 10,C2,NA
20200730 Plate 10,C3,NA
20200730 Plate 10,C4,NA
20200730 Plate 10,C5,NA
20200730 Plate 10,C6,NA
20200730 Plate 10,C7,NA
20200730 Plate 10,C8,NA
20200730 Plate 10,C9,NA
20200730 Plate 10,C10,NA
20200730 Plate 10,C11,NA
20200730 Plate 10,C12,NA
20200730 Plate 10,D1,NA
20200730 Plate 10,D2,NA
20200730 Plate 10,D3,NA
20200730 Plate 10,D4,NA
20200730 Plate 10,D5,NA
20200730 Plate 10,D6,NA
20200730 Plate 10,D7,NA
20200730 Plate 10,D8,NA
20200730 Plate 10,D9,NA
20200730 Plate 10,D10,NA
20200730 Plate 10,D11,NA
20200730 Plate 10,D12,NA
20200730 Plate 10,E1,NA
20200730 Plate 10,E2,NA
20200730 Plate 10,E3,NA
20200730 Plate 10,E4,NA
20200730 Plate 10,E5,NA
20200730 Plate 10,E6,NA
20200730 Plate 10,E7,NA
20200730 Plate 10,E8,NA
20200730 Plate 10,E9,NA
20200730 Plate 10,E10,NA
20200730 Plate 10,E11,NA
20200730 Plate 10,E12,NA
20200730 Plate 10,F1,NA
20200730 Plate 10,F2,NA
20200730 Plate 10,F3,NA
20200730 Plate 10,F4,NA
20200730 Plate 10,F5,NA
20200730 Plate 10,F6,NA
20200730 Plate 10,F7,NA
20200730 Plate 10,F8,NA
20200730 Plate 10,F9,NA
20200730 Plate 10,F10,NA
20200730 Plate 10,F11,NA
20200730 Plate 10,F12,NA
20200730 Plate 10,G1,NA
20200730 Plate 10,G2,NA
20200730 Plate 10,G3,NA
20200730 Plate 10,G4,NA
20200730 Plate 10,G5,NA
20200730 Plate 10,G6,NA
20200730 Plate 10,G7,NA
20200730 Plate 10,G8,NA
20200730 Plate 10,G9,NA
20200730 Plate 10,G10,NA
20200730 Plate 10,G11,NA
20200730 Plate 10,G12,NA
20200730 Plate 10,H1,NA
20200730 Plate 10,H2,NA
20200730 Plate 10,H3,NA
20200730 Plate 10,H4,NA
20200730 Plate 10,H5,NA
20200730 Plate 10,H6,NA
20200730 Plate 10,H7,NA
20200730 Plate 10,H8,NA
20200730 Plate 10,H9,NA
20200730 Plate 10,H10,NA
20200730 Plate 10,H11,NA
20200730 Plate 10,H12,NA
20200730 Plate 9,A1,BK
20200730 Plate 9,A2,BK
20200730 Plate 9,A3,1492
20200730 Plate 9,A4,1492
20200730 Plate 9,A5,1281
20200730 Plate 9,A6,1281
20200730 Plate 9,A7,2164
20200730 Plate 9,A8,2164
20200730 Plate 9,A9,NA
