"","Date.x","Timepoint","Date.Num","Species.x","Treatment","Plug.ID","Tank.x","Light.or.Dark.x","Vol.ml","Surface.Area","umol.L.sec","umol.sec","Group","Date.y","Species.y","Tank.y","Light.or.Dark.y","Blank.umol.sec","umol.sec.corr","Rdark_umol.cm2.hr"
"36",20180922,"Day1","9/22/18","Montipora","HTAC","2153",4,"Resp",600,16.3199362,-0.0044439240465625,-0.0026663544279375,"20180922_4_Resp",20180922,"Blank",4,"Resp",-0.000434591171171121,-0.00223176325676638,-0.492302642969827
"38",20180922,"Day1","9/22/18","Pocillopora","HTHC","1098",2,"Resp",592,19.07189,-0.00486527829893689,-0.00288024475297064,"20180922_2_Resp",20180922,"Blank",2,"Resp",-0.000402179512955394,-0.00247806524001524,-0.467758301041736
"40",20180922,"Day1","9/22/18","Pocillopora","ATAC","1100",1,"Resp",596,16.34231,-0.00419535135135135,-0.0025004294054054,"20180922_1_Resp",20180922,"Blank",1,"Resp",-0.000169218058132348,-0.00233121134727306,-0.513535776165242
"42",20180922,"Day1","9/22/18","Pocillopora","ATAC","1116",1,"Resp",592,27.92737,-0.00633487713675217,-0.00375024726495728,"20180922_1_Resp",20180922,"Blank",1,"Resp",-0.000169218058132348,-0.00358102920682494,-0.461615438352046
"44",20180922,"Day1","9/22/18","Pocillopora","ATHC","1211",3,"Resp",592,37.80756,-0.0104723001666398,-0.00619960169865076,"20180922_3_Resp",20180922,"Blank",3,"Resp",-0.000340336687808317,-0.00585926501084244,-0.557913656396573
"46",20180922,"Day1","9/22/18","Pocillopora","HTHC","1213",2,"Resp",597,16.12752,-0.00531431185116657,-0.00317264417514644,"20180922_2_Resp",20180922,"Blank",2,"Resp",-0.000402179512955394,-0.00277046466219105,-0.618425696194317
"48",20180922,"Day1","9/22/18","Pocillopora","ATHC","1253",3,"Resp",600,11.997352,-0.0034625518341308,-0.00207753110047848,"20180922_3_Resp",20180922,"Blank",3,"Resp",-0.000340336687808317,-0.00173719441267016,-0.521273351453936
"50",20180922,"Day1","9/22/18","Pocillopora","HTAC","1311",4,"Resp",600,21.707504,-0.00485215230037018,-0.00291129138022211,"20180922_4_Resp",20180922,"Blank",4,"Resp",-0.000434591171171121,-0.00247670020905099,-0.410739104439808
"52",20180922,"Day1","9/22/18","Pocillopora","HTAC","1488",7,"Resp",590,34.17856,-0.00487512327703358,-0.00287632273344981,"20180922_7_Resp",20180922,"Blank",7,"Resp",-0.000254349303213874,-0.00262197343023594,-0.276170334526948
"54",20180922,"Day1","9/22/18","Pocillopora","ATAC","1602",8,"Resp",596,27.00558,-0.00540234813797314,-0.00321979949023199,"20180922_8_Resp",20180922,"Blank",8,"Resp",-0.000201831356007698,-0.00301796813422429,-0.402312606624537
"56",20180922,"Day1","9/22/18","Pocillopora","ATAC","1620",8,"Resp",596,18.05165,-0.00319923776837735,-0.0019067457099529,"20180922_8_Resp",20180922,"Blank",8,"Resp",-0.000201831356007698,-0.0017049143539452,-0.34000723890629
"58",20180922,"Day1","9/22/18","Pocillopora","HTAC","1741",4,"Resp",604,19.98921,-0.00400333240999553,-0.0024180127756373,"20180922_4_Resp",20180922,"Blank",4,"Resp",-0.000434591171171121,-0.00198342160446618,-0.357208602845147
"60",20180922,"Day1","9/22/18","Pocillopora","HTAC","1770",7,"Resp",598,18.74076,-0.00376274200760114,-0.00225011972054548,"20180922_7_Resp",20180922,"Blank",7,"Resp",-0.000254349303213874,-0.00199577041733161,-0.383376848238481
"86",20180923,"Day2","9/23/18","Montipora","ATAC","1061",1,"Resp",592,33.1851718,-0.00595725794017892,-0.00352669670058592,"20180923_1_Resp",20180923,"Blank",1,"Resp",-0.000140112496759123,-0.0033865842038268,-0.367384059580986
"88",20180923,"Day2","9/23/18","Montipora","ATAC","1104",1,"Resp",594,22.5398029,-0.0050180398755247,-0.00298071568606167,"20180923_1_Resp",20180923,"Blank",1,"Resp",-0.000140112496759123,-0.00284060318930255,-0.453693917682358
"90",20180923,"Day2","9/23/18","Montipora","HTHC","1182",2,"Resp",598,41.1591305,-0.00710933333333337,-0.00425138133333336,"20180923_2_Resp",20180923,"Blank",2,"Resp",-0.000628738173913022,-0.00362264315942033,-0.316855949469418
"92",20180923,"Day2","9/23/18","Montipora","HTHC","1197",2,"Resp",590,5.4374068,-0.00465961038961039,-0.00274917012987013,"20180923_2_Resp",20180923,"Blank",2,"Resp",-0.000628738173913022,-0.00212043195595711,-1.40389625463476
"94",20180923,"Day2","9/23/18","Montipora","HTAC","1242",4,"Resp",596,22.6919435,-0.00374370544090052,-0.00223124844277671,"20180923_4_Resp",20180923,"Blank",4,"Resp",-0.000460582120582141,-0.00177066632219457,-0.280910216434324
"96",20180923,"Day2","9/23/18","Montipora","HTHC","1265",5,"Resp",598,14.2660377,-0.00513118503118506,-0.00306844864864867,"20180923_5_Resp",20180923,"Blank",5,"Resp",0.0000929412823891219,-0.00316138993103779,-0.797769078637444
"98",20180923,"Day2","9/23/18","Montipora","HTAC","1299",4,"Resp",598,16.5794702,-0.00368549932523618,-0.00220392859649124,"20180923_4_Resp",20180923,"Blank",4,"Resp",-0.000460582120582141,-0.0017433464759091,-0.378543297075485
"100",20180923,"Day2","9/23/18","Montipora","ATHC","1304",3,"Resp",594,20.7096407,-0.00477008658008659,-0.00283343142857143,"20180923_3_Resp",20180923,"Blank",3,"Resp",-0.000365343064516182,-0.00246808836405525,-0.429032943608669
"102",20180923,"Day2","9/23/18","Montipora","HTAC","1470",7,"Resp",596,24.906932,-0.00659080497501552,-0.00392811976510925,"20180923_7_Resp",20180923,"Blank",7,"Resp",-0.000680765248923463,-0.00324735451618579,-0.46936636990332
"104",20180923,"Day2","9/23/18","Montipora","ATAC","1479",6,"Resp",590,16.1677955,-0.00345394061583575,-0.00203782496334309,"20180923_6_Resp",20180923,"Blank",6,"Resp",-0.00016734180623976,-0.00187048315710333,-0.416490879388721
"106",20180923,"Day2","9/23/18","Montipora","ATHC","1560",3,"Resp",596,36.411448,-0.00577150997151002,-0.00343981994301997,"20180923_3_Resp",20180923,"Blank",3,"Resp",-0.000365343064516182,-0.00307447687850379,-0.303973540481379
"108",20180923,"Day2","9/23/18","Montipora","ATAC","1564",8,"Resp",594,15.4876375,-0.00274503732981992,-0.00163055217391303,"20180923_8_Resp",20180923,"Blank",8,"Resp",-0.000287094774774787,-0.00134345739913825,-0.312277882078379
"110",20180923,"Day2","9/23/18","Montipora","ATAC","1650",8,"Resp",598,15.4339408,-0.0042568854282536,-0.00254561748609565,"20180923_8_Resp",20180923,"Blank",8,"Resp",-0.000287094774774787,-0.00225852271132087,-0.526805296593798
"112",20180923,"Day2","9/23/18","Montipora","HTAC","1687",9,"Resp",591,24.468409,-0.00438297043010756,-0.00259033552419357,"20180923_9_Resp",20180923,"Blank",9,"Resp",-0.0000773543475784127,-0.00251298117661515,-0.369731118840402
"114",20180923,"Day2","9/23/18","Montipora","HTAC","1708",9,"Resp",602,17.035892,-0.0037465243568691,-0.0022554076628352,"20180923_9_Resp",20180923,"Blank",9,"Resp",-0.0000773543475784127,-0.00217805331525679,-0.460263068991305
"116",20180923,"Day2","9/23/18","Montipora","HTHC","2008",10,"Resp",598,30,-0.00777874189979452,-0.00465168765607712,"20180923_10_Resp",20180923,"Blank",10,"Resp",-0.000691600566801635,-0.00396008708927549,-0.475210450713059
"118",20180923,"Day2","9/23/18","Montipora","HTHC","2297",5,"Resp",600,25.9808658,-0.00420274220032839,-0.00252164532019703,"20180923_5_Resp",20180923,"Blank",5,"Resp",0.0000929412823891219,-0.00261458660258616,-0.362286301071235
"120",20180923,"Day2","9/23/18","Montipora","ATAC","2360",6,"Resp",597,17.653404,-0.00305868001483131,-0.00182603196885429,"20180923_6_Resp",20180923,"Blank",6,"Resp",-0.00016734180623976,-0.00165869016261453,-0.338251171582111
"122",20180923,"Day2","9/23/18","Montipora","HTAC","2378",7,"Resp",596,28.0213401,-0.00638249471458777,-0.00380396684989431,"20180923_7_Resp",20180923,"Blank",7,"Resp",-0.000680765248923463,-0.00312320160097085,-0.40124868130397
"124",20180923,"Day2","9/23/18","Montipora","HTHC","2512",10,"Resp",594,30,-0.00736973973607031,-0.00437762540322576,"20180923_10_Resp",20180923,"Blank",10,"Resp",-0.000691600566801635,-0.00368602483642413,-0.442322980370896
"126",20180923,"Day2","9/23/18","Montipora","ATHC","2529",11,"Resp",598,17.7697468,-0.00286375849533749,-0.00171252758021182,"20180923_11_Resp",20180923,"Blank",11,"Resp",0.0000241436234264638,-0.00173667120363828,-0.351834857494864
"128",20180923,"Day2","9/23/18","Montipora","ATHC","2535",11,"Resp",600,13.8946356,-0.00302384615384615,-0.00181430769230769,"20180923_11_Resp",20180923,"Blank",11,"Resp",0.0000241436234264638,-0.00183845131573415,-0.47632949342284
"130",20180923,"Day2","9/23/18","Montipora","ATHC","2976",12,"Resp",594,30,-0.00336558129558129,-0.00199915528957529,"20180923_12_Resp",20180923,"Blank",12,"Resp",-0.000088264146341524,-0.00191089114323376,-0.229306937188051
"132",20180923,"Day2","9/23/18","Montipora","ATHC","3003",12,"Resp",598,30,-0.00498382239382233,-0.00298032579150575,"20180923_12_Resp",20180923,"Blank",12,"Resp",-0.000088264146341524,-0.00289206164516423,-0.347047397419708
"134",20180923,"Day2","9/23/18","Pocillopora","ATAC","1077",1,"Resp",598,29.8515023,-0.0043703823953824,-0.00261348867243868,"20180923_1_Resp",20180923,"Blank",1,"Resp",-0.000140112496759123,-0.00247337617567955,-0.298281612193648
"136",20180923,"Day2","9/23/18","Pocillopora","ATHC","1180",3,"Resp",596,26.8534,-0.00428057535959974,-0.00255122291432144,"20180923_3_Resp",20180923,"Blank",3,"Resp",-0.000365343064516182,-0.00218587984980526,-0.293041754835475
"138",20180923,"Day2","9/23/18","Pocillopora","ATAC","1187",1,"Resp",592,39.90173,-0.00714014261405075,-0.00422696442751804,"20180923_1_Resp",20180923,"Blank",1,"Resp",-0.000140112496759123,-0.00408685193075892,-0.368722532850884
"140",20180923,"Day2","9/23/18","Pocillopora","HTHC","1188",2,"Resp",602,11.62595,-0.00302449027975339,-0.00182074314841154,"20180923_2_Resp",20180923,"Blank",2,"Resp",-0.000628738173913022,-0.00119200497449852,-0.369106860789412
"142",20180923,"Day2","9/23/18","Pocillopora","ATHC","1252",3,"Resp",594,43.3249,-0.00829541646910066,-0.00492747738264579,"20180923_3_Resp",20180923,"Blank",3,"Resp",-0.000365343064516182,-0.00456213431812961,-0.37908185697524
"144",20180923,"Day2","9/23/18","Pocillopora","HTAC","1271",4,"Resp",596,27.86472,-0.00654292276910765,-0.00389958197038816,"20180923_4_Resp",20180923,"Blank",4,"Resp",-0.000460582120582141,-0.00343899984980602,-0.444303745356195
"146",20180923,"Day2","9/23/18","Pocillopora","HTHC","1324",2,"Resp",600,33.75794,-0.00963804511278197,-0.00578282706766918,"20180923_2_Resp",20180923,"Blank",2,"Resp",-0.000628738173913022,-0.00515408889375616,-0.549640174060449
"148",20180923,"Day2","9/23/18","Pocillopora","HTAC","1336",4,"Resp",598,21.12132,-0.00495973019228834,-0.00296591865498843,"20180923_4_Resp",20180923,"Blank",4,"Resp",-0.000460582120582141,-0.00250533653440629,-0.427019311475922
"150",20180923,"Day2","9/23/18","Pocillopora","HTHC","1339",5,"Resp",598,21.03182,-0.00525789089582195,-0.00314421875570153,"20180923_5_Resp",20180923,"Blank",5,"Resp",0.0000929412823891219,-0.00323716003809065,-0.554102124168347
"152",20180923,"Day2","9/23/18","Pocillopora","ATAC","1430",6,"Resp",594,33.028557,-0.0076378141299194,-0.00453686159317212,"20180923_6_Resp",20180923,"Blank",6,"Resp",-0.00016734180623976,-0.00436951978693236,-0.476262745385955
"154",20180923,"Day2","9/23/18","Pocillopora","ATAC","1437",6,"Resp",590,39.48111,-0.00784251394251391,-0.00462708322608321,"20180923_6_Resp",20180923,"Blank",6,"Resp",-0.00016734180623976,-0.00445974141984345,-0.406651918130884
"156",20180923,"Day2","9/23/18","Pocillopora","HTAC","1491",7,"Resp",592,30.46454,-0.00618899496336993,-0.003663885018315,"20180923_7_Resp",20180923,"Blank",7,"Resp",-0.000680765248923463,-0.00298311976939154,-0.35251578293352
"158",20180923,"Day2","9/23/18","Pocillopora","ATAC","1570",8,"Resp",594,45.92919,-0.0092864171122995,-0.0055161317647059,"20180923_8_Resp",20180923,"Blank",8,"Resp",-0.000287094774774787,-0.00522903698993112,-0.40985989876486
"160",20180923,"Day2","9/23/18","Pocillopora","ATAC","1574",8,"Resp",596,37.91943,-0.00652592334494777,-0.00388945031358887,"20180923_8_Resp",20180923,"Blank",8,"Resp",-0.000287094774774787,-0.00360235553881408,-0.342000919837949
"162",20180923,"Day2","9/23/18","Pocillopora","HTHC","1655",5,"Resp",596,23.65848,-0.00493286647992531,-0.00293998842203548,"20180923_5_Resp",20180923,"Blank",5,"Resp",0.0000929412823891219,-0.00303292970442461,-0.461506695947017
"164",20180923,"Day2","9/23/18","Pocillopora","HTAC","1691",9,"Resp",605,10.27906,-0.00255832478632476,-0.00154778649572648,"20180923_9_Resp",20180923,"Blank",9,"Resp",-0.0000773543475784127,-0.00147043214814807,-0.514984418160128
"166",20180923,"Day2","9/23/18","Pocillopora","HTAC","1735",9,"Resp",598,33.05988,-0.00553003565062397,-0.00330696131907313,"20180923_9_Resp",20180923,"Blank",9,"Resp",-0.0000773543475784127,-0.00322960697149472,-0.351682616433605
"168",20180923,"Day2","9/23/18","Pocillopora","ATHC","1825",11,"Resp",588,51.93427,-0.00776423265370632,-0.00456536880037932,"20180923_11_Resp",20180923,"Blank",11,"Resp",0.0000241436234264638,-0.00458951242380578,-0.318137613673992
"170",20180923,"Day2","9/23/18","Pocillopora","HTAC","2384",7,"Resp",604,24.76374,-0.00709116666666666,-0.00428306466666666,"20180923_7_Resp",20180923,"Blank",7,"Resp",-0.000680765248923463,-0.0036022994177432,-0.5236801025966
"172",20180923,"Day2","9/23/18","Pocillopora","HTHC","2522",10,"Resp",600,30,-0.00980858382209185,-0.00588515029325511,"20180923_10_Resp",20180923,"Blank",10,"Resp",-0.000691600566801635,-0.00519354972645348,-0.623225967174417
"174",20180923,"Day2","9/23/18","Pocillopora","HTHC","2523",10,"Resp",592,30,-0.00869581881533102,-0.00514792473867596,"20180923_10_Resp",20180923,"Blank",10,"Resp",-0.000691600566801635,-0.00445632417187433,-0.534758900624919
"176",20180923,"Day2","9/23/18","Pocillopora","ATHC","2531",11,"Resp",596,36.71125,-0.00848161683277961,-0.00505504363233665,"20180923_11_Resp",20180923,"Blank",11,"Resp",0.0000241436234264638,-0.00507918725576311,-0.498078221818848
"178",20180923,"Day2","9/23/18","Pocillopora","ATHC","2752",12,"Resp",596,30,-0.005708298957881,-0.00340214617889708,"20180923_12_Resp",20180923,"Blank",12,"Resp",-0.000088264146341524,-0.00331388203255555,-0.397665843906666
"180",20180923,"Day2","9/23/18","Pocillopora","ATHC","2880",12,"Resp",592,30,-0.00578725562072328,-0.00342605532746818,"20180923_12_Resp",20180923,"Blank",12,"Resp",-0.000088264146341524,-0.00333779118112666,-0.400534941735199
"206",20180929,"Week1","9/29/18","Montipora","ATAC","1067",1,"Resp",600,28.6522762,-0.00509638461538459,-0.00305783076923075,"20180929_1_Resp",20180929,"Blank",1,"Resp",0.000127400459770155,-0.00318523122900091,-0.400206683209457
"208",20180929,"Week1","9/29/18","Montipora","HTHC","1127",2,"Resp",600,13.9035851,-0.00277075163398685,-0.00166245098039211,"20180929_2_Resp",20180929,"Blank",2,"Resp",-0.0000838362507057706,-0.00157861472968634,-0.408744434330885
"210",20180929,"Week1","9/29/18","Montipora","ATAC","1189",1,"Resp",596,21.9894118,-0.00464470167513632,-0.00276824219838125,"20180929_1_Resp",20180929,"Blank",1,"Resp",0.000127400459770155,-0.0028956426581514,-0.474060591713738
"212",20180929,"Week1","9/29/18","Montipora","ATHC","1297",3,"Resp",602,14.5658443,-0.00239660737812927,-0.00144275764163382,"20180929_3_Resp",20180929,"Blank",3,"Resp",0.00010271660079045,-0.00154547424242427,-0.381969431921456
"214",20180929,"Week1","9/29/18","Montipora","HTAC","1333",4,"Resp",602,17.6489293,-0.00278525356125353,-0.00167672264387462,"20180929_4_Resp",20180929,"Blank",4,"Resp",-0.0000535377132671278,-0.0016231849306075,-0.33109463190988
"216",20180929,"Week1","9/29/18","Montipora","ATAC","1461",6,"Resp",600,23.9090685,-0.00439856410256407,-0.00263913846153844,"20180929_6_Resp",20180929,"Blank",6,"Resp",-0.000184409635854337,-0.0024547288256841,-0.369609705725791
"218",20180929,"Week1","9/29/18","Montipora","HTHC","1480",2,"Resp",594,21.0810428,-0.00448644110275681,-0.00266494601503755,"20180929_2_Resp",20180929,"Blank",2,"Resp",-0.0000838362507057706,-0.00258110976433177,-0.440774929387952
"220",20180929,"Week1","9/29/18","Montipora","ATHC","1550",3,"Resp",602,17.4967886,-0.00250313172043007,-0.0015068852956989,"20180929_3_Resp",20180929,"Blank",3,"Resp",0.00010271660079045,-0.00160960189648935,-0.331178878583563
"222",20180929,"Week1","9/29/18","Montipora","HTAC","1565",9,"Resp",602,14.5434706,-0.00265837633298946,-0.00160034255245965,"20180929_9_Resp",20180929,"Blank",9,"Resp",-0.000067630290598309,-0.00153271226186135,-0.37939803327968
"224",20180929,"Week1","9/29/18","Montipora","ATAC","1587",8,"Resp",598,25.3051825,-0.00514117794486217,-0.00307442441102758,"20180929_8_Resp",20180929,"Blank",8,"Resp",0.0000896802183324505,-0.00316410462936003,-0.450136119970528
"226",20180929,"Week1","9/29/18","Montipora","HTAC","1593",4,"Resp",596,20.297966,-0.00463955882352952,-0.00276517705882359,"20180929_4_Resp",20180929,"Blank",4,"Resp",-0.0000535377132671278,-0.00271163934555647,-0.480930042153154
"228",20180929,"Week1","9/29/18","Montipora","HTHC","1603",10,"Resp",596,30,-0.00450679802955654,-0.0026860516256157,"20180929_10_Resp",20180929,"Blank",10,"Resp",-0.000218306266221686,-0.00246774535939401,-0.296129443127281
"230",20180929,"Week1","9/29/18","Montipora","ATAC","1629",6,"Resp",602,15.0535892,-0.00622350649350651,-0.00374655090909092,"20180929_6_Resp",20180929,"Blank",6,"Resp",-0.000184409635854337,-0.00356214127323658,-0.851870501664261
"232",20180929,"Week1","9/29/18","Montipora","HTAC","1639",7,"Resp",600,13.8409389,-0.00234485507246386,-0.00140691304347832,"20180929_7_Resp",20180929,"Blank",7,"Resp",0.0000902461509505994,-0.00149715919442892,-0.389408055254409
"234",20180929,"Week1","9/29/18","Montipora","ATHC","1717",11,"Resp",592,18.5349247,-0.0042001448306596,-0.00248648573975048,"20180929_11_Resp",20180929,"Blank",11,"Resp",-0.0000739924786324236,-0.00241249326111806,-0.468573564802506
"236",20180929,"Week1","9/29/18","Montipora","ATHC","1718",11,"Resp",604,30.164733,-0.00543495012039906,-0.00328270987272103,"20180929_11_Resp",20180929,"Blank",11,"Resp",-0.0000739924786324236,-0.00320871739408861,-0.38294330729594
"238",20180929,"Week1","9/29/18","Montipora","HTAC","1724",9,"Resp",592,26.0032394,-0.00589573099415187,-0.00349027274853791,"20180929_9_Resp",20180929,"Blank",9,"Resp",-0.000067630290598309,-0.0034226424579396,-0.473845302850327
"240",20180929,"Week1","9/29/18","Montipora","HTAC","1758",7,"Resp",596,33.6505432,-0.00477826426024954,-0.00284784549910873,"20180929_7_Resp",20180929,"Blank",7,"Resp",0.0000902461509505994,-0.00293809165005932,-0.314322710256088
"242",20180929,"Week1","9/29/18","Montipora","HTHC","2165",5,"Resp",598,25.2872836,-0.00481766666666666,-0.00288096466666666,"20180929_5_Resp",20180929,"Blank",5,"Resp",-0.000136785349388741,-0.00274417931727792,-0.390672469944558
"244",20180929,"Week1","9/29/18","Montipora","HTHC","2168",5,"Resp",598,17.3893953,-0.00822061923583675,-0.00491593030303038,"20180929_5_Resp",20180929,"Blank",5,"Resp",-0.000136785349388741,-0.00477914495364163,-0.989391611168324
"246",20180929,"Week1","9/29/18","Montipora","HTHC","2200",10,"Resp",598,30,-0.00256897101449291,-0.00153624466666676,"20180929_10_Resp",20180929,"Blank",10,"Resp",-0.000218306266221686,-0.00131793840044507,-0.158152608053409
"248",20180929,"Week1","9/29/18","Montipora","ATAC","2394",8,"Resp",592,40.1702164,-0.00632879032258062,-0.00374664387096773,"20180929_8_Resp",20180929,"Blank",8,"Resp",0.0000896802183324505,-0.00383632408930018,-0.343806131984906
"250",20180929,"Week1","9/29/18","Montipora","ATHC","2528",12,"Resp",600,30,-0.00373748717948712,-0.00224249230769227,"20180929_12_Resp",20180929,"Blank",12,"Resp",-0.0000640271033314327,-0.00217846520436084,-0.261415824523301
"252",20180929,"Week1","9/29/18","Montipora","ATHC","2740",12,"Resp",600,30,-0.00595615942028995,-0.00357369565217397,"20180929_12_Resp",20180929,"Blank",12,"Resp",-0.0000640271033314327,-0.00350966854884254,-0.421160225861105
"254",20180929,"Week1","9/29/18","Pocillopora","ATAC","1054",1,"Resp",602,23.2020621,-0.00449883064516125,-0.00270829604838707,"20180929_1_Resp",20180929,"Blank",1,"Resp",0.000127400459770155,-0.00283569650815723,-0.439982764694265
"256",20180929,"Week1","9/29/18","Pocillopora","ATAC","1118",1,"Resp",592,15.9306352,-0.0037887948717949,-0.00224296656410258,"20180929_1_Resp",20180929,"Blank",1,"Resp",0.000127400459770155,-0.00237036702387274,-0.535654804645947
"258",20180929,"Week1","9/29/18","Pocillopora","HTAC","1240",4,"Resp",604,10.350654,-0.00276662596662591,-0.00167104208384205,"20180929_4_Resp",20180929,"Blank",4,"Resp",-0.0000535377132671278,-0.00161750437057492,-0.562574667655756
"260",20180929,"Week1","9/29/18","Pocillopora","ATHC","1258",3,"Resp",592,16.906125,-0.00321833333333308,-0.00190525333333318,"20180929_3_Resp",20180929,"Blank",3,"Resp",0.00010271660079045,-0.00200796993412363,-0.427578274905993
"262",20180929,"Week1","9/29/18","Pocillopora","ATHC","1294",3,"Resp",602,10.0239992,-0.00293168831168832,-0.00176487636363637,"20180929_3_Resp",20180929,"Blank",3,"Resp",0.00010271660079045,-0.00186759296442682,-0.670723783770508
"264",20180929,"Week1","9/29/18","Pocillopora","HTAC","1319",4,"Resp",604,28.0168653,-0.00533020421607391,-0.00321944334650864,"20180929_4_Resp",20180929,"Blank",4,"Resp",-0.0000535377132671278,-0.00316590563324151,-0.406799981283754
"266",20180929,"Week1","9/29/18","Pocillopora","HTHC","1326",2,"Resp",606,19.6894035,-0.0052815734989647,-0.00320063354037261,"20180929_2_Resp",20180929,"Blank",2,"Resp",-0.0000838362507057706,-0.00311679728966684,-0.569873548622263
"268",20180929,"Week1","9/29/18","Pocillopora","HTHC","1412",5,"Resp",606,13.6887983,-0.00242924731182796,-0.00147212387096774,"20180929_5_Resp",20180929,"Blank",5,"Resp",-0.000136785349388741,-0.001335338521579,-0.351179013112087
"270",20180929,"Week1","9/29/18","Pocillopora","HTHC","1432",2,"Resp",598,26.2180262,-0.00503916337285906,-0.00301341969696972,"20180929_2_Resp",20180929,"Blank",2,"Resp",-0.0000838362507057706,-0.00292958344626395,-0.40226141838817
"272",20180929,"Week1","9/29/18","Pocillopora","HTHC","1439",5,"Resp",596,47.3387246,-0.00859871657754007,-0.00512483508021388,"20180929_5_Resp",20180929,"Blank",5,"Resp",-0.000136785349388741,-0.00498804973082514,-0.379329590788564
"274",20180929,"Week1","9/29/18","Pocillopora","ATAC","1495",6,"Resp",602,12.4940469,-0.00286129870129867,-0.0017225018181818,"20180929_6_Resp",20180929,"Blank",6,"Resp",-0.000184409635854337,-0.00153809218232746,-0.443181612867074
"276",20180929,"Week1","9/29/18","Pocillopora","HTAC","1553",7,"Resp",594,41.5260578,-0.00705608883869752,-0.00419131677018633,"20180929_7_Resp",20180929,"Blank",7,"Resp",0.0000902461509505994,-0.00428156292113693,-0.37117962389613
"278",20180929,"Week1","9/29/18","Pocillopora","ATAC","1626",6,"Resp",592,34.2904287,-0.0124256666666667,-0.00735599466666669,"20180929_6_Resp",20180929,"Blank",6,"Resp",-0.000184409635854337,-0.00717158503081235,-0.752912899888139
"280",20180929,"Week1","9/29/18","Pocillopora","HTAC","1646",7,"Resp",590,28.7954674,-0.00547679653679661,-0.00323130995671,"20180929_7_Resp",20180929,"Blank",7,"Resp",0.0000902461509505994,-0.0033215561076606,-0.415259867863029
"282",20180929,"Week1","9/29/18","Pocillopora","ATAC","1693",8,"Resp",600,31.1581218,-0.00547847290640393,-0.00328708374384236,"20180929_8_Resp",20180929,"Blank",8,"Resp",0.0000896802183324505,-0.00337676396217481,-0.390150290247255
"284",20180929,"Week1","9/29/18","Pocillopora","HTAC","1710",9,"Resp",600,60.5212623,-0.00952083333333328,-0.00571249999999997,"20180929_9_Resp",20180929,"Blank",9,"Resp",-0.000067630290598309,-0.00564486970940166,-0.335775067828451
