"","Date.x","Timepoint","Date.Num","Species.x","Treatment","Plug.ID","Tank.x","Light.or.Dark.x","Vol.ml","Surface.Area","umol.L.sec","umol.sec","Group","Date.y","Species.y","Tank.y","Light.or.Dark.y","Blank.umol.sec","umol.sec.corr","Pnet_umol.cm2.hr"
"33",20180922,"Day1","9/22/18","Montipora","ATAC","2001",8,"Photo",596,12.69541,0.00713306013261614,0.00425130383903922,"20180922_8_Photo",20180922,"Blank",8,"Photo",5.22958644621343e-05,0.00419900797457709,1.19070031676626
"35",20180922,"Day1","9/22/18","Montipora","HTAC","2153",4,"Photo",600,16.3199362,0.00892294097312245,0.00535376458387347,"20180922_4_Photo",20180922,"Blank",4,"Photo",-0.000204037103777699,0.00555780168765117,1.22599045917497
"37",20180922,"Day1","9/22/18","Pocillopora","HTHC","1098",2,"Photo",592,19.07189,0.0140980105864539,0.00834602226718071,"20180922_2_Photo",20180922,"Blank",2,"Photo",-0.000157180741621251,0.00850320300880196,1.60506016088007
"39",20180922,"Day1","9/22/18","Pocillopora","ATAC","1100",1,"Photo",596,16.34231,0.0128071573310175,0.00763306576928643,"20180922_1_Photo",20180922,"Blank",1,"Photo",-7.62957587485974e-05,0.00770936152803503,1.69827285744341
"41",20180922,"Day1","9/22/18","Pocillopora","ATAC","1116",1,"Photo",592,27.92737,0.0291510695187165,0.0172574331550802,"20180922_1_Photo",20180922,"Blank",1,"Photo",-7.62957587485974e-05,0.0173337289138288,2.23441821015669
"43",20180922,"Day1","9/22/18","Pocillopora","ATHC","1211",3,"Photo",592,37.80756,0.0294255958383354,0.0174199527362946,"20180922_3_Photo",20180922,"Blank",3,"Photo",3.79724742658776e-05,0.0173819802620287,1.65509567248728
"45",20180922,"Day1","9/22/18","Pocillopora","HTHC","1213",2,"Photo",597,16.12752,0.0141567885230317,0.00845160274824992,"20180922_2_Photo",20180922,"Blank",2,"Photo",-0.000157180741621251,0.00860878348987118,1.92166064984178
"47",20180922,"Day1","9/22/18","Pocillopora","ATHC","1253",3,"Photo",600,11.997352,0.0131099920255183,0.00786599521531098,"20180922_3_Photo",20180922,"Blank",3,"Photo",3.79724742658776e-05,0.0078280227410451,2.34892515179703
"49",20180922,"Day1","9/22/18","Pocillopora","HTAC","1311",4,"Photo",600,21.707504,0.0119959066859067,0.00719754401154402,"20180922_4_Photo",20180922,"Blank",4,"Photo",-0.000204037103777699,0.00740158111532172,1.22748760129945
"51",20180922,"Day1","9/22/18","Pocillopora","HTAC","1488",7,"Photo",590,34.17856,0.00973530962541489,0.00574383267899478,"20180922_7_Photo",20180922,"Blank",7,"Photo",8.44438358081776e-05,0.00565938884318661,0.596098836097009
"53",20180922,"Day1","9/22/18","Pocillopora","ATAC","1602",8,"Photo",596,27.00558,0.0197556572009402,0.0117743716917604,"20180922_8_Photo",20180922,"Blank",8,"Photo",5.22958644621343e-05,0.0117220758272982,1.56262050206934
"55",20180922,"Day1","9/22/18","Pocillopora","ATAC","1620",8,"Photo",596,18.05165,0.0105383523463832,0.00628085799844439,"20180922_8_Photo",20180922,"Blank",8,"Photo",5.22958644621343e-05,0.00622856213398225,1.24214815168343
"57",20180922,"Day1","9/22/18","Pocillopora","HTAC","1741",4,"Photo",604,19.98921,0.0101255195681511,0.00611581381916326,"20180922_4_Photo",20180922,"Blank",4,"Photo",-0.000204037103777699,0.00631985092294096,1.13818721813356
"59",20180922,"Day1","9/22/18","Pocillopora","HTAC","1770",7,"Photo",598,18.74076,0.00863625366568928,0.00516447969208219,"20180922_7_Photo",20180922,"Blank",7,"Photo",8.44438358081776e-05,0.00508003585627401,0.975847782191674
"85",20180923,"Day2","9/23/18","Montipora","ATAC","1061",1,"Photo",592,33.1851718,0.013978225108225,0.0082751092640692,"20180923_1_Photo",20180923,"Blank",1,"Photo",0.000321724073028531,0.00795338519104067,0.862800616501446
"87",20180923,"Day2","9/23/18","Montipora","ATAC","1104",1,"Photo",594,22.5398029,0.0151795217391303,0.0090166359130434,"20180923_1_Photo",20180923,"Blank",1,"Photo",0.000321724073028531,0.00869491184001487,1.38872920774536
"89",20180923,"Day2","9/23/18","Montipora","HTHC","1182",2,"Photo",598,41.1591305,0.016202009640341,0.00968880176492392,"20180923_2_Photo",20180923,"Blank",2,"Photo",-0.000520031948051983,0.0102088337129759,0.892919770662143
"91",20180923,"Day2","9/23/18","Montipora","HTHC","1197",2,"Photo",590,5.4374068,0.010511241087344,0.00620163224153296,"20180923_2_Photo",20180923,"Blank",2,"Photo",-0.000520031948051983,0.00672166418958494,4.45028153540136
"93",20180923,"Day2","9/23/18","Montipora","HTAC","1242",4,"Photo",596,22.6919435,0.00705301075268808,0.0042035944086021,"20180923_4_Photo",20180923,"Blank",4,"Photo",-0.000706413793103454,0.00491000820170555,0.778956175619773
"95",20180923,"Day2","9/23/18","Montipora","HTHC","1265",5,"Photo",598,14.2660377,0.0168292079772078,0.0100638663703703,"20180923_5_Photo",20180923,"Blank",5,"Photo",0.000202787753697955,0.00986107861667231,2.48841926304599
"97",20180923,"Day2","9/23/18","Montipora","HTAC","1299",4,"Photo",598,16.5794702,0.00632374490174274,0.00378159945124216,"20180923_4_Photo",20180923,"Blank",4,"Photo",-0.000706413793103454,0.00448801324434561,0.97450928677107
"99",20180923,"Day2","9/23/18","Montipora","ATHC","1304",3,"Photo",594,20.7096407,0.0120114615384616,0.00713480815384619,"20180923_3_Photo",20180923,"Blank",3,"Photo",-7.47754385964245e-05,0.00720958359244261,1.25325694002955
"101",20180923,"Day2","9/23/18","Montipora","HTAC","1470",7,"Photo",596,24.906932,0.0128737530099757,0.00767275679394552,"20180923_7_Photo",20180923,"Blank",7,"Photo",-0.000729570196078373,0.00840232699002389,1.2144561668248
"103",20180923,"Day2","9/23/18","Montipora","ATAC","1479",6,"Photo",590,16.1677955,0.00789597069597078,0.00465862271062276,"20180923_6_Photo",20180923,"Blank",6,"Photo",0.000143539542483658,0.0045150831681391,1.00535038343977
"105",20180923,"Day2","9/23/18","Montipora","ATHC","1560",3,"Photo",596,36.411448,0.0220540056980057,0.0131441873960114,"20180923_3_Photo",20180923,"Blank",3,"Photo",-7.47754385964245e-05,0.0132189628346078,1.30695890491881
"107",20180923,"Day2","9/23/18","Montipora","ATAC","1564",8,"Photo",594,15.4876375,0.00599265819964343,0.0035596389705882,"20180923_8_Photo",20180923,"Blank",8,"Photo",-0.000186254358974362,0.00374589332956256,0.870708394771327
"109",20180923,"Day2","9/23/18","Montipora","ATAC","1650",8,"Photo",598,15.4339408,0.00929813519813488,0.00556028484848466,"20180923_8_Photo",20180923,"Blank",8,"Photo",-0.000186254358974362,0.00574653920745902,1.34039267189961
"111",20180923,"Day2","9/23/18","Montipora","HTAC","1687",9,"Photo",591,24.468409,0.0117782142857144,0.00696092464285721,"20180923_9_Photo",20180923,"Blank",9,"Photo",0.000254577142857234,0.00670634749999998,0.986694762213592
"113",20180923,"Day2","9/23/18","Montipora","HTAC","1708",9,"Photo",602,17.035892,0.0139389705882353,0.00839126029411765,"20180923_9_Photo",20180923,"Blank",9,"Photo",0.000254577142857234,0.00813668315126042,1.71943208753246
"115",20180923,"Day2","9/23/18","Montipora","HTHC","2008",10,"Photo",598,30,0.0155764160401003,0.00931469679197998,"20180923_10_Photo",20180923,"Blank",10,"Photo",-0.000526753846153823,0.0098414506381338,1.18097407657606
"117",20180923,"Day2","9/23/18","Montipora","HTHC","2297",5,"Photo",600,25.9808658,0.00988100562072343,0.00592860337243406,"20180923_5_Photo",20180923,"Blank",5,"Photo",0.000202787753697955,0.0057258156187361,0.793389118981938
"119",20180923,"Day2","9/23/18","Montipora","ATAC","2360",6,"Photo",597,17.653404,0.0088576195390435,0.00528799886480897,"20180923_6_Photo",20180923,"Blank",6,"Photo",0.000143539542483658,0.00514445932232531,1.04909249005864
"121",20180923,"Day2","9/23/18","Montipora","HTAC","2378",7,"Photo",596,28.0213401,0.0147233578016188,0.0087751212497648,"20180923_7_Photo",20180923,"Blank",7,"Photo",-0.000729570196078373,0.00950469144584318,1.2211010994808
"123",20180923,"Day2","9/23/18","Montipora","HTHC","2512",10,"Photo",594,30,0.0198306227106226,0.0117793898901098,"20180923_10_Photo",20180923,"Blank",10,"Photo",-0.000526753846153823,0.0123061437362636,1.47673724835164
"125",20180923,"Day2","9/23/18","Montipora","ATHC","2529",11,"Photo",598,17.7697468,0.0123523333333331,0.00738669533333319,"20180923_11_Photo",20180923,"Blank",11,"Photo",0.000225859047619076,0.00716083628571412,1.45072470186074
"127",20180923,"Day2","9/23/18","Montipora","ATHC","2535",11,"Photo",600,13.8946356,0.00885767148683729,0.00531460289210237,"20180923_11_Photo",20180923,"Blank",11,"Photo",0.000225859047619076,0.0050887438444833,1.31845687555418
"129",20180923,"Day2","9/23/18","Montipora","ATHC","2976",12,"Photo",594,30,0.0126034415954416,0.00748644430769231,"20180923_12_Photo",20180923,"Blank",12,"Photo",0.000549515939849722,0.00693692836784259,0.83243140414111
"131",20180923,"Day2","9/23/18","Montipora","ATHC","3003",12,"Photo",598,30,0.0150531819745442,0.00900180282077743,"20180923_12_Photo",20180923,"Blank",12,"Photo",0.000549515939849722,0.00845228688092771,1.01427442571132
"133",20180923,"Day2","9/23/18","Pocillopora","ATAC","1077",1,"Photo",598,29.8515023,0.0189703759398497,0.0113442848120301,"20180923_1_Photo",20180923,"Blank",1,"Photo",0.000321724073028531,0.0110225607390016,1.32928715820127
"135",20180923,"Day2","9/23/18","Pocillopora","ATHC","1180",3,"Photo",596,26.8534,0.0226270468661774,0.0134857199322417,"20180923_3_Photo",20180923,"Blank",3,"Photo",-7.47754385964245e-05,0.0135604953708382,1.81793677281154
"137",20180923,"Day2","9/23/18","Pocillopora","ATAC","1187",1,"Photo",592,39.90173,0.0277996695156696,0.0164574043532764,"20180923_1_Photo",20180923,"Blank",1,"Photo",0.000321724073028531,0.0161356802802479,1.45578773173224
"139",20180923,"Day2","9/23/18","Pocillopora","HTHC","1188",2,"Photo",602,11.62595,0.00578227124183016,0.00348092728758176,"20180923_2_Photo",20180923,"Blank",2,"Photo",-0.000520031948051983,0.00400095923563374,1.23890548714569
"141",20180923,"Day2","9/23/18","Pocillopora","ATHC","1252",3,"Photo",594,43.3249,0.0359756239316239,0.0213695206153846,"20180923_3_Photo",20180923,"Blank",3,"Photo",-7.47754385964245e-05,0.021444296053981,1.78187291359776
"143",20180923,"Day2","9/23/18","Pocillopora","HTAC","1271",4,"Photo",596,27.86472,0.0172492741935483,0.0102805674193548,"20180923_4_Photo",20180923,"Blank",4,"Photo",-0.000706413793103454,0.0109869812124582,1.41946993778691
"145",20180923,"Day2","9/23/18","Pocillopora","HTHC","1324",2,"Photo",600,33.75794,0.0267345865776789,0.0160407519466073,"20180923_2_Photo",20180923,"Blank",2,"Photo",-0.000520031948051983,0.0165607838946593,1.7660681315499
"147",20180923,"Day2","9/23/18","Pocillopora","HTAC","1336",4,"Photo",598,21.12132,0.0133600893997447,0.00798933346104733,"20180923_4_Photo",20180923,"Blank",4,"Photo",-0.000706413793103454,0.00869574725415078,1.48213701203063
"149",20180923,"Day2","9/23/18","Pocillopora","HTHC","1339",5,"Photo",598,21.03182,0.022640701754386,0.0135391396491228,"20180923_5_Photo",20180923,"Blank",5,"Photo",0.000202787753697955,0.0133363518954249,2.28277280917817
"151",20180923,"Day2","9/23/18","Pocillopora","ATAC","1430",6,"Photo",594,33.028557,0.0313872377020984,0.0186440191950464,"20180923_6_Photo",20180923,"Blank",6,"Photo",0.000143539542483658,0.0185004796525628,2.01648914753454
"153",20180923,"Day2","9/23/18","Pocillopora","ATAC","1437",6,"Photo",590,39.48111,0.0342443333333333,0.0202041566666666,"20180923_6_Photo",20180923,"Blank",6,"Photo",0.000143539542483658,0.020060617124183,1.82918417559838
"155",20180923,"Day2","9/23/18","Pocillopora","HTAC","1491",7,"Photo",592,30.46454,0.0125917483660132,0.00745431503267981,"20180923_7_Photo",20180923,"Blank",7,"Photo",-0.000729570196078373,0.00818388522875819,0.967091143458246
"157",20180923,"Day2","9/23/18","Pocillopora","ATAC","1570",8,"Photo",594,45.92919,0.0203062944718118,0.0120619389162562,"20180923_8_Photo",20180923,"Blank",8,"Photo",-0.000186254358974362,0.0122481932752306,0.960032079617125
"159",20180923,"Day2","9/23/18","Pocillopora","ATAC","1574",8,"Photo",596,37.91943,0.0262968536168134,0.0156729247556208,"20180923_8_Photo",20180923,"Blank",8,"Photo",-0.000186254358974362,0.0158591791145951,1.50564090263336
"161",20180923,"Day2","9/23/18","Pocillopora","HTHC","1655",5,"Photo",596,23.65848,0.0193756140350878,0.0115478659649123,"20180923_5_Photo",20180923,"Blank",5,"Photo",0.000202787753697955,0.0113450782112144,1.72632737015953
"163",20180923,"Day2","9/23/18","Pocillopora","HTAC","1691",9,"Photo",605,10.27906,0.010798761609907,0.00653325077399374,"20180923_9_Photo",20180923,"Blank",9,"Photo",0.000254577142857234,0.0062786736311365,2.19895837480192
"165",20180923,"Day2","9/23/18","Pocillopora","HTAC","1735",9,"Photo",598,33.05988,0.0266725490196078,0.0159501843137255,"20180923_9_Photo",20180923,"Blank",9,"Photo",0.000254577142857234,0.0156956071708682,1.70914673057269
"167",20180923,"Day2","9/23/18","Pocillopora","ATHC","1825",11,"Photo",588,51.93427,0.0360492753623188,0.0211969739130435,"20180923_11_Photo",20180923,"Blank",11,"Photo",0.000225859047619076,0.0209711148654244,1.45368392615373
"169",20180923,"Day2","9/23/18","Pocillopora","HTAC","2384",7,"Photo",604,24.76374,0.0184284210526316,0.0111307663157895,"20180923_7_Photo",20180923,"Blank",7,"Photo",-0.000729570196078373,0.0118603365118679,1.72418267364802
"171",20180923,"Day2","9/23/18","Pocillopora","HTHC","2522",10,"Photo",600,30,0.0264454385964912,0.0158672631578947,"20180923_10_Photo",20180923,"Blank",10,"Photo",-0.000526753846153823,0.0163940170040485,1.96728204048582
"173",20180923,"Day2","9/23/18","Pocillopora","HTHC","2523",10,"Photo",592,30,0.0256421884057971,0.0151801755362319,"20180923_10_Photo",20180923,"Blank",10,"Photo",-0.000526753846153823,0.0157069293823857,1.88483152588628
"175",20180923,"Day2","9/23/18","Pocillopora","ATHC","2531",11,"Photo",596,36.71125,0.0360780086580087,0.0215024931601732,"20180923_11_Photo",20180923,"Blank",11,"Photo",0.000225859047619076,0.0212766341125541,2.08644169853096
"177",20180923,"Day2","9/23/18","Pocillopora","ATHC","2752",12,"Photo",596,30,0.0239489510489509,0.0142735748251747,"20180923_12_Photo",20180923,"Blank",12,"Photo",0.000549515939849722,0.013724058885325,1.646887066239
"179",20180923,"Day2","9/23/18","Pocillopora","ATHC","2880",12,"Photo",592,30,0.0266610784313726,0.0157833584313726,"20180923_12_Photo",20180923,"Blank",12,"Photo",0.000549515939849722,0.0152338424915229,1.82806109898274
"205",20180929,"Week1","9/29/18","Montipora","ATAC","1067",1,"Photo",600,28.6522762,0.01724498005698,0.010346988034188,"20180929_1_Photo",20180929,"Blank",1,"Photo",0.000210780199510671,0.0101362078346773,1.27355844087662
"207",20180929,"Week1","9/29/18","Montipora","HTHC","1127",2,"Photo",600,13.9035851,0.0102640178878567,0.00615841073271402,"20180929_2_Photo",20180929,"Blank",2,"Photo",8.26762985895343e-05,0.00607573443412449,1.57316575584869
"209",20180929,"Week1","9/29/18","Montipora","ATAC","1189",1,"Photo",596,21.9894118,0.0095235338345863,0.00567602616541343,"20180929_1_Photo",20180929,"Blank",1,"Photo",0.000210780199510671,0.00546524596590276,0.89474360006528
"211",20180929,"Week1","9/29/18","Montipora","ATHC","1297",3,"Photo",602,14.5658443,0.00937089783281731,0.00564128049535602,"20180929_3_Photo",20180929,"Blank",3,"Photo",0.000620428571428527,0.00502085192392749,1.24092133307638
"213",20180929,"Week1","9/29/18","Montipora","HTAC","1333",4,"Photo",602,17.6489293,0.00963606060606034,0.00580090848484832,"20180929_4_Photo",20180929,"Blank",4,"Photo",7.28411764705874e-05,0.00572806730837774,1.16840188770884
"215",20180929,"Week1","9/29/18","Montipora","ATAC","1461",6,"Photo",600,23.9090685,0.0130720588235294,0.00784323529411764,"20180929_6_Photo",20180929,"Blank",6,"Photo",6.96589336585424e-06,0.00783626940075179,1.17991087117034
"217",20180929,"Week1","9/29/18","Montipora","HTHC","1480",2,"Photo",594,21.0810428,0.0161276917784658,0.00957984891640868,"20180929_2_Photo",20180929,"Blank",2,"Photo",8.26762985895343e-05,0.00949717261781915,1.62182780750054
"219",20180929,"Week1","9/29/18","Montipora","ATHC","1550",3,"Photo",602,17.4967886,0.00995457875457868,0.00599265641025637,"20180929_3_Photo",20180929,"Blank",3,"Photo",0.000620428571428527,0.00537222783882784,1.10534685318083
"221",20180929,"Week1","9/29/18","Montipora","HTAC","1565",9,"Photo",602,14.5434706,0.00929424242424232,0.00559513393939388,"20180929_9_Photo",20180929,"Blank",9,"Photo",5.53376640712835e-05,0.00553979627532259,1.37128661649451
"223",20180929,"Week1","9/29/18","Montipora","ATAC","1587",8,"Photo",598,25.3051825,0.018682222222222,0.0111719688888888,"20180929_8_Photo",20180929,"Blank",8,"Photo",0.00020042857142858,0.0109715403174602,1.56084806512882
"225",20180929,"Week1","9/29/18","Montipora","HTAC","1593",4,"Photo",596,20.297966,0.0156496031746035,0.00932716349206369,"20180929_4_Photo",20180929,"Blank",4,"Photo",7.28411764705874e-05,0.0092543223155931,1.64132506361155
"227",20180929,"Week1","9/29/18","Montipora","HTHC","1603",10,"Photo",596,30,0.0137767669172933,0.00821095308270681,"20180929_10_Photo",20180929,"Blank",10,"Photo",-0.000109710622710673,0.00832066370541748,0.998479644650098
"229",20180929,"Week1","9/29/18","Montipora","ATAC","1629",6,"Photo",602,15.0535892,0.0123578696741854,0.00743943754385961,"20180929_6_Photo",20180929,"Blank",6,"Photo",6.96589336585424e-06,0.00743247165049376,1.77744307927425
"231",20180929,"Week1","9/29/18","Montipora","HTAC","1639",7,"Photo",600,13.8409389,0.00765464696223322,0.00459278817733993,"20180929_7_Photo",20180929,"Blank",7,"Photo",9.79865686274447e-05,0.00449480160871249,1.16908873800208
"233",20180929,"Week1","9/29/18","Montipora","ATHC","1717",11,"Photo",592,18.5349247,0.0118377450980392,0.00700794509803921,"20180929_11_Photo",20180929,"Blank",11,"Photo",8.20228985506758e-05,0.00692592219948853,1.34520751077876
"235",20180929,"Week1","9/29/18","Montipora","ATHC","1718",11,"Photo",604,30.164733,0.0148930171277997,0.00899538234519102,"20180929_11_Photo",20180929,"Blank",11,"Photo",8.20228985506758e-05,0.00891335944664034,1.06376191056971
"237",20180929,"Week1","9/29/18","Montipora","HTAC","1724",9,"Photo",592,26.0032394,0.0159387012987012,0.00943571116883111,"20180929_9_Photo",20180929,"Blank",9,"Photo",5.53376640712835e-05,0.00938037350475983,1.29865914387326
"239",20180929,"Week1","9/29/18","Montipora","HTAC","1758",7,"Photo",596,33.6505432,0.0121605194805195,0.00724766961038962,"20180929_7_Photo",20180929,"Blank",7,"Photo",9.79865686274447e-05,0.00714968304176218,0.764886878567352
"241",20180929,"Week1","9/29/18","Montipora","HTHC","2165",5,"Photo",598,25.2872836,0.0112604554865425,0.00673375238095241,"20180929_5_Photo",20180929,"Blank",5,"Photo",5.71473684211876e-05,0.00667660501253123,0.950508501637259
"243",20180929,"Week1","9/29/18","Montipora","HTHC","2168",5,"Photo",598,17.3893953,0.0161842449260404,0.00967817846577216,"20180929_5_Photo",20180929,"Blank",5,"Photo",5.71473684211876e-05,0.00962103109735097,1.99177207447021
"245",20180929,"Week1","9/29/18","Montipora","HTHC","2200",10,"Photo",598,30,0.00895818713450296,0.00535699590643277,"20180929_10_Photo",20180929,"Blank",10,"Photo",-0.000109710622710673,0.00546670652914344,0.656004783497213
"247",20180929,"Week1","9/29/18","Montipora","ATAC","2394",8,"Photo",592,40.1702164,0.0180496078431372,0.0106853678431372,"20180929_8_Photo",20180929,"Blank",8,"Photo",0.00020042857142858,0.0104849392717086,0.939645955657613
"249",20180929,"Week1","9/29/18","Montipora","ATHC","2528",12,"Photo",600,30,0.0132942424242424,0.00797654545454544,"20180929_12_Photo",20180929,"Blank",12,"Photo",0.00011299047619043,0.00786355497835501,0.943626597402601
"251",20180929,"Week1","9/29/18","Montipora","ATHC","2740",12,"Photo",600,30,0.0161677655677654,0.00970065934065924,"20180929_12_Photo",20180929,"Blank",12,"Photo",0.00011299047619043,0.00958766886446881,1.15052026373626
"253",20180929,"Week1","9/29/18","Pocillopora","ATAC","1054",1,"Photo",602,23.2020621,0.0167708695652173,0.0100960634782608,"20180929_1_Photo",20180929,"Blank",1,"Photo",0.000210780199510671,0.00988528327875014,1.53378693885577
"255",20180929,"Week1","9/29/18","Pocillopora","ATAC","1118",1,"Photo",592,15.9306352,0.0126588311688311,0.00749402805194801,"20180929_1_Photo",20180929,"Blank",1,"Photo",0.000210780199510671,0.00728324785243734,1.64586609005863
"257",20180929,"Week1","9/29/18","Pocillopora","HTAC","1240",4,"Photo",604,10.350654,0.00953000000000012,0.00575612000000007,"20180929_4_Photo",20180929,"Blank",4,"Photo",7.28411764705874e-05,0.00568327882352948,1.97666773178836
"259",20180929,"Week1","9/29/18","Pocillopora","ATHC","1258",3,"Photo",592,16.906125,0.0181861111111113,0.0107661777777779,"20180929_3_Photo",20180929,"Blank",3,"Photo",0.000620428571428527,0.0101457492063494,2.16044168269534
"261",20180929,"Week1","9/29/18","Pocillopora","ATHC","1294",3,"Photo",602,10.0239992,0.00707750329380767,0.00426065698287222,"20180929_3_Photo",20180929,"Blank",3,"Photo",0.000620428571428527,0.00364022841144369,1.30734470541431
"263",20180929,"Week1","9/29/18","Pocillopora","HTAC","1319",4,"Photo",604,28.0168653,0.015779120879121,0.00953058901098908,"20180929_4_Photo",20180929,"Blank",4,"Photo",7.28411764705874e-05,0.0094577478345185,1.21526415748826
"265",20180929,"Week1","9/29/18","Pocillopora","HTHC","1326",2,"Photo",606,19.6894035,0.0200008547008548,0.012120517948718,"20180929_2_Photo",20180929,"Blank",2,"Photo",8.26762985895343e-05,0.0120378416501285,2.20099252577471
"267",20180929,"Week1","9/29/18","Pocillopora","HTHC","1412",5,"Photo",606,13.6887983,0.00842717948717927,0.00510687076923064,"20180929_5_Photo",20180929,"Blank",5,"Photo",5.71473684211876e-05,0.00504972340080945,1.32802046202361
"269",20180929,"Week1","9/29/18","Pocillopora","HTHC","1432",2,"Photo",598,26.2180262,0.0197396241830065,0.0118042952614379,"20180929_2_Photo",20180929,"Blank",2,"Photo",8.26762985895343e-05,0.0117216189628484,1.60949676166904
"271",20180929,"Week1","9/29/18","Pocillopora","HTHC","1439",5,"Photo",596,47.3387246,0.0317297692307693,0.0189109424615385,"20180929_5_Photo",20180929,"Blank",5,"Photo",5.71473684211876e-05,0.0188537950931173,1.433787304342
"273",20180929,"Week1","9/29/18","Pocillopora","ATAC","1495",6,"Photo",602,12.4940469,0.0109001976284584,0.00656191897233196,"20180929_6_Photo",20180929,"Blank",6,"Photo",6.96589336585424e-06,0.0065549530789661,1.88872598871691
"275",20180929,"Week1","9/29/18","Pocillopora","HTAC","1553",7,"Photo",594,41.5260578,0.0253714138286893,0.0150706198142414,"20180929_7_Photo",20180929,"Blank",7,"Photo",9.79865686274447e-05,0.014972633245614,1.29801581319887
"277",20180929,"Week1","9/29/18","Pocillopora","ATAC","1626",6,"Photo",592,34.2904287,0.040249576510446,0.023827749294184,"20180929_6_Photo",20180929,"Blank",6,"Photo",6.96589336585424e-06,0.0238207834008182,2.50083838243018
"279",20180929,"Week1","9/29/18","Pocillopora","HTAC","1646",7,"Photo",590,28.7954674,0.014246094485225,0.00840519574628275,"20180929_7_Photo",20180929,"Blank",7,"Photo",9.79865686274447e-05,0.0083072091776553,1.03856459852286
"281",20180929,"Week1","9/29/18","Pocillopora","ATAC","1693",8,"Photo",600,31.1581218,0.0245262237762233,0.014715734265734,"20180929_8_Photo",20180929,"Blank",8,"Photo",0.00020042857142858,0.0145153056943054,1.67709404420838
"283",20180929,"Week1","9/29/18","Pocillopora","HTAC","1710",9,"Photo",600,60.5212623,0.0432439516129032,0.0259463709677419,"20180929_9_Photo",20180929,"Blank",9,"Photo",5.53376640712835e-05,0.0258910333036706,1.54008221823249
"285",20180929,"Week1","9/29/18","Pocillopora","HTHC","1739",10,"Photo",599,30,0.0261340476190477,0.0156542945238096,"20180929_10_Photo",20180929,"Blank",10,"Photo",-0.000109710622710673,0.0157640051465202,1.89168061758243
"287",20180929,"Week1","9/29/18","Pocillopora","ATAC","2022",8,"Photo",592,19.8549683,0.023708333333334,0.0140353333333337,"20180929_8_Photo",20180929,"Blank",8,"Photo",0.00020042857142858,0.0138349047619051,2.50847326423878
"289",20180929,"Week1","9/29/18","Pocillopora","HTAC","2063",9,"Photo",600,32.5855588,0.0279432523997742,0.0167659514398645,"20180929_9_Photo",20180929,"Blank",9,"Photo",5.53376640712835e-05,0.0167106137757932,1.84616166818215
"291",20180929,"Week1","9/29/18","Pocillopora","HTHC","2859",10,"Photo",596,30,0.0146128571428572,0.00870926285714289,"20180929_10_Photo",20180929,"Blank",10,"Photo",-0.000109710622710673,0.00881897347985356,1.05827681758243
