sample_uid,Plug_ID,Treatment,Tank,Timepoint,Sample_Date,Host_species,sample
148,1227,HTHC,2,3,20180922,Pocillopora acuta,HP188
149,2518,HTHC,10,3,20180922,Montipora capitata,HP189
150,2999,ATHC,12,6,20180929,Pocillopora acuta,HP190
151,1496,HTAC,7,6,20180929,Montipora capitata,HP191
152,1755,ATAC,6,8,20181020,Pocillopora acuta,HP192
153,1246,HTHC,5,8,20181020,Montipora capitata,HP193
154,1128,HTHC,2,3,20180922,Montipora capitata,HP194
155,1721,HTHC,10,6,20180929,Pocillopora acuta,HP195
156,1114,ATAC,1,6,20180929,Montipora capitata,HP196
157,2527,HTHC,10,3,20180922,Pocillopora acuta,HP197
158,1637,ATAC,8,3,20180922,Pocillopora acuta,HP198
159,1082,HTHC,2,8,20181020,Montipora capitata,HP199
160,1826,ATHC,12,1,20180922,Montipora capitata,HP200
161,1728,HTAC,4,7,20181006,Pocillopora acuta,HP201
162,1544,ATHC,3,3,20180922,Montipora capitata,HP202
163,1223,ATHC,3,7,20181006,Montipora capitata,HP203
164,1611,ATAC,6,6,20180929,Montipora capitata,HP204
165,2875,ATHC,12,7,20181006,Montipora capitata,HP205
166,2860,ATHC,11,7,20181006,Montipora capitata,HP206
167,1126,HTHC,2,7,20181006,Montipora capitata,HP207
168,2204,HTHC,10,4,20180922,Montipora capitata,HP208
169,1744,HTAC,9,6,20180929,Pocillopora acuta,HP209
170,1427,HTHC,5,7,20181006,Pocillopora acuta,HP210
171,1090,HTHC,2,7,20181006,Pocillopora acuta,HP211
172,1323,HTHC,5,1,20180922,Montipora capitata,HP212
173,1487,HTAC,7,7,20181006,Pocillopora acuta,HP213
174,2878,ATHC,12,7,20181006,Pocillopora acuta,HP214
175,2414,HTAC,9,1,20180922,Pocillopora acuta,HP215
176,2409,ATHC,11,7,20181006,Pocillopora acuta,HP216
177,1047,ATAC,1,7,20181006,Pocillopora acuta,HP217
178,1595,HTHC,5,6,20180929,Pocillopora acuta,HP218
179,1499,ATAC,8,7,20181006,Montipora capitata,HP219
180,2068,ATHC,11,1,20180922,Montipora capitata,HP220
181,2413,ATAC,8,7,20181006,Pocillopora acuta,HP221
182,1138,HTHC,2,6,20180929,Pocillopora acuta,HP222
183,1250,HTHC,5,7,20181006,Montipora capitata,HP223
184,1278,HTAC,4,7,20181006,Montipora capitata,HP224
185,1050,ATAC,1,6,20180929,Pocillopora acuta,HP225
186,2072,HTAC,9,7,20181006,Pocillopora acuta,HP226
187,1317,HTHC,5,6,20180929,Montipora capitata,HP227
188,1043,ATAC,1,1,20180922,Pocillopora acuta,HP228
189,1343,HTHC,5,4,20180922,Pocillopora acuta,HP229
190,1542,ATAC,8,6,20180929,Pocillopora acuta,HP230
191,1820,HTHC,10,7,20181006,Pocillopora acuta,HP231
192,2081,HTHC,10,1,20180922,Montipora capitata,HP232
193,2977,ATHC,11,1,20180922,Pocillopora acuta,HP233
194,1415,HTHC,5,5,20180923,Pocillopora acuta,HP234
195,2734,ATHC,11,4,20180922,Montipora capitata,HP235
196,1101,ATAC,1,3,20180922,Montipora capitata,HP236
197,1041,ATAC,1,3,20180922,Pocillopora acuta,HP237
198,1058,ATAC,1,7,20181006,Montipora capitata,HP238
199,1767,HTAC,7,4,20180922,Pocillopora acuta,HP239
200,1445,ATAC,6,7,20181006,Pocillopora acuta,HP240
201,2419,HTHC,10,7,20181006,Montipora capitata,HP241
202,2402,ATAC,8,6,20180929,Montipora capitata,HP242
203,1653,HTAC,7,1,20180922,Pocillopora acuta,HP243
204,1579,HTAC,7,1,20180922,Montipora capitata,HP244
205,2002,ATAC,8,4,20180922,Pocillopora acuta,HP245
206,2210,HTHC,10,1,20180922,Pocillopora acuta,HP246
207,1145,HTHC,2,1,20180922,Montipora capitata,HP247
208,1207,ATHC,3,1,20180922,Pocillopora acuta,HP248
209,1652,ATAC,8,1,20180922,Montipora capitata,HP249
210,1218,ATHC,3,1,20180922,Montipora capitata,HP250
211,1037,ATAC,1,1,20180922,Montipora capitata,HP251
212,1701,HTAC,4,4,20180922,Pocillopora acuta,HP252
213,1581,HTAC,9,4,20180922,Pocillopora acuta,HP253
214,1328,HTHC,5,4,20180922,Montipora capitata,HP254
215,1706,ATHC,11,5,20180923,Montipora capitata,HP255
216,1059,ATAC,1,5,20180923,Pocillopora acuta,HP256
217,2087,HTHC,10,5,20180923,Pocillopora acuta,HP257
218,1548,ATAC,8,3,20180922,Montipora capitata,HP258
219,1449,HTHC,5,5,20180923,Montipora capitata,HP259
220,1642,HTAC,7,3,20180922,Pocillopora acuta,HP260
221,1707,HTAC,9,5,20180923,Pocillopora acuta,HP261
222,1563,ATAC,8,5,20180923,Pocillopora acuta,HP262
223,2212,ATHC,11,5,20180923,Pocillopora acuta,HP263
224,1694,HTHC,10,5,20180923,Montipora capitata,HP264
225,1997,HTAC,9,5,20180923,Montipora capitata,HP265
226,2750,ATHC,12,3,20180922,Pocillopora acuta,HP266
227,1281,ATHC,3,7,20181006,Pocillopora acuta,HP267
228,1651,ATAC,8,4,20180922,Montipora capitata,HP268
229,2306,ATAC,6,11,20181215,Pocillopora acuta,HP269
230,1562,HTAC,9,11,20181215,Montipora capitata,HP270
231,1647,HTAC,7,11,20181215,Pocillopora acuta,HP271
232,1237,ATHC,3,11,20181215,Montipora capitata,HP272
233,1582,HTAC,9,11,20181215,Pocillopora acuta,HP273
234,1178,HTHC,2,11,20181215,Montipora capitata,HP274
235,1076,ATAC,1,11,20181215,Montipora capitata,HP275
236,1777,ATAC,8,11,20181215,Pocillopora acuta,HP276
237,2879,ATHC,12,11,20181215,Pocillopora acuta,HP277
238,2188,ATHC,11,11,20181215,Montipora capitata,HP278
239,2668,ATHC,11,11,20181215,Pocillopora acuta,HP279
240,2302,ATAC,6,11,20181215,Montipora capitata,HP280
241,1248,HTAC,4,11,20181215,Montipora capitata,HP281
242,2756,ATHC,12,11,20181215,Montipora capitata,HP282
243,1416,HTHC,5,11,20181215,Pocillopora acuta,HP283
244,2185,HTHC,10,11,20181215,Pocillopora acuta,HP284
245,1270,HTHC,5,11,20181215,Montipora capitata,HP285
246,1596,HTAC,4,11,20181215,Pocillopora acuta,HP286
247,1452,ATAC,6,12,20190112,Montipora capitata,HP287
248,2190,HTHC,10,12,20190112,Montipora capitata,HP288
249,1140,HTHC,2,12,20190112,Montipora capitata,HP289
250,1632,HTAC,7,12,20190112,Montipora capitata,HP290
251,1120,ATAC,1,12,20190112,Montipora capitata,HP291
252,2731,ATHC,11,3,20180922,Montipora capitata,HP292
253,2736,ATHC,11,12,20190112,Montipora capitata,HP293
254,1729,HTAC,4,12,20190112,Montipora capitata,HP294
255,2007,HTAC,9,12,20190112,Montipora capitata,HP295
256,1154,ATHC,3,12,20190112,Montipora capitata,HP296
257,1274,HTHC,5,12,20190112,Montipora capitata,HP297
258,1302,HTAC,4,9,20181103,Pocillopora acuta,HP298
259,2555,ATHC,12,6,20180929,Montipora capitata,HP299
260,2735,ATHC,11,8,20181020,Montipora capitata,HP300
261,2009,HTHC,10,9,20181103,Montipora capitata,HP301
262,1628,ATAC,6,3,20180922,Montipora capitata,HP302
263,2733,ATHC,11,4,20180922,Pocillopora acuta,HP303
264,1169,HTHC,2,4,20180922,Pocillopora acuta,HP304
265,1289,HTAC,4,3,20180922,Montipora capitata,HP305
266,1124,HTHC,2,4,20180922,Montipora capitata,HP306
267,1221,ATHC,3,4,20180922,Montipora capitata,HP307
268,1108,ATAC,1,4,20180922,Montipora capitata,HP308
269,2195,HTHC,10,4,20180922,Pocillopora acuta,HP309
270,1571,HTAC,7,5,20180923,Pocillopora acuta,HP310
271,1762,ATAC,6,4,20180922,Pocillopora acuta,HP311
272,1468,ATAC,6,6,20180929,Pocillopora acuta,HP312
273,1709,HTHC,10,8,20181020,Pocillopora acuta,HP313
274,1583,HTAC,7,5,20180923,Montipora capitata,HP314
275,2737,ATHC,11,10,20181117,Montipora capitata,HP315
276,1078,HTHC,2,9,20181103,Montipora capitata,HP316
277,1610,ATAC,6,5,20180923,Montipora capitata,HP317
278,2016,ATHC,11,6,20180929,Montipora capitata,HP318
279,1269,HTAC,4,4,20180922,Montipora capitata,HP319
280,1722,HTAC,9,7,20181006,Montipora capitata,HP320
281,1455,ATAC,6,7,20181006,Montipora capitata,HP321
282,1277,HTHC,5,3,20180922,Montipora capitata,HP322
283,1315,HTAC,4,10,20181117,Montipora capitata,HP323
284,1083,ATAC,1,8,20181020,Montipora capitata,HP324
285,2380,HTAC,7,11,20181215,Montipora capitata,HP325
286,2410,HTAC,9,8,20181020,Montipora capitata,HP326
287,2021,HTAC,9,3,20180922,Montipora capitata,HP327
288,1121,ATAC,1,9,20181103,Montipora capitata,HP328
289,1329,HTAC,4,8,20181020,Pocillopora acuta,HP329
290,1332,HTHC,5,10,20181117,Montipora capitata,HP330
291,1212,ATHC,3,6,20180929,Montipora capitata,HP331
292,2753,ATHC,12,8,20181020,Montipora capitata,HP332
293,1481,HTAC,7,4,20180922,Montipora capitata,HP333
294,1588,HTAC,4,6,20180929,Montipora capitata,HP334
295,2511,HTHC,10,11,20181215,Montipora capitata,HP335
296,1147,ATHC,3,11,20181215,Pocillopora acuta,HP336
297,1229,ATHC,3,5,20180923,Montipora capitata,HP337
298,1689,HTHC,10,10,20181117,Montipora capitata,HP338
299,1204,ATHC,3,10,20181117,Montipora capitata,HP339
300,1609,ATAC,6,4,20180922,Montipora capitata,HP340
301,2534,ATHC,11,3,20180922,Pocillopora acuta,HP341
302,2403,ATAC,8,12,20190112,Montipora capitata,HP342
303,1321,HTAC,4,5,20180923,Montipora capitata,HP343
304,1604,HTHC,10,6,20180929,Montipora capitata,HP344
305,1645,HTAC,7,7,20181006,Montipora capitata,HP345
306,2067,HTHC,10,8,20181020,Montipora capitata,HP346
307,2990,ATHC,12,12,20190112,Montipora capitata,HP347
308,2986,ATHC,12,5,20180923,Montipora capitata,HP348
309,2153,HTAC,4,1,20180922,Montipora capitata,HP349
310,1467,HTAC,7,9,20181103,Montipora capitata,HP350
311,1239,HTHC,2,1,20180922,Pocillopora acuta,HP351
312,AllMont,NA,NA,NA,NA,Montipora capitata,HP352
313,AllPoc,NA,NA,NA,NA,Pocillopora acuta,HP353
314,All,NA,NA,NA,NA,NA,HP354
315,None,NA,NA,NA,NA,NA,HP355
