sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
395	HP271	HP271_S130_L001_R1_001.fastq.gz	e631922b7bc84ff4582bb669326707cb504a655c6278fd5c7e0969005e74e6f6	HP271_S130_L001_R2_001.fastq.gz	bf6f3f426bbcb67e0f4ea46deddd615534860417280a679cd215ec3a8d5534d1	31958	17569	327	17569	327	0	0	0	0	16733	9	0	0	88	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	999.00000000	999.00000000	20180905.0	NoData
298	HP174	HP174_S22_L001_R1_001.fastq.gz	2e73c5262723afb3badfe89e2009115bfa7ce18ea1262d3bde8533bc430ff3e7	HP174_S22_L001_R2_001.fastq.gz	bbdf8d5c362edb7dcd570d639af673ab931328c4f2b2ef6d4b0c0d673cf833d5	54173	30894	522	30894	522	0	0	0	0	29438	8	0	0	162	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	999.00000000	999.00000000	20180905.0	NoData
295	HP171	HP171_S81_L001_R1_001.fastq.gz	2d03f0f7f39369b6532990439067e3cf3d408dfb3177b8bc5dfd970e46b1ddbd	HP171_S81_L001_R2_001.fastq.gz	2d4c1398d4abdb1f221abc0314b0fbbc30532a2f4479106397616f55e051809b	74038	37922	592	37808	591	114	1	0	0	35508	7	0	0	185	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	999.00000000	999.00000000	20180908.0	NoData
387	HP263	HP263_S129_L001_R1_001.fastq.gz	bc935157df67a0b48aa40012f1d9eacffc2300e2ee26c72fa94e49aa6c38ee07	HP263_S129_L001_R2_001.fastq.gz	d0b3a85f0a22eb8010b0421281dc4b3091296f36956e7942788775ba14c6d542	41959	22548	402	22540	401	0	0	8	1	21362	7	0	0	122	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	999.00000000	999.00000000	20180906.0	NoData
335	HP211	HP211_S170_L001_R1_001.fastq.gz	d6952546c23342c368d4b0f47cabd5b760527c294d7d428aadd9f2f22996e0f8	HP211_S170_L001_R2_001.fastq.gz	d67d800b9db763febe1e38672b0ec856fdec57e0fcf7a376c7417c4cd1f734c4	49169	28153	468	28153	468	0	0	0	0	26594	7	0	0	179	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	999.00000000	999.00000000	20180908.0	NoData
433	HP309	HP309_S195_L001_R1_001.fastq.gz	e75ea0fc31061d1986030e8455d0138e0a5e887fcc20ed47b0efa8ec8bfe2be0	HP309_S195_L001_R2_001.fastq.gz	7c053813d08bde157dc1b999d5e44c087f6c89d5502569172fd8b777ff308951	35910	19614	364	19614	364	0	0	0	0	18633	8	0	0	98	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	999.00000000	999.00000000	20180905.0	NoData
436	HP312	HP312_S222_L001_R1_001.fastq.gz	848408c0e540d1a3f231df726a2de55e427d389a522b356e23583ebab258f3d6	HP312_S222_L001_R2_001.fastq.gz	b8d2cb965ca1a29e0f870d4ebd5e046f0f12845b78005229a650595d6f9971aa	35484	18966	342	18966	342	0	0	0	0	17903	7	0	0	109	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	999.00000000	999.00000000	20180906.0	NoData
258	HP134	HP134_S17_L001_R1_001.fastq.gz	df65a4fe44ac2af33fc35fd5fb03da911e4e0c3e129adbc92f9b68ab96ce35a1	HP134_S17_L001_R2_001.fastq.gz	4957b06e67ad899bd5aeddb654e7ff4a6782eb0ae57555e194f373512c1c347c	57590	33117	532	33053	531	64	1	0	0	31739	8	0	0	332	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	999.00000000	999.00000000	20180910.0	NoData
229	HP105	HP105_S49_L001_R1_001.fastq.gz	e3b137e12912ea0a50ec24d2e9b8090d6269ec5c6981c6e1e32fe3d54ac19e87	HP105_S49_L001_R2_001.fastq.gz	e55e660c6480412d39e964ad39581fe44b5f19957b7204198ceabaabe2bf14eb	61468	31022	541	30962	540	60	1	0	0	29315	8	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	999.00000000	999.00000000	20180910.0	NoData
385	HP261	HP261_S105_L001_R1_001.fastq.gz	d2e340a1e1bf0f019044df7fcfea27a40a3502316aa4bc154cf642090606eee8	HP261_S105_L001_R2_001.fastq.gz	7a63653570ccb1944f11569451c247209bc2d63dccb0e747c6eabeb214635ed5	50077	24280	441	24205	440	75	1	0	0	22912	9	0	0	115	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	999.00000000	999.00000000	20180907.0	NoData
