,,,,host_info if applicable,,,,,,sampling info if applicable,,,,Please place any additional columns you wish to add to the right of 'collection_depth',,,,,,
HP137,HP137_S53_L001_R1_001.fastq.gz,HP137_S53_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180905,,2202,HTHC,10,9,20181103,,
HP138,HP138_S65_L001_R1_001.fastq.gz,HP138_S65_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180910,,2305,HTHC,5,9,20181103,,
HP139,HP139_S77_L001_R1_001.fastq.gz,HP139_S77_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180904,,2862,ATHC,11,9,20181103,,
HP140,HP140_S89_L001_R1_001.fastq.gz,HP140_S89_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180906,,1260,ATHC,3,8,20181020,,
HP141,HP141_S6_L001_R1_001.fastq.gz,HP141_S6_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180910,,2561,ATHC,12,4,20180922,,
HP142,HP142_S18_L001_R1_001.fastq.gz,HP142_S18_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180908,,1732,HTHC,10,10,20181117,,
HP143,HP143_S30_L001_R1_001.fastq.gz,HP143_S30_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180908,,2743,ATHC,12,1,20180922,,
HP144,HP144_S42_L001_R1_001.fastq.gz,HP144_S42_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180906,,1219,ATHC,3,3,20180922,,
HP145,HP145_S54_L001_R1_001.fastq.gz,HP145_S54_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180910,,2550,ATHC,12,10,20181117,,
HP146,HP146_S66_L001_R1_001.fastq.gz,HP146_S66_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180905,,1765,HTAC,7,8,20181020,,
HP147,HP147_S78_L001_R1_001.fastq.gz,HP147_S78_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180906,,1536,HTAC,7,10,20181117,,
HP148,HP148_S90_L001_R1_001.fastq.gz,HP148_S90_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180907,,2993,ATHC,12,4,20180922,,
HP149,HP149_S7_L001_R1_001.fastq.gz,HP149_S7_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180905,,1238,HTHC,2,10,20181117,,
HP150,HP150_S19_L001_R1_001.fastq.gz,HP150_S19_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180908,,1559,ATAC,8,10,20181117,,
HP151,HP151_S31_L001_R1_001.fastq.gz,HP151_S31_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180910,,1060,ATAC,1,4,20180922,,
HP152,HP152_S43_L001_R1_001.fastq.gz,HP152_S43_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180907,,1478,HTAC,7,10,20181117,,
HP153,HP153_S55_L001_R1_001.fastq.gz,HP153_S55_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180907,,1331,HTHC,5,9,20181103,,
HP154,HP154_S67_L001_R1_001.fastq.gz,HP154_S67_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180908,,1306,HTAC,4,9,20181103,,
HP155,HP155_S79_L001_R1_001.fastq.gz,HP155_S79_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180910,,2564,ATHC,12,8,20181020,,
HP156,HP156_S91_L001_R1_001.fastq.gz,HP156_S91_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180906,,1303,HTAC,4,5,20180923,,
HP157,HP157_S8_L001_R1_001.fastq.gz,HP157_S8_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180907,,1296,ATHC,3,5,20180923,,
HP158,HP158_S20_L001_R1_001.fastq.gz,HP158_S20_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180907,,2995,ATHC,12,9,20181103,,
HP159,HP159_S32_L001_R1_001.fastq.gz,HP159_S32_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180906,,2197,ATHC,11,10,20181117,,
HP160,HP160_S44_L001_R1_001.fastq.gz,HP160_S44_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180905,,1779,ATAC,8,8,20181020,,
HP161,HP161_S56_L001_R1_001.fastq.gz,HP161_S56_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180905,,2873,ATHC,11,9,20181103,,
HP162,HP162_S68_L001_R1_001.fastq.gz,HP162_S68_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180910,,1196,ATAC,1,5,20180923,,
HP163,HP163_S80_L001_R1_001.fastq.gz,HP163_S80_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180905,,1225,HTAC,4,10,20181117,,
HP164,HP164_S92_L001_R1_001.fastq.gz,HP164_S92_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180905,,2861,ATHC,11,8,20181020,,
HP165,HP165_S9_L001_R1_001.fastq.gz,HP165_S9_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180905,,2064,HTAC,9,10,20181117,,
HP166,HP166_S21_L001_R1_001.fastq.gz,HP166_S21_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180906,,1168,HTHC,2,5,20180923,,
HP167,HP167_S33_L001_R1_001.fastq.gz,HP167_S33_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180907,,1561,ATAC,8,10,20181117,,
HP168,HP168_S45_L001_R1_001.fastq.gz,HP168_S45_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180908,,1220,ATHC,3,4,20180922,,
HP169,HP169_S57_L001_R1_001.fastq.gz,HP169_S57_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180904,,2000,HTAC,9,4,20180922,,
HP170,HP170_S69_L001_R1_001.fastq.gz,HP170_S69_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180910,,2300,HTHC,5,10,20181117,,
HP171,HP171_S81_L001_R1_001.fastq.gz,HP171_S81_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180908,,1184,HTHC,2,8,20181020,,
HP172,HP172_S93_L001_R1_001.fastq.gz,HP172_S93_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180910,,1345,HTHC,2,5,20180923,,
HP173,HP173_S10_L001_R1_001.fastq.gz,HP173_S10_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180910,,2412,HTAC,9,9,20181103,,
HP174,HP174_S22_L001_R1_001.fastq.gz,HP174_S22_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180905,,1757,ATAC,6,5,20180923,,
HP175,HP175_S34_L001_R1_001.fastq.gz,HP175_S34_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180905,,2012,ATAC,8,8,20181020,,
HP176,HP176_S46_L001_R1_001.fastq.gz,HP176_S46_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180906,,1436,ATAC,6,8,20181020,,
HP177,HP177_S58_L001_R1_001.fastq.gz,HP177_S58_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180905,,1254,ATHC,3,6,20180929,,
HP178,HP178_S70_L001_R1_001.fastq.gz,HP178_S70_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180907,,1051,ATAC,1,8,20181020,,
HP179,HP179_S82_L001_R1_001.fastq.gz,HP179_S82_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180905,,1776,ATAC,8,5,20180923,,
HP180,HP180_S94_L001_R1_001.fastq.gz,HP180_S94_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180905,,2877,ATHC,12,5,20180923,,
HP181,HP181_S11_L001_R1_001.fastq.gz,HP181_S11_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180908,,1466,HTAC,7,6,20180929,,
HP182,HP182_S23_L001_R1_001.fastq.gz,HP182_S23_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180906,,1705,HTAC,9,6,20180929,,
HP183,HP183_S35_L001_R1_001.fastq.gz,HP183_S35_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180904,,2866,ATHC,12,3,20180922,,
HP184,HP184_S47_L001_R1_001.fastq.gz,HP184_S47_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180906,,1330,HTAC,4,6,20180929,,
HP185,HP185_S59_L001_R1_001.fastq.gz,HP185_S59_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180905,,1617,HTAC,4,3,20180922,,
HP186,HP186_S71_L001_R1_001.fastq.gz,HP186_S71_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180906,,1164,HTHC,2,6,20180929,,
HP187,HP187_S83_L001_R1_001.fastq.gz,HP187_S83_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180905,,2870,ATHC,11,6,20180929,,
HP188,HP188_S95_L001_R1_001.fastq.gz,HP188_S95_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180905,,1227,HTHC,2,3,20180922,,
HP189,HP189_S12_L001_R1_001.fastq.gz,HP189_S12_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180910,,2518,HTHC,10,3,20180922,,
HP190,HP190_S24_L001_R1_001.fastq.gz,HP190_S24_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180908,,2999,ATHC,12,6,20180929,,
HP191,HP191_S36_L001_R1_001.fastq.gz,HP191_S36_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180906,,1496,HTAC,7,6,20180929,,
HP192,HP192_S48_L001_R1_001.fastq.gz,HP192_S48_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180905,,1755,ATAC,6,8,20181020,,
HP193,HP193_S60_L001_R1_001.fastq.gz,HP193_S60_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180905,,1246,HTHC,5,8,20181020,,
HP194,HP194_S72_L001_R1_001.fastq.gz,HP194_S72_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180904,,1128,HTHC,2,3,20180922,,
HP195,HP195_S84_L001_R1_001.fastq.gz,HP195_S84_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180908,,1721,HTHC,10,6,20180929,,
HP196,HP196_S96_L001_R1_001.fastq.gz,HP196_S96_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180905,,1114,ATAC,1,6,20180929,,
HP197,HP197_S97_L001_R1_001.fastq.gz,HP197_S97_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180910,,2527,HTHC,10,3,20180922,,
HP198,HP198_S109_L001_R1_001.fastq.gz,HP198_S109_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180907,,1637,ATAC,8,3,20180922,,
HP199,HP199_S121_L001_R1_001.fastq.gz,HP199_S121_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180907,,1082,HTHC,2,8,20181020,,
HP200,HP200_S133_L001_R1_001.fastq.gz,HP200_S133_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180907,,1826,ATHC,12,1,20180922,,
HP201,HP201_S145_L001_R1_001.fastq.gz,HP201_S145_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180910,,1728,HTAC,4,7,20181006,,
HP202,HP202_S157_L001_R1_001.fastq.gz,HP202_S157_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180910,,1544,ATHC,3,3,20180922,,
HP203,HP203_S169_L001_R1_001.fastq.gz,HP203_S169_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180905,,1223,ATHC,3,7,20181006,,
HP204,HP204_S181_L001_R1_001.fastq.gz,HP204_S181_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180905,,1611,ATAC,6,6,20180929,,
HP205,HP205_S98_L001_R1_001.fastq.gz,HP205_S98_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180904,,2875,ATHC,12,7,20181006,,
HP206,HP206_S110_L001_R1_001.fastq.gz,HP206_S110_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180904,,2860,ATHC,11,7,20181006,,
HP207,HP207_S122_L001_R1_001.fastq.gz,HP207_S122_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180905,,1126,HTHC,2,7,20181006,,
HP208,HP208_S134_L001_R1_001.fastq.gz,HP208_S134_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180905,,2204,HTHC,10,4,20180922,,
HP209,HP209_S146_L001_R1_001.fastq.gz,HP209_S146_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180906,,1744,HTAC,9,6,20180929,,
HP210,HP210_S158_L001_R1_001.fastq.gz,HP210_S158_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180908,,1427,HTHC,5,7,20181006,,
HP211,HP211_S170_L001_R1_001.fastq.gz,HP211_S170_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180908,,1090,HTHC,2,7,20181006,,
HP212,HP212_S182_L001_R1_001.fastq.gz,HP212_S182_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180906,,1323,HTHC,5,1,20180922,,
HP213,HP213_S99_L001_R1_001.fastq.gz,HP213_S99_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180908,,1487,HTAC,7,7,20181006,,
HP214,HP214_S111_L001_R1_001.fastq.gz,HP214_S111_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180905,,2878,ATHC,12,7,20181006,,
HP215,HP215_S123_L001_R1_001.fastq.gz,HP215_S123_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180910,,2414,HTAC,9,1,20180922,,
HP216,HP216_S135_L001_R1_001.fastq.gz,HP216_S135_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180908,,2409,ATHC,11,7,20181006,,
HP217,HP217_S147_L001_R1_001.fastq.gz,HP217_S147_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180908,,1047,ATAC,1,7,20181006,,
