sample_name,C1d/C42.2-C1-C3cg,C31/C17d-C21-C21ac-C17e-C17f-C31.9,C1d-noName-C42.2-C1-noName,C31-C17d-C21-C21ac-C31a-C17e,C31/C17d-C21-C21ac-C31.9,C1d,C31-C17d-C31.1-C21-C31a-noName,C1d-noName-C42.2-C1,C1d/C31/C17d-2099_C,C1d-C31-C42.2-C1,C31,D1/D4-D6-D1ab
HP144,0,0,23669,0,0,0,0,0,0,0,0,0
HP145,24054,0,0,0,0,0,0,0,0,0,0,0
HP146,32148,0,0,0,0,0,0,0,0,0,0,0
HP147,37455,0,0,0,0,0,0,0,0,0,0,0
HP148,0,0,23426,0,0,0,0,0,0,0,0,0
HP149,27361,0,0,0,0,0,0,0,0,0,0,0
HP150,27525,0,0,0,0,0,0,0,0,0,0,0
HP151,22365,0,0,0,0,0,0,0,0,0,0,0
HP152,0,0,0,0,0,0,0,0,0,0,0,20325
HP153,0,0,0,30239,0,0,0,0,0,0,0,0
HP154,0,0,0,0,22712,0,0,0,0,0,0,0
HP155,44516,0,0,0,0,0,0,0,0,0,0,0
HP156,0,0,26755,0,0,0,0,0,0,0,0,0
HP157,0,0,22629,0,0,0,0,0,0,0,0,0
HP158,0,0,0,0,0,0,0,0,0,0,0,29921
HP159,0,0,24838,0,0,0,0,0,0,0,0,0
HP160,0,0,0,20876,0,0,0,0,0,0,0,0
HP161,28624,0,0,0,0,0,0,0,0,0,0,0
HP162,0,20763,0,0,0,0,0,0,0,0,0,0
HP163,34120,0,0,0,0,0,0,0,0,0,0,0
HP164,0,0,17111,0,0,0,0,0,0,0,0,0
HP165,0,0,0,0,0,0,0,30578,0,0,0,0
HP166,0,0,33025,0,0,0,0,0,0,0,0,0
HP167,0,0,0,0,0,0,19662,0,0,0,0,0
HP168,0,0,0,0,0,0,0,42582,0,0,0,0
HP169,0,0,0,0,0,0,0,0,0,0,0,22113
HP170,36644,0,0,0,0,0,0,0,0,0,0,0
HP171,36235,0,0,0,0,0,0,0,0,0,0,0
HP172,0,0,0,0,13388,0,0,0,0,0,0,3081
HP173,0,0,0,0,1684,0,0,0,0,0,0,20412
HP174,29681,0,0,0,0,0,0,0,0,0,0,0
HP175,22571,0,0,0,0,0,0,0,0,0,0,0
HP176,0,0,0,0,0,0,14642,0,0,0,0,6671
HP177,31651,0,0,0,0,0,0,0,0,0,0,0
HP178,0,0,0,0,0,24283,0,0,0,0,0,0
HP179,0,2071,0,0,0,0,0,0,0,0,0,23494
HP180,28092,0,0,0,0,0,0,0,0,0,0,0
HP181,33547,0,0,0,0,0,0,0,0,0,0,0
HP182,0,0,0,0,0,0,0,0,0,0,0,20784
HP183,0,0,0,20370,0,0,0,0,0,0,0,0
HP184,0,0,9063,0,0,0,0,0,0,0,0,0
HP185,31973,0,0,0,0,0,0,0,0,0,0,0
HP186,0,14895,0,0,0,0,0,0,0,0,0,0
HP187,31639,0,0,0,0,0,0,0,0,0,0,0
HP188,32185,0,0,0,0,0,0,0,0,0,0,0
HP189,0,0,0,25646,0,0,0,0,0,0,0,0
HP190,38383,0,0,0,0,0,0,0,0,0,0,0
HP191,0,0,0,0,21309,0,0,0,0,0,0,0
HP192,0,11853,0,0,0,0,0,0,0,0,0,8054
HP193,27094,0,0,0,0,0,0,0,0,0,0,0
HP194,0,0,0,0,12154,0,0,0,0,0,0,3531
HP195,26498,0,0,0,0,0,0,0,0,0,0,0
HP196,0,0,0,0,21201,0,0,0,0,0,0,0
HP197,0,0,15735,0,0,0,0,0,0,0,0,0
HP198,26962,0,0,0,0,0,0,0,0,0,0,0
HP199,0,0,0,0,0,0,0,0,0,0,0,22836
HP200,0,0,0,0,0,0,0,0,0,0,0,11912
HP201,0,0,0,0,0,26976,0,0,0,0,0,0
HP202,0,0,0,0,2412,0,0,0,0,0,0,25341
HP203,0,14915,0,0,0,0,0,0,0,0,0,0
HP204,0,0,0,6715,0,0,0,0,0,0,0,3460
HP205,0,0,0,0,0,0,0,0,0,0,0,13102
HP206,0,0,0,0,0,0,0,0,0,0,0,14592
HP207,0,15417,0,0,0,0,0,0,0,0,0,0
HP208,0,0,0,0,9347,0,0,0,0,0,0,4862
HP209,19967,0,0,0,0,0,0,0,0,0,0,0
HP210,0,0,0,0,0,0,0,18830,0,0,0,0
HP211,26872,0,0,0,0,0,0,0,0,0,0,0
HP212,0,13396,0,0,0,0,0,0,0,0,0,0
HP213,0,0,22857,0,0,0,0,0,0,0,0,0
HP214,15616,0,0,0,0,0,0,0,0,0,0,0
HP215,19825,0,0,0,0,0,0,0,0,0,0,0
HP216,6412,0,0,0,0,0,0,0,0,0,0,0
HP217,14559,0,0,0,0,0,0,0,0,0,0,0
HP218,23995,0,0,0,0,0,0,0,0,0,0,0
HP219,0,0,0,15714,0,0,0,0,0,0,0,0
HP220,0,0,0,0,0,0,0,0,0,0,0,12201
HP221,17533,0,0,0,0,0,0,0,0,0,0,0
HP222,19306,0,0,0,0,0,0,0,0,0,0,0
HP223,0,13880,0,0,0,0,0,0,0,0,0,0
HP224,0,15039,0,0,0,0,0,0,0,0,0,0
HP225,0,0,22069,0,0,0,0,0,0,0,0,0
HP226,0,0,0,0,0,0,0,18034,0,0,0,0
HP227,0,0,0,0,0,0,0,0,0,0,0,16924
HP228,22214,0,0,0,0,0,0,0,0,0,0,0
HP229,21633,0,0,0,0,0,0,0,0,0,0,0
HP230,0,0,0,0,0,0,0,20703,0,0,0,0
HP231,7401,0,0,0,0,0,0,0,0,0,0,0
HP232,0,0,0,0,0,0,0,0,0,0,0,11075
HP233,0,0,17299,0,0,0,0,0,0,0,0,0
HP234,13238,0,0,0,0,0,0,0,0,0,0,0
HP235,0,0,0,0,0,0,0,0,0,0,0,24701
HP236,0,0,0,0,0,0,0,0,0,0,0,17090
HP237,20894,0,0,0,0,0,0,0,0,0,0,0
HP238,0,11377,0,0,0,0,0,0,0,0,0,3052
HP239,0,0,0,0,0,0,0,20147,0,0,0,0
HP240,7329,0,0,0,0,0,0,0,0,0,0,0
HP241,0,0,0,0,0,0,0,0,0,0,0,18922
HP242,0,15865,0,0,0,0,0,0,0,0,0,0
HP243,13801,0,0,0,0,0,0,0,0,0,0,0
HP244,0,0,0,0,0,0,0,0,0,0,0,16408
HP245,19234,0,0,0,0,0,0,0,0,0,0,0
HP246,16550,0,0,0,0,0,0,0,0,0,0,0
HP247,0,0,0,0,0,0,0,0,174,0,0,16267
HP248,0,0,15003,0,0,0,0,0,0,0,0,0
HP249,0,15151,0,0,0,0,0,0,0,0,0,0
HP250,0,0,0,3032,0,0,0,0,0,0,0,11855
HP251,0,0,0,0,0,0,1243,0,0,0,0,10850
HP252,19345,0,0,0,0,0,0,0,0,0,0,0
HP253,19191,0,0,0,0,0,0,0,0,0,0,0
HP254,0,9881,0,0,0,0,0,0,0,0,0,0
HP255,0,15847,0,0,0,0,0,0,0,0,0,0
HP256,17581,0,0,0,0,0,0,0,0,0,0,0
HP257,17668,0,0,0,0,0,0,0,0,0,0,0
HP258,0,0,0,0,0,0,4954,0,0,0,0,3908
HP259,0,0,0,0,0,0,0,0,0,0,0,15219
HP260,14769,0,0,0,0,0,0,0,0,0,0,0
HP261,23097,0,0,0,0,0,0,0,0,0,0,0
HP262,25835,0,0,0,0,0,0,0,0,0,0,0
HP263,21617,0,0,0,0,0,0,0,0,0,0,0
HP264,0,0,0,0,0,185,0,0,0,0,15,12558
HP265,0,0,0,0,0,0,0,0,0,0,0,19934
HP266,17086,0,0,0,0,0,0,0,0,0,0,0
HP267,0,0,9582,0,0,0,0,0,0,0,0,0
HP268,0,0,0,0,0,0,0,0,0,0,0,12627
HP269,0,0,0,0,0,16645,0,0,0,0,0,0
HP270,0,0,0,0,0,0,0,0,0,554,0,11091
HP271,16952,0,0,0,0,0,0,0,0,0,0,0
HP272,0,0,0,0,0,0,0,0,286,0,0,7837
HP273,13611,0,0,0,0,0,0,0,0,0,0,1222
HP274,0,0,0,10260,0,0,0,0,0,0,0,0
HP275,0,0,0,0,0,0,0,0,559,0,0,11492
HP276,9678,0,0,0,0,0,0,0,0,0,0,0
HP277,14926,0,0,0,0,0,0,0,0,0,0,0
HP278,0,14059,0,0,0,0,0,0,0,0,0,0
HP279,17167,0,0,0,0,0,0,0,0,0,0,0
HP280,0,0,0,7162,0,0,0,0,0,0,0,6797
HP281,0,7586,0,0,0,0,0,0,0,0,0,12560
HP282,0,0,0,0,10340,0,0,0,0,0,0,0
HP283,0,0,12580,0,0,0,0,0,0,0,0,338
HP284,15883,0,0,0,0,0,0,0,0,0,0,0
HP285,0,0,0,0,0,0,0,0,0,3896,0,18939
HP286,20214,0,0,0,0,0,0,0,0,0,0,206
HP287,0,0,0,13632,0,0,0,0,0,0,0,0
HP288,0,0,0,4890,0,382,0,0,0,0,0,12189
HP289,0,0,0,0,0,0,0,0,0,533,0,5271
HP290,0,24381,0,0,0,0,0,0,0,0,0,0
HP291,0,0,0,0,0,0,0,0,1815,0,0,8496
HP292,0,21053,0,0,0,0,0,0,0,0,0,0
HP293,0,7088,0,0,0,0,0,0,0,0,0,8748
HP294,0,0,0,0,0,0,0,0,349,0,0,18569
HP295,0,0,0,0,0,0,0,0,0,0,0,18823
HP296,0,0,0,0,0,0,0,0,0,0,0,16294
HP297,0,0,0,0,0,0,0,0,0,0,0,15971
HP298,8076,0,0,0,0,0,0,0,0,0,0,0
HP299,0,9851,0,0,0,0,0,0,0,0,0,14390
HP300,0,9455,0,0,0,0,0,0,0,0,0,0
HP301,0,0,0,0,0,0,0,0,198,0,0,15935
HP302,0,0,0,0,0,0,0,0,296,0,0,24859
HP303,18493,0,0,0,0,0,0,0,0,0,0,0
HP304,0,0,16467,0,0,0,0,0,0,0,0,0
HP305,0,13916,0,0,0,0,0,0,0,0,0,0
HP306,0,0,0,0,0,0,0,0,0,204,0,18305
HP307,0,13774,0,0,0,0,0,0,0,0,0,0
HP308,0,0,0,0,0,159,0,0,0,0,23,10464
HP309,18747,0,0,0,0,0,0,0,0,0,0,0
HP310,0,0,21426,0,0,0,0,0,0,0,0,0
HP311,19193,0,0,0,0,0,0,0,0,0,0,0
HP312,18121,0,0,0,0,0,0,0,0,0,0,0
HP313,16837,0,0,0,0,0,0,0,0,0,0,0
HP314,0,0,0,0,6455,0,0,0,0,0,0,6334
HP315,0,15915,0,0,0,0,0,0,0,0,0,0
HP316,0,0,0,0,0,0,0,0,0,0,0,14910
HP317,0,15860,0,0,0,0,0,0,0,0,0,0
HP318,0,0,0,0,0,0,0,0,0,0,0,23352
HP319,0,0,0,0,0,0,0,0,0,0,0,8001
HP320,0,18809,0,0,0,0,0,0,0,0,0,0
HP321,0,15276,0,0,0,0,0,0,0,0,0,0
HP322,0,0,0,17693,0,0,0,0,0,0,0,0
HP323,0,16703,0,0,0,0,0,0,0,0,0,933
HP324,0,17010,0,0,0,0,0,0,0,0,0,0
HP325,0,0,0,9797,0,0,0,0,0,0,0,4452
HP326,0,0,0,0,0,0,0,0,0,0,0,16650
HP327,0,3480,0,0,0,0,0,0,0,0,0,7589
HP328,0,0,0,0,0,0,0,0,0,0,0,15419
HP329,26904,0,0,0,0,0,0,0,0,0,0,0
HP330,0,20296,0,0,0,0,0,0,0,0,0,0
HP331,0,15586,0,0,0,0,0,0,0,0,0,0
HP332,0,10428,0,0,0,0,0,0,0,0,0,0
HP333,0,0,0,13653,0,0,0,0,0,0,0,0
HP334,0,19091,0,0,0,0,0,0,0,0,0,0
HP335,0,0,0,0,0,0,0,0,0,0,0,23515
HP336,16041,0,0,0,0,0,0,0,0,0,0,0
HP337,0,0,0,20724,0,0,0,0,0,0,0,0
HP338,0,5248,0,0,0,0,0,0,0,0,0,4636
HP339,0,0,0,0,0,0,18385,0,0,0,0,0
HP340,0,0,0,0,0,0,0,0,0,0,0,13420
HP341,22022,0,0,0,0,0,0,0,0,0,0,0
HP342,0,24765,0,0,0,0,0,0,0,0,0,0
HP343,0,18749,0,0,0,0,0,0,0,0,0,0
HP344,0,0,0,0,0,0,17076,0,0,0,0,0
HP345,0,16080,0,0,0,0,0,0,0,0,0,0
HP346,0,0,0,0,0,0,0,0,0,0,0,16921
HP347,0,0,0,0,694,0,0,0,0,0,0,13655
HP348,0,0,0,0,10518,0,0,0,0,0,0,3935
HP349,0,12789,0,0,0,0,0,0,0,0,0,0
HP350,0,0,0,0,0,0,16169,0,0,0,0,0
HP351,26724,0,0,0,0,0,0,0,0,0,0,0
