index,d__Eukaryota,d__Bacteria,Unassigned,d__Archaea,SampleName,PlotOrder,SiteName,SiteID,SitePoint,Species,TissueType,PlugID,Treatment,Temp,pH,Tank,Timepoint
HPW106,36071.0,243.0,203.0,0.0,1707,43.0,Reef.11.13,P66,7,Pacuta,Hard,1707,HTAC,HT,AC,9,5
HPW107,39251.0,2685.0,205.0,0.0,1416,44.0,Reef.11.13,P32,4,Pacuta,Hard,1416,HTHC,HT,HC,5,11
HPW108,35.0,18522.0,197.0,0.0,1083,45.0,Reef.35.36,M40,4,Mcapitata,Hard,1083,ATAC,AT,AC,1,8
HPW109,14.0,22273.0,173.0,0.0,1436,46.0,Reef.35.36,M55,6,Mcapitata,Hard,1436,ATAC,AT,AC,6,8
HPW110,29.0,24077.0,293.0,0.0,1722,47.0,Reef.35.36,M41,5,Mcapitata,Hard,1722,HTAC,HT,AC,9,7
HPW111,26390.0,7264.0,133.0,0.0,2064,48.0,HIMB,P18,2,Pacuta,Hard,2064,HTAC,HT,AC,9,10
HPW112,19.0,31208.0,269.0,0.0,1755,49.0,Reef.42.43,P5,1,Pacuta,Hard,1755,ATAC,AT,AC,6,8
HPW113,50.0,27560.0,275.0,0.0,1315,50.0,Lilipuna.Fringe,M34,4,Mcapitata,Hard,1315,HTAC,HT,AC,4,10
HPW114,26.0,26300.0,291.0,0.0,1270,51.0,HIMB,M1,1,Mcapitata,Hard,1270,HTHC,HT,HC,5,11
HPW115,17181.0,423.0,195.0,0.0,2409,52.0,Lilipuna.Fringe,P68,7,Pacuta,Hard,2409,ATHC,AT,HC,11,7
HPW116,0.0,6798.0,35.0,0.0,1082,53.0,Reef.11.13,M3,1,Mcapitata,Hard,1082,HTHC,HT,HC,2,8
HPW117,59.0,19259.0,157.0,8.0,1455,54.0,Reef.35.36,M59,6,Mcapitata,Hard,1455,ATAC,AT,AC,6,7
HPW118,29272.0,956.0,142.0,0.0,1281,55.0,Reef.35.36,P17,2,Pacuta,Hard,1281,ATHC,AT,HC,3,7
HPW119,22.0,14588.0,163.0,0.0,2188,56.0,Reef.35.36,M15,2,Mcapitata,Hard,2188,ATHC,AT,HC,11,11
HPW120,15890.0,5761.0,150.0,4.0,1728,57.0,Reef.18,P35,4,Pacuta,Hard,1728,HTAC,HT,AC,4,7
HPW121,20292.0,448.0,149.0,0.0,1427,58.0,Lilipuna.Fringe,P51,6,Pacuta,Hard,1427,HTHC,HT,HC,5,7
HPW122,32.0,12848.0,196.0,0.0,1321,59.0,Reef.11.13,M16,2,Mcapitata,Hard,1321,HTAC,HT,AC,4,5
HPW123,26542.0,1721.0,128.0,0.0,2564,60.0,Reef.18,P66,7,Pacuta,Hard,2564,ATHC,AT,HC,12,8
HPW124,39.0,21338.0,665.0,0.0,2067,61.0,HIMB,M16,2,Mcapitata,Hard,2067,HTHC,HT,HC,10,8
HPW125,26971.0,9467.0,379.0,9.0,1159,62.0,Reef.42.43,P20,2,Pacuta,Hard,1159,ATAC,AT,AC,1,10
HPW126,20584.0,708.0,315.0,0.0,1571,63.0,Reef.35.36,P36,4,Pacuta,Hard,1571,HTAC,HT,AC,7,5
HPW127,11.0,19284.0,755.0,0.0,2737,64.0,Reef.35.36,M14,2,Mcapitata,Hard,2737,ATHC,AT,HC,11,10
HPW128,26424.0,497.0,353.0,0.0,1487,65.0,Lilipuna.Fringe,P9,1,Pacuta,Hard,1487,HTAC,HT,AC,7,7
HPW129,12.0,35337.0,349.0,0.0,1223,66.0,Reef.42.43,M32,4,Mcapitata,Hard,1223,ATHC,AT,HC,3,7
