index,d__Eukaryota;__,d__Bacteria;__,d__Bacteria;p__Proteobacteria,d__Bacteria;p__Bacteroidota,d__Bacteria;p__Cyanobacteria,Unassigned;__,d__Bacteria;p__SAR324_clade(Marine_group_B),d__Bacteria;p__Actinobacteriota,d__Bacteria;p__Spirochaetota,d__Bacteria;p__Desulfobacterota,d__Bacteria;p__Myxococcota,d__Bacteria;p__Verrucomicrobiota,d__Bacteria;p__Firmicutes,d__Bacteria;p__Campilobacterota,d__Bacteria;p__Planctomycetota,d__Bacteria;p__Fusobacteriota,d__Bacteria;p__Acidobacteriota,d__Archaea;p__Nanoarchaeota,d__Bacteria;p__Bdellovibrionota,d__Bacteria;p__Deferribacterota,d__Archaea;p__Crenarchaeota,d__Bacteria;p__Patescibacteria,d__Bacteria;p__Marinimicrobia_(SAR406_clade),d__Bacteria;p__Chloroflexi,d__Bacteria;p__Halanaerobiaeota,d__Bacteria;p__WPS-2,d__Bacteria;p__Dependentiae,d__Bacteria;p__Dadabacteria,d__Bacteria;p__Deinococcota,d__Bacteria;p__Sumerlaeota,d__Bacteria;p__Calditrichota,d__Bacteria;p__Gemmatimonadota,d__Archaea;p__Halobacterota,d__Bacteria;p__Margulisbacteria,d__Eukaryota;p__Dinoflagellata,d__Bacteria;p__Cloacimonadota,d__Bacteria;p__LCP-89,d__Bacteria;p__Nitrospirota,d__Bacteria;p__Sva0485,d__Archaea;p__Thermoplasmatota,d__Bacteria;p__NB1-j,d__Bacteria;p__Fibrobacterota,d__Bacteria;p__Hydrogenedentes,d__Bacteria;p__Latescibacterota,d__Bacteria;p__Armatimonadota,d__Eukaryota;p__Cnidaria,d__Archaea;p__Euryarchaeota,SampleName,PlotOrder,SiteName,SiteID,SitePoint,Species,TissueType,PlugID,Treatment,Temp,pH,Tank,Timepoint
HPW070,23763.0,40.0,144.0,932.0,310.0,252.0,0.0,37.0,0.0,0.0,0.0,2.0,8.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1303,11.0,Reef.35.36,P70,7,Pacuta,Hard,1303,HTAC,HT,AC,4,5
HPW071,23106.0,82.0,299.0,148.0,712.0,531.0,13.0,24.0,0.0,0.0,0.0,2.0,22.0,75.0,20.0,0.0,0.0,0.0,6.0,0.0,0.0,8.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647,12.0,HIMB,P35,4,Pacuta,Hard,1647,HTAC,HT,AC,7,11
HPW072,17.0,11933.0,221.0,28.0,146.0,153.0,37.0,28.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1058,13.0,Lilipuna.Fringe,M46,5,Mcapitata,Hard,1058,ATAC,AT,AC,1,7
HPW073,31598.0,17.0,142.0,53.0,201.0,229.0,0.0,48.0,0.0,9.0,0.0,5.0,2.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2877,14.0,HIMB,P12,2,Pacuta,Hard,2877,ATHC,AT,HC,12,5
HPW074,33055.0,43.0,73.0,16.0,979.0,182.0,0.0,75.0,0.0,0.0,0.0,7.0,67.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1225,15.0,HIMB,P24,3,Pacuta,Hard,1225,HTAC,HT,AC,4,10
HPW075,15621.0,18.0,2837.0,234.0,78.0,220.0,0.0,51.0,0.0,52.0,0.0,58.0,16.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1563,16.0,Lilipuna.Fringe,P21,3,Pacuta,Hard,1563,ATAC,AT,AC,8,5
HPW076,9501.0,548.0,21882.0,5956.0,5300.0,65.0,59.0,15.0,356.0,1756.0,150.0,724.0,334.0,281.0,559.0,0.0,128.0,25.0,532.0,0.0,5.0,140.0,0.0,3.0,0.0,2.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2513,17.0,Reef.18,P15,2,Pacuta,Hard,2513,HTAC,HT,AC,9,8
HPW077,14.0,9237.0,308.0,18.0,67.0,218.0,18.0,32.0,0.0,0.0,0.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1779,18.0,Reef.42.43,M41,5,Mcapitata,Hard,1779,ATAC,AT,AC,8,8
HPW078,16.0,10961.0,141.0,42.0,95.0,90.0,38.0,25.0,0.0,0.0,132.0,9.0,12.0,15.0,15.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1332,19.0,Reef.11.13,M30,3,Mcapitata,Hard,1332,HTHC,HT,HC,5,10
HPW079,26853.0,43.0,181.0,18.0,64.0,283.0,0.0,58.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2413,20.0,Reef.18,P21,3,Pacuta,Hard,2413,ATAC,AT,AC,8,7
HPW080,7485.0,0.0,4.0,3.0,122.0,49.0,0.0,17.0,0.0,0.0,0.0,0.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1059,21.0,Reef.11.13,P70,7,Pacuta,Hard,1059,ATAC,AT,AC,1,5
HPW081,50.0,11990.0,13205.0,11.0,104.0,208.0,15.0,38.0,0.0,0.0,44.0,0.0,15.0,133.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2386,22.0,Reef.18,M72,8,Mcapitata,Hard,2386,HTAC,HT,AC,7,8
HPW082,15856.0,218.0,2641.0,214.0,713.0,593.0,36.0,38.0,0.0,3.0,2.0,35.0,1071.0,240.0,10.0,11.0,2.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1582,23.0,Lilipuna.Fringe,P70,7,Pacuta,Hard,1582,HTAC,HT,AC,9,11
HPW083,16329.0,48.0,96.0,241.0,61.0,99.0,28.0,76.0,0.0,0.0,6.0,0.0,20.0,1055.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2185,24.0,HIMB,P4,1,Pacuta,Hard,2185,HTHC,HT,HC,10,11
HPW084,24369.0,38.0,196.0,70.0,206.0,190.0,0.0,56.0,2.0,16.0,5.0,10.0,12.0,0.0,23.0,19.0,8.0,0.0,22.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1184,25.0,Lilipuna.Fringe,P66,7,Pacuta,Hard,1184,HTHC,HT,HC,2,8
HPW085,29062.0,104.0,71.0,9.0,7.0,338.0,0.0,37.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1415,26.0,Reef.11.13,P11,2,Pacuta,Hard,1415,HTHC,HT,HC,5,5
HPW086,27055.0,31.0,193.0,772.0,337.0,130.0,0.0,58.0,0.0,498.0,0.0,0.0,11.0,53.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1168,27.0,Reef.35.36,P62,7,Pacuta,Hard,1168,HTHC,HT,HC,2,5
HPW087,19009.0,60.0,128.0,495.0,130.0,200.0,0.0,42.0,0.0,2.0,0.0,32.0,5.0,0.0,26.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2879,28.0,HIMB,P46,5,Pacuta,Hard,2879,ATHC,AT,HC,12,11
HPW088,25.0,13224.0,1303.0,19.0,117.0,195.0,0.0,7.0,0.0,0.0,0.0,0.0,20.0,12.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2753,29.0,Reef.42.43,M53,6,Mcapitata,Hard,2753,ATHC,AT,HC,12,8
HPW089,13.0,19017.0,863.0,162.0,1465.0,270.0,22.0,41.0,0.0,0.0,6.0,20.0,23.0,119.0,17.0,0.0,0.0,0.0,13.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1278,30.0,Reef.11.13,M60,6,Mcapitata,Hard,1278,HTAC,HT,AC,4,7
HPW090,36303.0,29.0,97.0,695.0,255.0,256.0,0.0,52.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2197,31.0,Reef.35.36,P10,1,Pacuta,Hard,2197,ATHC,AT,HC,11,10
HPW091,30392.0,78.0,297.0,20.0,374.0,543.0,0.0,76.0,0.0,0.0,0.0,0.0,60.0,6.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1820,32.0,Reef.11.13,P62,7,Pacuta,Hard,1820,HTHC,HT,HC,10,7
HPW092,27865.0,134.0,918.0,608.0,3819.0,623.0,133.0,53.0,0.0,14.0,0.0,99.0,23.0,0.0,268.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1103,33.0,Reef.42.43,P50,5,Pacuta,Hard,1103,ATAC,AT,AC,1,11
HPW093,18.0,6709.0,76.0,8.0,100.0,102.0,3.0,12.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1645,34.0,Reef.42.43,M19,2,Mcapitata,Hard,1645,HTAC,HT,AC,7,7
HPW094,0.0,8674.0,73.0,30.0,64.0,81.0,3.0,18.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,6.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1076,35.0,Reef.35.36,M26,3,Mcapitata,Hard,1076,ATAC,AT,AC,1,11
HPW095,23.0,15193.0,69.0,0.0,40.0,148.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1126,36.0,Reef.42.43,M13,2,Mcapitata,Hard,1126,HTHC,HT,HC,2,7
HPW096,16215.0,13.0,109.0,37.0,107.0,211.0,0.0,32.0,0.0,11.0,4.0,5.0,17.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2306,37.0,Reef.18,P20,2,Pacuta,Hard,2306,ATAC,AT,AC,6,11
HPW101,38397.0,34.0,113.0,1046.0,40.0,289.0,0.0,52.0,57.0,28.0,0.0,0.0,7.0,0.0,7.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1246,38.0,Reef.42.43,M39,4,Mcapitata,Hard,1246,HTHC,HT,HC,5,8
HPW102,142.0,16229.0,6054.0,65.0,46.0,95.0,69.0,24.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1196,39.0,Reef.18,M48,5,Mcapitata,Hard,1196,ATAC,AT,AC,1,5
HPW103,29513.0,15.0,50.0,422.0,28.0,141.0,0.0,26.0,0.0,0.0,0.0,0.0,5.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1296,40.0,Reef.11.13,P21,3,Pacuta,Hard,1296,ATHC,AT,HC,3,5
HPW104,19.0,10952.0,395.0,11.0,27.0,171.0,21.0,35.0,0.0,0.0,0.0,0.0,2.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2735,41.0,Reef.42.43,M68,7,Mcapitata,Hard,2735,ATHC,AT,HC,11,8
HPW105,39.0,15786.0,449.0,160.0,569.0,173.0,15.0,20.0,0.0,0.0,135.0,18.0,30.0,0.0,29.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2380,42.0,Reef.18,M52,6,Mcapitata,Hard,2380,HTAC,HT,AC,7,11
HPW106,36071.0,50.0,63.0,24.0,63.0,203.0,0.0,13.0,3.0,2.0,0.0,5.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1707,43.0,Reef.11.13,P66,7,Pacuta,Hard,1707,HTAC,HT,AC,9,5
HPW107,39251.0,37.0,158.0,69.0,2368.0,205.0,0.0,24.0,0.0,6.0,0.0,9.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1416,44.0,Reef.11.13,P32,4,Pacuta,Hard,1416,HTHC,HT,HC,5,11
HPW108,35.0,17462.0,926.0,7.0,56.0,197.0,8.0,20.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1083,45.0,Reef.35.36,M40,4,Mcapitata,Hard,1083,ATAC,AT,AC,1,8
HPW109,14.0,21529.0,274.0,19.0,121.0,173.0,248.0,41.0,0.0,0.0,20.0,5.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1436,46.0,Reef.35.36,M55,6,Mcapitata,Hard,1436,ATAC,AT,AC,6,8
HPW110,29.0,17220.0,5684.0,209.0,401.0,293.0,16.0,45.0,0.0,0.0,32.0,324.0,8.0,0.0,85.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1722,47.0,Reef.35.36,M41,5,Mcapitata,Hard,1722,HTAC,HT,AC,9,7
HPW111,26390.0,6.0,2243.0,145.0,55.0,133.0,0.0,32.0,19.0,4716.0,0.0,0.0,28.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2064,48.0,HIMB,P18,2,Pacuta,Hard,2064,HTAC,HT,AC,9,10
HPW112,19.0,26193.0,4355.0,25.0,235.0,269.0,0.0,57.0,0.0,0.0,12.0,2.0,0.0,311.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1755,49.0,Reef.42.43,P5,1,Pacuta,Hard,1755,ATAC,AT,AC,6,8
HPW113,50.0,27058.0,399.0,0.0,32.0,275.0,0.0,49.0,0.0,7.0,0.0,0.0,5.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1315,50.0,Lilipuna.Fringe,M34,4,Mcapitata,Hard,1315,HTAC,HT,AC,4,10
