Sample	Clade	Ploidy
Pacuta_HTAC_TP1_1653	CladePA7	2
Pacuta_HTAC_TP1_2005	CladePA3	3
Pacuta_HTAC_TP1_2414	CladePA1	3
Pacuta_HTAC_TP3_1617	CladePA3	3
Pacuta_HTAC_TP3_1642	CladePA2	3
Pacuta_HTAC_TP3_2026	CladePA5	2
Pacuta_HTAC_TP4_1581	CladePA4	3
Pacuta_HTAC_TP4_1701	CladePA3	3
Pacuta_HTAC_TP4_1767	CladePA2	3
Pacuta_HTAC_TP5_1303	CladePA5	2
Pacuta_HTAC_TP5_1571	CladePA5	2
Pacuta_HTAC_TP5_1707	CladePA1	3
Pacuta_HTAC_TP6_1330	CladePA5	2
Pacuta_HTAC_TP6_1466	CladePA1	3
Pacuta_HTAC_TP6_1744	CladePA6	2
Pacuta_HTAC_TP7_1487	CladePA5	2
Pacuta_HTAC_TP7_1728	CladePA1	3
Pacuta_HTAC_TP7_2072	CladePA2	3
Pacuta_HTAC_TP8_1329	CladePA5	2
Pacuta_HTAC_TP8_1765	CladePA3	3
Pacuta_HTAC_TP8_2513	CladePA1	3
Pacuta_HTAC_TP9_1302	CladePA6	2
Pacuta_HTAC_TP9_1486	CladePA6	2
Pacuta_HTAC_TP9_1696	CladePA1	3
Pacuta_HTAC_TP10_1225	CladePA5	2
Pacuta_HTAC_TP10_1536	CladePA3	3
Pacuta_HTAC_TP10_2064	CladePA1	3
Pacuta_HTAC_TP11_1582	CladePA3	3
Pacuta_HTAC_TP11_1596	CladePA1	3
Pacuta_HTAC_TP11_1647	CladePA3	3
Pacuta_HTHC_TP1_1239	CladePA3	3
Pacuta_HTHC_TP1_1676	CladePA5	2
Pacuta_HTHC_TP1_2210	CladePA7	2
Pacuta_HTHC_TP3_1227	CladePA1	3
Pacuta_HTHC_TP3_1418	CladePA5	2
Pacuta_HTHC_TP3_2527	CladePA5	2
Pacuta_HTHC_TP4_1169	CladePA5	2
Pacuta_HTHC_TP4_1343	CladePA4	3
Pacuta_HTHC_TP4_2195	CladePA3	3
Pacuta_HTHC_TP5_1168	CladePA5	2
Pacuta_HTHC_TP5_1415	CladePA2	2
Pacuta_HTHC_TP5_2087	CladePA1	3
Pacuta_HTHC_TP6_1138	CladePA1	3
Pacuta_HTHC_TP6_1595	CladePA1	3
Pacuta_HTHC_TP6_1721	CladePA7	2
Pacuta_HTHC_TP7_1090	CladePA3	3
Pacuta_HTHC_TP7_1427	CladePA4	3
Pacuta_HTHC_TP7_1820	CladePA3	3
Pacuta_HTHC_TP8_1184	CladePA4	3
Pacuta_HTHC_TP8_1709	CladePA1	3
Pacuta_HTHC_TP8_2304	CladePA1	3
Pacuta_HTHC_TP9_1131	CladePA1	3
Pacuta_HTHC_TP9_2202	CladePA1	3
Pacuta_HTHC_TP9_2305	CladePA1	3
Pacuta_HTHC_TP10_1238	CladePA3	3
Pacuta_HTHC_TP10_1732	CladePA3	3
Pacuta_HTHC_TP10_2300	CladePA1	3
Pacuta_HTHC_TP11_1416	CladePA5	2
Pacuta_HTHC_TP11_2185	CladePA2	3
