Sample	Clade
Mcapitata_HTAC_TP4_1481	CladeMC2
Mcapitata_HTAC_TP4_2000	CladeMC1
Mcapitata_HTAC_TP5_1321	CladeMC2
Mcapitata_HTAC_TP5_1583	CladeMC1
Mcapitata_HTAC_TP5_1997	CladeMC1
Mcapitata_HTAC_TP6_1496	CladeMC5
Mcapitata_HTAC_TP6_1588	CladeMC1
Mcapitata_HTAC_TP6_1705	CladeMC4
Mcapitata_HTAC_TP7_1278	CladeMC2
Mcapitata_HTAC_TP7_1645	CladeMC2
Mcapitata_HTAC_TP7_1722	CladeMC5
Mcapitata_HTAC_TP8_1235	CladeMC1
Mcapitata_HTAC_TP8_2386	CladeMC6
Mcapitata_HTAC_TP8_2410	CladeMC6
Mcapitata_HTAC_TP9_1306	CladeMC1
Mcapitata_HTAC_TP9_1467	CladeMC1
Mcapitata_HTAC_TP9_2412	CladeMC1
Mcapitata_HTAC_TP10_1315	CladeMC2
Mcapitata_HTAC_TP10_1478	CladeMC5
Mcapitata_HTAC_TP10_1754	CladeMC1
Mcapitata_HTAC_TP11_1248	CladeMC2
Mcapitata_HTAC_TP11_1562	CladeMC1
Mcapitata_HTAC_TP11_2380	CladeMC1
Mcapitata_HTAC_TP12_1632	CladeMC1
Mcapitata_HTAC_TP12_1729	CladeMC6
Mcapitata_HTAC_TP12_2007	CladeMC1
Mcapitata_HTHC_TP1_1145	CladeMC2
Mcapitata_HTHC_TP1_1323	CladeMC2
Mcapitata_HTHC_TP1_2081	CladeMC1
Mcapitata_HTHC_TP3_1128	CladeMC6
Mcapitata_HTHC_TP3_1277	CladeMC5
Mcapitata_HTHC_TP3_2518	CladeMC1
Mcapitata_HTHC_TP4_1124	CladeMC1
Mcapitata_HTHC_TP4_1328	CladeMC1
Mcapitata_HTHC_TP4_2204	CladeMC1
Mcapitata_HTHC_TP5_1345	CladeMC2
Mcapitata_HTHC_TP5_1449	CladeMC3
Mcapitata_HTHC_TP5_1694	CladeMC1
Mcapitata_HTHC_TP6_1164	CladeMC4
Mcapitata_HTHC_TP6_1317	CladeMC1
Mcapitata_HTHC_TP6_1604	CladeMC3
Mcapitata_HTHC_TP7_1126	CladeMC6
Mcapitata_HTHC_TP7_1250	CladeMC1
Mcapitata_HTHC_TP7_2419	CladeMC1
Mcapitata_HTHC_TP8_1082	CladeMC1
Mcapitata_HTHC_TP8_1246	CladeMC5
Mcapitata_HTHC_TP8_2067	CladeMC5
Mcapitata_HTHC_TP9_1078	CladeMC3
Mcapitata_HTHC_TP9_1331	CladeMC5
Mcapitata_HTHC_TP9_2009	CladeMC1
Mcapitata_HTHC_TP10_1074	CladeMC1
Mcapitata_HTHC_TP10_1332	CladeMC2
Mcapitata_HTHC_TP10_1689	CladeMC5
Mcapitata_HTHC_TP11_1178	CladeMC1
Mcapitata_HTHC_TP11_1270	CladeMC2
Mcapitata_HTHC_TP11_2511	CladeMC3
Mcapitata_HTHC_TP12_1140	CladeMC3
Mcapitata_HTHC_TP12_1274	CladeMC3
Mcapitata_HTHC_TP12_2190	CladeMC3
