Mooring Name,Latitude,Longitude,Date,Time,xCO2  SW (wet) (umol/mol),QF,H2O (mmol/mol),xCO2  Air (wet) (umol/mol),QF,H2O (mmol/mol),Licor Atm Pressure  (hPa),Licor Temp (C),% O2,SST (C),Salinity,xCO2  SW (dry) (umol/mol),xCO2  Air (dry) (umol/mol),fCO2  SW (sat) uatm,fCO2  Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2
CRIMP2_158W_21N,21.458,-157.798,6/10/2013,5:17,425.2,2,8.69,394.1,2,8.7,1013.6,27.9,103.66,26.018,35.142,429,397.5,413.8,383.5,30.3,415.1,384.7,30.4
CRIMP2_158W_21N,21.458,-157.798,6/10/2013,6:17,438.6,2,8.63,393.8,2,8.66,1014.2,27.8,103.29,25.943,35.135,442.4,397.3,427.1,383.6,43.6,428.5,384.8,43.7
CRIMP2_158W_21N,21.458,-157.798,6/10/2013,7:17,471.4,2,8.65,394,2,8.71,1014.5,27.7,102.76,25.86,35.14,475.5,397.5,459.3,383.9,75.4,460.8,385.2,75.6
CRIMP2_158W_21N,21.458,-157.798,6/10/2013,8:17,538.6,2,8.7,394.2,2,8.74,1014.8,27.7,101.75,25.739,35.16,543.3,397.7,525.1,384.3,140.8,526.7,385.5,141.2
CRIMP2_158W_21N,21.458,-157.798,6/10/2013,9:17,491.6,2,8.73,394.1,2,8.77,1014.6,27.6,101.24,25.831,35.191,495.9,397.5,479.1,384.1,95.1,480.6,385.3,95.4
CRIMP2_158W_21N,21.458,-157.798,6/10/2013,10:17,445.5,2,8.77,394.6,2,8.8,1014.1,27.6,100.86,26.065,35.218,449.4,398.1,433.8,384.2,49.5,435.1,385.4,49.7
CRIMP2_158W_21N,21.458,-157.798,6/10/2013,11:17,447.4,2,8.73,394,2,8.77,1013.6,27.5,100.36,25.982,35.216,451.4,397.5,435.4,383.5,52,436.8,384.7,52.1
CRIMP2_158W_21N,21.458,-157.798,6/10/2013,12:17,459.9,2,8.72,394,2,8.73,1013.1,27.5,99.76,25.784,35.221,463.9,397.5,447.5,383.4,64.1,449,384.6,64.3
CRIMP2_158W_21N,21.458,-157.798,6/10/2013,13:17,500.7,2,8.64,394,2,8.68,1012.9,27.4,99.03,25.383,35.205,505,397.4,487.5,383.6,103.9,489,384.8,104.2
CRIMP2_158W_21N,21.458,-157.798,6/10/2013,14:17,554.8,2,8.58,393.8,2,8.62,1012.9,27.3,98.06,25.135,35.205,559.6,397.3,540.4,383.6,156.8,542.2,384.9,157.3
CRIMP2_158W_21N,21.458,-157.798,6/10/2013,15:17,591.9,2,8.57,393.9,2,8.6,1013.2,27.2,97.21,24.921,35.203,597,397.3,576.9,384,193,578.8,385.2,193.6
CRIMP2_158W_21N,21.458,-157.798,6/10/2013,16:17,629.4,2,8.62,394.3,2,8.65,1013.6,27.2,96.5,24.813,35.205,634.9,397.7,613.9,384.6,229.3,615.9,385.8,230.1
CRIMP2_158W_21N,21.458,-157.798,6/10/2013,17:17,650.6,2,8.94,394.2,2,8.98,1013.8,27.1,95.86,24.746,35.208,656.4,397.8,634.9,384.7,250.2,637,386,251
CRIMP2_158W_21N,21.458,-157.798,6/10/2013,18:17,625,2,9.31,393.9,2,9.31,1014.2,27.1,95.84,24.752,35.211,630.8,397.6,610.4,384.8,225.6,612.4,386,226.4
CRIMP2_158W_21N,21.458,-157.798,6/10/2013,19:17,583.7,2,9.45,393.6,2,9.42,1014.4,27.2,96.14,24.911,35.214,589.3,397.4,570.2,384.5,185.7,572,385.7,186.3
CRIMP2_158W_21N,21.458,-157.798,6/10/2013,20:17,519.1,2,9.49,393.5,2,9.39,1014.2,27.4,97,25.144,35.213,524.1,397.2,506.7,384.1,122.7,508.4,385.3,123.1
CRIMP2_158W_21N,21.458,-157.798,6/10/2013,21:17,448.8,2,9.56,393.4,2,9.48,1013.7,27.6,98.41,25.412,35.214,453.1,397.2,437.7,383.6,54,439,384.8,54.2
CRIMP2_158W_21N,21.458,-157.798,6/10/2013,22:17,397.7,2,9.65,393.1,2,9.53,1013.5,27.8,99.82,25.948,35.191,401.6,396.9,387.4,382.9,4.5,388.6,384.1,4.5
CRIMP2_158W_21N,21.458,-157.798,6/10/2013,23:17,349,2,9.74,393,2,9.59,1012.9,28,101.61,26.497,35.173,352.5,396.8,339.5,382.2,-42.7,340.5,383.4,-42.9
CRIMP2_158W_21N,21.458,-157.798,6/11/2013,0:17,325.9,2,9.72,392.9,2,9.59,1012.5,28.2,102.83,26.805,35.201,329.1,396.7,316.6,381.7,-65.1,317.6,382.9,-65.3
CRIMP2_158W_21N,21.458,-157.798,6/11/2013,1:17,334.9,2,9.71,393.1,2,9.56,1012.3,28.3,103.66,26.775,35.202,338.2,396.9,325.3,381.8,-56.5,326.3,383,-56.6
CRIMP2_158W_21N,21.458,-157.798,6/11/2013,2:17,336.3,2,9.64,392.9,2,9.59,1011.8,28.4,104.69,26.748,35.204,339.6,396.7,326.5,381.4,-54.9,327.5,382.6,-55.1
CRIMP2_158W_21N,21.458,-157.798,6/11/2013,3:17,366.4,2,9.28,393.1,2,9.24,1011.7,28.4,105.13,26.361,35.193,369.9,396.8,355.9,381.8,-25.9,357,383,-25.9
CRIMP2_158W_21N,21.458,-157.798,6/11/2013,4:17,363.1,2,9,393.3,2,8.95,1012,28.4,105.32,26.409,35.204,366.4,396.9,352.6,381.9,-29.3,353.7,383.1,-29.4
CRIMP2_158W_21N,21.458,-157.798,6/11/2013,5:17,402,2,8.75,394.1,2,8.71,1012.2,28.3,104.93,26.147,35.151,405.5,397.6,390.6,382.9,7.7,391.8,384.1,7.7
CRIMP2_158W_21N,21.458,-157.798,6/11/2013,6:17,431.4,2,8.71,393.6,2,8.72,1012.6,28.1,104.45,26.032,35.151,435.2,397.1,419.4,382.6,36.7,420.7,383.9,36.8
CRIMP2_158W_21N,21.458,-157.798,6/11/2013,7:17,494,2,8.79,393.6,2,8.84,1013,28,103.38,25.86,35.155,498.4,397.1,480.7,383,97.7,482.2,384.2,98
