index,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,d__Bacteria;p__Bacteroidota;c__Bacteroidia,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia,Unassigned;__;__,d__Bacteria;__;__,d__Bacteria;p__SAR324_clade(Marine_group_B);c__SAR324_clade(Marine_group_B),d__Bacteria;p__Actinobacteriota;c__Actinobacteria,d__Bacteria;p__Bacteroidota;c__Chlorobia,d__Bacteria;p__Spirochaetota;c__Spirochaetia,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria,d__Bacteria;p__Myxococcota;c__Myxococcia,d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia,d__Bacteria;p__Firmicutes;c__Bacilli,d__Bacteria;p__Campilobacterota;c__Campylobacteria,d__Bacteria;p__Planctomycetota;c__Pla4_lineage,d__Eukaryota;p__Retaria;c__Foraminifera,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia,d__Bacteria;p__Firmicutes;c__Clostridia,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae,d__Bacteria;p__Bacteroidota;c__Rhodothermia,d__Eukaryota;__;__,d__Bacteria;p__Planctomycetota;c__vadinHA49,d__Bacteria;p__Acidobacteriota;c__Holophagae,d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia,d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia,d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae,d__Bacteria;p__Bdellovibrionota;c__Oligoflexia,d__Bacteria;p__Bacteroidota;c__Ignavibacteria,d__Bacteria;p__Planctomycetota;c__Planctomycetes,d__Bacteria;p__Deferribacterota;c__Deferribacteres,d__Bacteria;p__Proteobacteria;__,d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia,d__Bacteria;p__Planctomycetota;c__Phycisphaerae,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia,d__Bacteria;p__Proteobacteria;c__Magnetococcia,d__Archaea;p__Crenarchaeota;c__Nitrososphaeria,d__Bacteria;p__Planctomycetota;__,d__Bacteria;p__Marinimicrobia_(SAR406_clade);c__Marinimicrobia_(SAR406_clade),d__Bacteria;p__Patescibacteria;c__Parcubacteria,d__Bacteria;p__Chloroflexi;c__Anaerolineae,d__Bacteria;p__Patescibacteria;c__Gracilibacteria,d__Bacteria;p__Planctomycetota;c__BD7-11,d__Bacteria;p__Halanaerobiaeota;c__Halanaerobiia,d__Bacteria;p__Bacteroidota;c__Kapabacteria,d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia,d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia,d__Bacteria;p__Planctomycetota;c__Pla3_lineage,d__Bacteria;p__WPS-2;c__WPS-2,d__Bacteria;p__Myxococcota;__,d__Bacteria;p__Dependentiae;c__Babeliae,d__Bacteria;p__Planctomycetota;c__OM190,d__Bacteria;p__Dadabacteria;c__Dadabacteriia,d__Bacteria;p__Patescibacteria;c__Saccharimonadia,d__Bacteria;p__Chloroflexi;c__Chloroflexia,d__Bacteria;p__Firmicutes;c__Negativicutes,d__Bacteria;p__Cyanobacteria;c__Vampirivibrionia,d__Bacteria;p__Deinococcota;c__Deinococci,d__Bacteria;p__Sumerlaeota;c__Sumerlaeia,d__Bacteria;p__Gemmatimonadota;c__PAUC43f_marine_benthic_group,d__Bacteria;p__Patescibacteria;c__ABY1,d__Bacteria;p__Spirochaetota;c__Leptospirae,d__Bacteria;p__Desulfobacterota;c__Desulfarculia,d__Bacteria;p__Acidobacteriota;c__Aminicenantia,d__Archaea;p__Halobacterota;c__Methanosarcinia,d__Bacteria;p__Margulisbacteria;c__Margulisbacteria,d__Bacteria;p__Campilobacterota;c__Desulfurellia,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia,d__Bacteria;p__Chloroflexi;c__Dehalococcoidia,d__Eukaryota;p__Ciliophora;c__Intramacronucleata,d__Bacteria;p__Myxococcota;c__Polyangia,d__Bacteria;p__Calditrichota;c__Calditrichia,d__Bacteria;p__Acidobacteriota;c__Blastocatellia,d__Eukaryota;p__Dinoflagellata;c__Dinophyceae,d__Bacteria;p__Nitrospirota;c__Nitrospiria,d__Bacteria;p__Cloacimonadota;c__Cloacimonadia,d__Bacteria;p__Verrucomicrobiota;c__Omnitrophia,d__Bacteria;p__Sva0485;c__Sva0485,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata,d__Bacteria;p__Planctomycetota;c__028H05-P-BN-P5,d__Bacteria;p__LCP-89;c__LCP-89,d__Bacteria;p__Fibrobacterota;c__Fibrobacteria,d__Bacteria;p__Hydrogenedentes;c__Hydrogenedentia,d__Bacteria;p__Actinobacteriota;c__Thermoleophilia,d__Bacteria;p__NB1-j;c__NB1-j,d__Bacteria;p__Desulfobacterota;__,d__Bacteria;p__Gemmatimonadota;c__BD2-11_terrestrial_group,d__Bacteria;p__Latescibacterota;c__Latescibacterota,d__Bacteria;p__Fibrobacterota;c__Chitinivibrionia,d__Bacteria;p__Actinobacteriota;c__Rubrobacteria,d__Bacteria;p__Myxococcota;c__bacteriap25,d__Bacteria;p__Acidobacteriota;c__Subgroup_22,d__Eukaryota;p__Porifera;c__Demospongiae,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes,d__Bacteria;p__Cyanobacteria;c__Sericytochromatia,d__Bacteria;p__Firmicutes;c__Desulfitobacteriia,d__Bacteria;p__Armatimonadota;c__Armatimonadia,d__Eukaryota;p__Cnidaria;c__Anthozoa,d__Bacteria;p__Firmicutes;__,d__Bacteria;p__Chloroflexi;c__KD4-96,d__Archaea;p__Halobacterota;c__Halobacteria,d__Archaea;p__Euryarchaeota;c__Methanobacteria,SampleName,PlotOrder,SiteName,SiteID,SitePoint,Species,TissueType,PlugID,Treatment,Temp,pH,Tank,Timepoint
HPW070,61.0,864.0,291.0,1022.0,6.0,0.0,31.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1303,11.0,Reef.35.36,P70,7,Pacuta,Hard,1303,HTAC,HT,AC,4,5
HPW071,183.0,124.0,683.0,1427.0,91.0,14.0,26.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,16.0,72.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647,12.0,HIMB,P35,4,Pacuta,Hard,1647,HTAC,HT,AC,7,11
HPW072,203.0,25.0,144.0,235.0,211.0,37.0,25.0,0.0,0.0,12.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1058,13.0,Lilipuna.Fringe,M46,5,Mcapitata,Hard,1058,ATAC,AT,AC,1,7
HPW073,118.0,52.0,184.0,1342.0,4.0,0.0,46.0,0.0,0.0,11.0,9.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2877,14.0,HIMB,P12,2,Pacuta,Hard,2877,ATHC,AT,HC,12,5
HPW074,33.0,20.0,957.0,1239.0,12.0,0.0,59.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,15.0,7.0,0.0,6.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1225,15.0,HIMB,P24,3,Pacuta,Hard,1225,HTAC,HT,AC,4,10
HPW075,2768.0,217.0,99.0,372.0,35.0,0.0,48.0,0.0,0.0,51.0,32.0,0.0,43.0,12.0,13.0,0.0,0.0,0.0,16.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1563,16.0,Lilipuna.Fringe,P21,3,Pacuta,Hard,1563,ATAC,AT,AC,8,5
HPW076,11432.0,5235.0,5273.0,81.0,534.0,52.0,14.0,0.0,349.0,9704.0,786.0,121.0,53.0,737.0,9.0,279.0,27.0,3.0,0.0,271.0,230.0,147.0,322.0,0.0,125.0,414.0,0.0,23.0,0.0,325.0,263.0,110.0,0.0,7.0,0.0,197.0,134.0,0.0,4.0,85.0,0.0,0.0,3.0,98.0,18.0,0.0,38.0,199.0,95.0,0.0,0.0,54.0,57.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2513,17.0,Reef.18,P15,2,Pacuta,Hard,2513,HTAC,HT,AC,9,8
HPW077,267.0,14.0,63.0,540.0,191.0,18.0,30.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1779,18.0,Reef.42.43,M41,5,Mcapitata,Hard,1779,ATAC,AT,AC,8,8
HPW078,68.0,37.0,53.0,669.0,232.0,30.0,15.0,0.0,0.0,69.0,0.0,121.0,0.0,0.0,12.0,15.0,0.0,0.0,0.0,0.0,3.0,0.0,8.0,0.0,0.0,0.0,9.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1332,19.0,Reef.11.13,M30,3,Mcapitata,Hard,1332,HTHC,HT,HC,5,10
HPW079,143.0,19.0,67.0,1241.0,55.0,0.0,52.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2413,20.0,Reef.18,P21,3,Pacuta,Hard,2413,ATAC,AT,AC,8,7
HPW080,0.0,2.0,116.0,37.0,0.0,0.0,12.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1059,21.0,Reef.11.13,P70,7,Pacuta,Hard,1059,ATAC,AT,AC,1,5
HPW081,12910.0,11.0,106.0,480.0,200.0,16.0,36.0,0.0,0.0,7.0,0.0,45.0,0.0,0.0,10.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2386,22.0,Reef.18,M72,8,Mcapitata,Hard,2386,HTAC,HT,AC,7,8
HPW082,1618.0,192.0,688.0,1441.0,65.0,34.0,37.0,0.0,0.0,913.0,0.0,0.0,0.0,0.0,6.0,237.0,0.0,0.0,12.0,986.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1582,23.0,Lilipuna.Fringe,P70,7,Pacuta,Hard,1582,HTAC,HT,AC,9,11
HPW083,41.0,227.0,60.0,820.0,0.0,28.0,73.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,16.0,1049.0,0.0,0.0,0.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2185,24.0,HIMB,P4,1,Pacuta,Hard,2185,HTHC,HT,HC,10,11
HPW084,153.0,63.0,190.0,829.0,38.0,0.0,54.0,0.0,0.0,30.0,8.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,16.0,0.0,9.0,0.0,9.0,0.0,8.0,0.0,0.0,0.0,0.0,19.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1184,25.0,Lilipuna.Fringe,P66,7,Pacuta,Hard,1184,HTHC,HT,HC,2,8
HPW085,55.0,9.0,0.0,1200.0,93.0,0.0,34.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1415,26.0,Reef.11.13,P11,2,Pacuta,Hard,1415,HTHC,HT,HC,5,5
HPW086,135.0,726.0,315.0,881.0,11.0,0.0,49.0,0.0,0.0,45.0,469.0,0.0,0.0,0.0,11.0,49.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1168,27.0,Reef.35.36,P62,7,Pacuta,Hard,1168,HTHC,HT,HC,2,5
HPW087,50.0,464.0,134.0,885.0,67.0,0.0,35.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,8.0,15.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2879,28.0,HIMB,P46,5,Pacuta,Hard,2879,ATHC,AT,HC,12,11
HPW088,1235.0,17.0,108.0,297.0,229.0,0.0,10.0,0.0,0.0,36.0,0.0,8.0,0.0,0.0,15.0,12.0,0.0,0.0,0.0,7.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2753,29.0,Reef.42.43,M53,6,Mcapitata,Hard,2753,ATHC,AT,HC,12,8
HPW089,715.0,161.0,1423.0,708.0,319.0,23.0,41.0,0.0,0.0,111.0,0.0,6.0,0.0,0.0,22.0,116.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1278,30.0,Reef.11.13,M60,6,Mcapitata,Hard,1278,HTAC,HT,AC,4,7
HPW090,31.0,670.0,214.0,1228.0,7.0,0.0,45.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2197,31.0,Reef.35.36,P10,1,Pacuta,Hard,2197,ATHC,AT,HC,11,10
HPW091,208.0,22.0,350.0,1637.0,48.0,0.0,70.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,25.0,6.0,0.0,0.0,0.0,33.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1820,32.0,Reef.11.13,P62,7,Pacuta,Hard,1820,HTHC,HT,HC,10,7
HPW092,449.0,573.0,3741.0,1053.0,115.0,134.0,54.0,0.0,0.0,413.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,36.0,5.0,5.0,198.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,19.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1103,33.0,Reef.42.43,P50,5,Pacuta,Hard,1103,ATAC,AT,AC,1,11
