Species,Plug_ID,Treatment,Sample_Date,Airbrush_Date,Airbrush_Tech,Homogenate_Vol_mL,Skeleton_mass,Wax_mass,Surface_area,Zoox_count,TP,TAC,CHL_A,CHL_C2,AFDW
Pacuta,1336,HTAC,20180923,20200128,DC,9,3.8494,4.3162,21.1213153,,,,,,
Mcapitata,1337,HTHC,20181215,20200211,EC,52.5,4.3739,5.2524,39.543755,,,,,,
Pacuta,1338,HTAC,20181006,20200130,DC,21,3.4114,3.8076,17.96216,,,,,,
Pacuta,1339,HTHC,20180923,20200128,DC,15,4.1809,4.6457,21.0318208,,,,,,
Pacuta,1344,HTAC,20181006,20200204,DC,22.5,4.6136,5.3297,32.2768028,,,,,,
Mcapitata,1353,HTHC,20181020,20200225,SG,24.5,2.1526,2.4158,12.0107767,,,,,,
Mcapitata,1409,HTHC,20181006,20200220,AF,46,5.4074,6.1375,32.9032642,,,,,,
Mcapitata,1410,HTHC,20181103,20200228,AM,45,3.1375,3.635,22.4950556,,,,,,
Pacuta,1411,HTHC,20181020,20200203,AF,15,3.769,4.1784,18.5528236,,,,,,
Pacuta,1412,HTHC,20180929,20200122,ES,15,2.5332,2.8339,13.6887983,,,,,,
Mcapitata,1413,HTHC,20181103,20200225,AM,37,2.0642,2.4248,16.3691581,,,,,,
Pacuta,1414,HTHC,20181020,20200203,AM,40,5.4558,6.2322,34.9750615,,,,,,
Pacuta,1422,HTHC,20181103,20200204,SG,17.5,5.824,6.5677,33.5118267,,,,,,
Pacuta,1423,ATAC,20181103,20200121,ES,35,9.7411,10.7924,47.2760785,,,,,,
Mcapitata,1426,HTHC,20180922,20200219,AF,33,4.4075,5.1201,32.1201875,,,,,,
Pacuta,1430,ATAC,20180923,20200128,DC,20,4.8816,5.6145,33.0285565,,,,,,
Pacuta,1432,HTHC,20180929,20200127,AM,22.5,4.2193,4.8,26.2180262,,,,,,
Pacuta,1434,ATAC,20190112,20200211,DC,45,9.7927,10.5061,32.1559853,,,,,,
Pacuta,1437,ATAC,20180923,20200128,DC,47.5,8.9786,9.8557,39.4811089,,,,,,
Mcapitata,1438,HTHC,20181117,20200220,DC,55,3.0111,3.4614,20.3829858,,,,,,
Pacuta,1439,HTHC,20180929,20200124,AF,19,8.1651,9.2178,47.3387246,,,,,,
Pacuta,1441,HTHC,20181117,20200130,DC,11,7.417,8.8547,64.566413,,,,,,
Mcapitata,1443,HTHC,20181103,20200124,AF,18,2.9428,3.4762,24.1014816,,,,,,
Mcapitata,1444,ATAC,20181103,20200121,ES,25,5.7096,6.6316,41.49026,,,,,,
Pacuta,1446,HTHC,20181006,20200129,AM,37.5,6.1327,6.9039,34.7423759,,,,,,
Mcapitata,1447,HTHC,20181117,20200220,AF,17.5,1.7341,2.0621,14.910398,,,,,,
Mcapitata,1448,ATAC,20181215,20200211,SG,30.5,7.2282,7.571,15.5726572,,,,,,
Mcapitata,1454,HTHC,20181117,20200214,ES,23.5,2.322,2.6876,16.5928943,,,,,,
Pacuta,1456,ATAC,20181215,20200211,DC,32.5,9.7171,10.8575,51.2630578,,,,,,
Mcapitata,1461,ATAC,20180929,20200212,AM,40,3.0839,3.613,23.9090685,,,,,,
Mcapitata,1469,HTAC,20181215,20200217,AF,11.5,2.4111,2.6715,11.8854844,,,,,,
Mcapitata,1470,HTAC,20180923,20200219,AF,35.5,4.1684,4.7198,24.906932,,,,,,
Pacuta,1472,ATAC,20190112,20200210,AM,20,2.5863,2.944,16.2393911,,,,,,
Pacuta,1473,ATAC,20181215,20200211,DC,21,3.307,3.6054,13.5858797,,,,,,
Mcapitata,1479,ATAC,20180923,20200225,SG,34,2.8023,3.1584,16.1677955,,,,,,
Mcapitata,1480,HTHC,20180929,20200220,AF,27.5,2.9642,3.4301,21.0810428,,,,,,
Pacuta,1482,ATAC,20181215,20200211,DC,14,3.0393,3.1277,4.18895874,,,,,,
Mcapitata,1483,HTAC,20181006,20200221,AM,55,3.5835,4.075,22.2265722,,,,,,
Pacuta,1484,ATAC,20181020,20200203,AM,41.5,6.4519,7.2912,37.7896631,,,,,,
Pacuta,1488,HTAC,20180922,20200204,AM,23.5,5.0065,5.7651,34.1785606,,,,,,
Mcapitata,1489,ATAC,20181215,20200217,AF,7.5,1.559,1.772,9.76446515,,,,,,
Pacuta,1490,HTAC,20181006,20200128,AM,12,2.5319,2.8132,12.8207018,,,,,,
Pacuta,1491,HTAC,20180923,20200205,AM,28,5.7059,6.3815,30.4645395,,,,,,
Pacuta,1492,ATHC,20190112,20200206,EC,17,5.9965,6.5952,27.0234766,,,,,,
Mcapitata,1494,HTAC,20181020,20200225,DC,47.5,4.8737,5.3597,21.9804623,,,,,,
Pacuta,1495,ATAC,20180929,20200121,ES,17,2.4715,2.7455,12.4940469,,,,,,
Mcapitata,1498,ATHC,20181020,20200225,EC/AM,27.5,2.3202,2.7092,17.6399798,,,,,,
Pacuta,1500,ATAC,20181006,20200129,AF,15,3.5165,3.9697,20.5127528,,,,,,
Mcapitata,1533,ATAC,20181117,20200221,AM,42.5,2.9188,3.3675,20.3113902,,,,,,
Mcapitata,1534,ATAC,20181020,20200227,AF,17.5,1.3855,1.6019,9.91660577,,,,,,
Pacuta,1537,HTAC,20181103,20200127,AF,8.5,2.9103,3.2709,16.3691581,,,,,,
Mcapitata,1538,ATHC,20181117,20200219,AF,15,2.5478,2.8754,14.8924991,,,,,,
Mcapitata,1540,ATAC,20190112,20200218,DC,28,3.6207,4.1312,23.0767698,,,,,,
Mcapitata,1541,ATHC,20181103,20200228,AM,34.5,3.3901,3.7482,16.25729,,,,,,
Pacuta,1547,HTAC,20181215,20200206,AF,15,2.2845,2.6563,16.8703272,,,,,,
Mcapitata,1549,ATAC,20180922,20200122,ES,32.5,3.792,4.3041,23.1483654,,,,,,
Mcapitata,1550,ATHC,20180929,20200212,AM,42,2.3406,2.7264,17.4967886,,,,,,
Mcapitata,1551,ATAC,20181020,20200225,DC,90,5.9417,6.8263,39.8167132,,,,,,
Pacuta,1553,HTAC,20180929,20200127,AF,15,6.4282,7.351,41.5260578,,,,,,
Mcapitata,1560,ATHC,20180923,20200218,DC,52,5.7104,6.5189,36.411448,,,,,,
Mcapitata,1564,ATAC,20180923,20200226,AM,43,1.9693,2.3102,15.4876375,,,,,,
Mcapitata,1565,HTAC,20180929,20200212,SG,22,2.5378,2.8576,14.5434706,,,,,,
Pacuta,1566,HTAC,20181103,20200127,AM,13,3.492,3.8821,17.6892018,,,,,,
Mcapitata,1567,HTAC,20181215,20191023,ES,20,2.7661,3.0447,12.6998843,,,,,,
Mcapitata,1568,HTAC,20190112,20200211,SG,16.5,3.6215,3.9796,16.25729,,,,,,
Pacuta,1570,ATAC,20180923,20200128,DC,30,6.9732,7.9944,45.9291865,,,,,,
Pacuta,1572,HTAC,20181117,20200204,EC,17,3.802,4.2193,18.9063268,,,,,,
Pacuta,1573,HTAC,20181006,20200128,AM,25,3.8956,4.5906,31.332636,,,,,,
Pacuta,1574,ATAC,20180923,20200128,DC,20,4.9302,5.7724,37.9194301,,,,,,
Mcapitata,1576,HTAC,20181006,20200218,SG,32.5,5.7097,6.3016,26.7191953,,,,,,
Pacuta,1578,ATAC,20190112,20200210,AF,12,4.4311,4.9758,24.6071255,,,,,,
Mcapitata,1584,HTAC,20181103,20200218,SG,52.5,8.1375,8.8365,31.511625,,,,,,
Mcapitata,1585,HTAC,20180922,20200211,SG,27.5,3.3275,3.5614,10.6996825,,,,,,
Mcapitata,1586,HTAC,20181117,20200211,SG,28.5,6.307,6.755,20.2800671,,,,,,
Mcapitata,1587,ATAC,20180929,20200218,SG,40,4.0334,4.5937,25.3051825,,,,,,
Mcapitata,1592,ATAC,20181103,20200221,EC,50,3.6798,4.28,27.0905974,,,,,,
Mcapitata,1593,HTAC,20180929,20200220,AF,37.5,3.3551,3.8035,20.297966,,,,,,
Mcapitata,1597,HTAC,20181117,20200220,DC,25,2.3343,2.6335,13.6216774,,,,,,
Mcapitata,1598,ATAC,20181006,20200219,SG,25,2.573,2.9602,17.5594348,,,,,,
Mcapitata,1599,ATAC,20181117,20200219,AF,24.5,3.1697,3.725,25.0814462,,,,,,
Pacuta,1602,ATAC,20180922,20200122,ES,18,5.5257,6.124,27.0055777,,,,,,
Mcapitata,1603,HTHC,20180929,,,,,,,,,,,,
Pacuta,1606,HTAC,20181020,20200204,DC,16,3.0702,3.4593,17.6444545,,,,,,
Mcapitata,1608,HTHC,20181215,20200214,ES,24,2.7327,3.1167,17.4162436,,,,,,
Pacuta,1615,HTAC,20181215,20191023,ES,17,7.83,8.9671,51.1153919,,,,,,
Mcapitata,1616,ATAC,20190112,20200214,ES,40,3.5212,4.1257,27.2830106,,,,,,
Pacuta,1618,HTHC,20181117,20200130,DC,13,4.8054,5.4871,30.7374977,,,,,,
Pacuta,1620,ATAC,20180922,20200122,ES,16.5,3.2471,3.6453,18.0516545,,,,,,
Pacuta,1621,HTHC,20181006,20200129,AF,17,2.843,3.1814,15.3757694,,,,,,
Pacuta,1622,ATAC,20181006,20200130,DC,17.5,5.2058,5.7708,25.5154945,,,,,,
Mcapitata,1625,ATAC,20181006,20200218,SG,45,5.0467,5.6739,28.298773,,,,,,
Pacuta,1626,ATAC,20180929,20200121,ES,40,6.7139,7.475,34.2904287,,,,,,
Mcapitata,1629,ATAC,20180929,20200212,SG,22.5,2.4711,2.8023,15.0535892,,,,,,
Pacuta,1630,ATAC,20181117,20200204,EC,22.5,3.7362,4.1472,18.6244192,,,,,,
Mcapitata,1634,HTAC,20181215,20200212,AF,14.5,2.6411,3.0564,18.8168323,,,,,,
Pacuta,1636,ATAC,20181117,20200206,AF,14.5,5.8022,6.7724,43.6470771,,,,,,
Mcapitata,1638,HTAC,20190112,20200217,AF,16,5.8215,6.4326,27.5783424,,,,,,
Mcapitata,1639,HTAC,20180929,20200218,EC,29,1.8009,2.105,13.8409389,,,,,,
Mcapitata,1640,HTAC,20180922,20200220,DC,33,3.9281,4.3175,17.6578787,,,,,,
Mcapitata,1643,HTAC,20181006,20200221,EC,35,3.3141,3.9168,27.2024655,,,,,,
Pacuta,1646,HTAC,20180929,20200127,AF,17,5.2257,5.864,28.7954674,,,,,,
Mcapitata,1649,ATAC,20190112,20200211,SG,38,1.9262,2.2416,14.3465828,,,,,,
Mcapitata,1650,ATAC,20180923,20200227,AF,33,2.2955,2.6352,15.4339408,,,,,,
Mcapitata,1654,ATAC,20181215,,,,,,,,,,,,
Pacuta,1655,HTHC,20180923,20200128,DC,18,3.6615,4.185,23.6584839,,,,,,
Mcapitata,1679,ATAC,20181020,20200224,AM,91,4.75,5.2469,22.4682073,,,,,,
Pacuta,1686,ATAC,20181117,20200129,AF,7.5,1.641,1.825,8.46679512,,,,,,
Mcapitata,1687,HTAC,20180923,20200228,AM,48,3.3338,3.8754,24.468409,,,,,,
Mcapitata,1688,HTAC,20181215,20200218,DC,21,2.1154,2.4083,13.3397698,,,,,,
Pacuta,1690,ATAC,20181006,20200204,DC,18,5.6661,6.2905,28.1734807,,,,,,
Pacuta,1691,HTAC,20180923,20200128,DC,12.5,1.6793,1.9038,10.2790584,,,,,,
Pacuta,1693,ATAC,20180929,20200127,AM,30,5.1922,5.8833,31.1581218,,,,,,
Mcapitata,1695,ATHC,20181020,20200225,DC,72.5,5.3892,6.1229,33.0643543,,,,,,
Pacuta,1702,HTAC,20181117,20200204,EC,15,3.887,4.2898,18.2574918,,,,,,
Mcapitata,1708,HTAC,20180923,20200225,DC,46,2.194,2.5695,17.035892,,,,,,
Pacuta,1710,HTAC,20180929,20200124,AF,49,7.1731,8.5204,60.5212623,,,,,,
Pacuta,1713,HTHC,20181117,20200130,DC,11,4.2229,4.6812,20.7409637,,,,,,
Mcapitata,1717,ATHC,20180929,20200122,ES,27,2.6222,3.0312,18.5349247,,,,,,
Mcapitata,1718,ATHC,20180929,20200122,ES,40,3.4157,4.0846,30.164733,,,,,,
Mcapitata,1723,ATHC,20181006,20200219,AF,25,2.8329,3.2808,20.2755924,,,,,,
Mcapitata,1724,HTAC,20180929,20200124,AF,30,3.8693,4.4452,26.0032394,,,,,,
Mcapitata,1725,HTAC,20181117,20200214,ES,31,3.0037,3.4207,18.8929026,,,,,,
Mcapitata,1727,HTAC,20181103,20200122,ES,15,5.4512,6.3292,39.5213814,,,,,,
Mcapitata,1730,HTHC,20181006,20200212,AM,35,2.7172,3.0752,16.2528153,,,,,,
Pacuta,1731,HTAC,20181006,20200130,AF,12.5,5.0298,5.7223,31.2207679,,,,,,
Pacuta,1735,HTAC,20180923,20200128,DC,29,5.6715,6.4051,33.0598796,,,,,,
Mcapitata,1737,HTHC,20181117,20200220,AF,20.5,2.556,2.9534,18.0158567,,,,,,
Pacuta,1738,HTAC,20181117,20200205,AF,16,5.732,6.4585,32.7421741,,,,,,
Pacuta,1739,HTHC,20180929,,,,,,,,,,,,
Pacuta,1741,HTAC,20180922,20200122,ES,17.5,3.7445,4.186,19.98921,,,,,,
Mcapitata,1743,HTHC,20190112,20200219,SG,12.5,3.3432,3.8137,21.2868801,,,,,,
Pacuta,1748,HTHC,20181006,20200130,AF,8.5,1.6143,1.8843,12.315058,,,,,,
Mcapitata,1749,HTHC,20181117,20200221,AM,58,10.1837,11.6384,65.3271161,,,,,,
Pacuta,1752,ATAC,20181103,20200124,AF,12.5,3.818,4.2629,20.1413507,,,,,,
Pacuta,1753,ATAC,20181006,20200129,AF,12.5,2.7434,3.0522,14.051251,,,,,,
Pacuta,1756,ATAC,20181020,20200203,AF,17,2.8807,3.1919,14.1586444,,,,,,
Mcapitata,1758,HTAC,20180929,20200220,AF,50,5.0083,5.7551,33.6505432,,,,,,
Mcapitata,1760,HTAC,20181103,20200219,SG,25.5,3.0707,3.6781,27.4127776,,,,,,
Mcapitata,1761,ATAC,20181006,20200302,AM,42.5,2.7925,3.2301,19.8146958,,,,,,
Pacuta,1764,HTHC,20181103,20200204,DC,23,4.7129,5.2274,23.2557587,,,,,,
Pacuta,1770,HTAC,20180922,20200204,SG,16,3.8749,4.2885,18.740762,,,,,,
Pacuta,1772,HTAC,20181020,20200203,AF,12.5,5.0998,5.8595,34.2277826,,,,,,
Mcapitata,1774,ATAC,20181117,20200220,AF,30,3.7971,4.2879,22.1952491,,,,,,
Pacuta,1778,HTHC,20181103,20200204,ES,14,2.5832,2.83,11.2769219,,,,,,
Pacuta,1811,HTHC,20181020,20200130,EC,12.5,5.296,5.8833,26.513358,,,,,,
Mcapitata,1822,HTHC,20181103,20200226,AM,40,2.9905,3.4261,19.7252013,,,,,,
Mcapitata,1824,HTHC,20190112,20200211,SG,25,2.867,3.0303,7.5405272,,,,,,
Pacuta,1825,ATHC,20180923,20200128,DC,24.5,7.8397,8.9951,51.9342664,,,,,,
Pacuta,1908,ATHC,20181020,20200203,AM,21.5,2.8065,3.3184,23.1394159,,,,,,
Mcapitata,1998,HTAC,20190112,20200214,ES,29.5,2.5392,2.9549,18.8347312,,,,,,
Mcapitata,2001,ATAC,20180922,20200122,ES,17,1.8001,2.0786,12.6954095,,,,,,
Mcapitata,2003,HTAC,20181103,20200122,ES,22.5,4.1572,4.8073,29.3234848,,,,,,
Mcapitata,2004,HTAC,20181215,20200214,ES,17.5,1.8678,2.1719,13.8409389,,,,,,
Mcapitata,2008,HTHC,20180923,,,,,,,,,,,,
Mcapitata,2010,HTHC,20181006,20200212,AM,36.5,2.7011,3.0264,14.7895805,,,,,,
Mcapitata,2011,HTHC,20181215,20200214,ES,41.5,3.2018,3.7429,24.4460354,,,,,,
Pacuta,2013,ATAC,20181215,20200206,AF,14.5,3.1745,3.6373,20.9423263,,,,,,
Pacuta,2014,ATAC,20181020,20200204,DC,15,2.9053,3.2725,16.6644899,,,,,,
Pacuta,2015,ATAC,20181020,20200204,DC,15,3.4136,3.826,18.6870653,,,,,,
Mcapitata,2018,HTHC,20190112,20200217,AF,7.5,1.7896,2.0856,13.4784863,,,,,,
Pacuta,2022,ATAC,20180929,20200127,AM,20,3.5008,3.9393,19.8549683,,,,,,
