sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
HPW257	39684	30753	77.49	30558	28529	71.89	28529	71.89
HPW258	69866	51795	74.13	51683	50611	72.44	50611	72.44
HPW259	39493	31453	79.64	31263	28209	71.43	28208	71.43
HPW260	28283	21799	77.07	21610	20316	71.83	20306	71.8
HPW261	28127	21518	76.5	21367	19578	69.61	19578	69.61
HPW262	43627	33029	75.71	32824	30442	69.78	30440	69.77
HPW263	64116	43182	67.35	43086	42663	66.54	42663	66.54
HPW264	63051	41953	66.54	41839	41164	65.29	41164	65.29
HPW265	23033	16401	71.21	16273	14563	63.23	14563	63.23
HPW266	32727	24967	76.29	24780	23091	70.56	23091	70.56
HPW267	24435	18279	74.81	18144	16520	67.61	16509	67.56
HPW268	37324	28664	76.8	28474	26982	72.29	26982	72.29
HPW269	46023	34283	74.49	34162	31609	68.68	31609	68.68
HPW270	1046	424	40.54	409	391	37.38	391	37.38
HPW271	144901	111227	76.76	110909	101730	70.21	101730	70.21
HPW272	50538	38256	75.7	38104	36301	71.83	36301	71.83
HPW273	79582	56810	71.39	56669	54959	69.06	54959	69.06
HPW274	31093	23176	74.54	23036	21404	68.84	21404	68.84
HPW275	46721	34628	74.12	34221	31326	67.05	31114	66.6
HPW276	30830	22973	74.52	22771	20835	67.58	20835	67.58
HPW277	72062	49616	68.85	49397	48406	67.17	48359	67.11
HPW278	60389	43968	72.81	43861	42931	71.09	42931	71.09
HPW279	28064	19959	71.12	19780	17049	60.75	17023	60.66
HPW280	37912	28468	75.09	28312	26202	69.11	26202	69.11
HPW281	58525	45183	77.2	45034	40713	69.57	40713	69.57
HPW282	44262	32900	74.33	32760	31789	71.82	31762	71.76
HPW283	40726	31433	77.18	31320	29930	73.49	29930	73.49
HPW284	51674	38559	74.62	38391	36615	70.86	36615	70.86
HPW285	56724	41841	73.76	41735	40862	72.04	40862	72.04
HPW286	38493	30362	78.88	30154	29042	75.45	29040	75.44
HPW287	36206	29264	80.83	29087	27741	76.62	27738	76.61
HPW288	45363	35613	78.51	35448	34171	75.33	34143	75.27
HPW289	58737	44099	75.08	43894	38789	66.04	38789	66.04
HPW290	33551	25107	74.83	24892	22294	66.45	22294	66.45
HPW291	60755	45710	75.24	45583	44668	73.52	44668	73.52
HPW292	18995	13174	69.36	13000	11511	60.6	11511	60.6
HPW293	47966	34794	72.54	34686	33879	70.63	33879	70.63
HPW294	42574	34182	80.29	33760	32051	75.28	31974	75.1
HPW295	35965	27728	77.1	27540	24963	69.41	24955	69.39
HPW296	28654	21306	74.36	21213	20063	70.02	20063	70.02
HPW301	69262	49879	72.01	49749	49329	71.22	49318	71.2
HPW302	96340	64076	66.51	63966	63543	65.96	63543	65.96
HPW303	45464	22955	50.49	22882	22254	48.95	22254	48.95
HPW304	86546	47661	55.07	47536	47124	54.45	47124	54.45
HPW305	29036	20086	69.18	19950	18505	63.73	18505	63.73
HPW306	27791	21562	77.59	21377	20205	72.7	20205	72.7
HPW307	44661	32552	72.89	32439	31884	71.39	31884	71.39
HPW308	51874	39641	76.42	38656	35476	68.39	34987	67.45
HPW309	37782	27554	72.93	27454	27147	71.85	27147	71.85
HPW310	48420	34469	71.19	34345	33944	70.1	33944	70.1
HPW311	40380	32095	79.48	31938	29422	72.86	29407	72.83
HPW312	24850	19825	79.78	19644	18125	72.94	18125	72.94
HPW313	49436	39116	79.12	38888	36690	74.22	36665	74.17
HPW314	33037	25686	77.75	25495	22698	68.7	22639	68.53
HPW315	60001	47460	79.1	47278	43500	72.5	43500	72.5
HPW316	81639	60269	73.82	60166	58817	72.05	58817	72.05
HPW317	37392	26352	70.47	26240	25421	67.99	25421	67.99
HPW318	47375	37820	79.83	37583	35724	75.41	35690	75.34
HPW319	69610	52204	74.99	52099	51212	73.57	51212	73.57
HPW320	28300	21188	74.87	21063	20825	73.59	20825	73.59
HPW321	77915	55682	71.47	55488	53991	69.29	53991	69.29
HPW322	65610	41059	62.58	40983	40598	61.88	40598	61.88
