sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
HPW125	52302	10778	20.61	10681	10398	19.88	9889	18.91
HPW126	32717	3541	10.82	3343	2158	6.6	2158	6.6
HPW127	31898	21292	66.75	21063	19263	60.39	11223	35.18
HPW128	42068	4186	9.95	4054	2502	5.95	2502	5.95
HPW129	47463	34688	73.08	34513	33633	70.86	18530	39.04
HPW130	36923	25838	69.98	25627	25204	68.26	20978	56.82
HPW131	35020	23112	66	22808	20771	59.31	13030	37.21
HPW132	43202	4894	11.33	4728	3402	7.87	3402	7.87
HPW133	29917	17717	59.22	17570	16831	56.26	9430	31.52
HPW134	63731	4521	7.09	4396	3855	6.05	3855	6.05
HPW135	54440	5695	10.46	5524	4684	8.6	4197	7.71
HPW136	26672	17651	66.18	17460	16772	62.88	10517	39.43
HPW137	41910	4658	11.11	4518	3518	8.39	3518	8.39
HPW138	14416	10178	70.6	10005	9536	66.15	5334	37
HPW139	42390	3842	9.06	3689	2320	5.47	2320	5.47
HPW140	60733	41729	68.71	41418	40366	66.46	31147	51.29
HPW141	46720	4057	8.68	3928	3222	6.9	3222	6.9
HPW142	70837	6255	8.83	6069	4532	6.4	3835	5.41
HPW143	53739	34958	65.05	34702	34145	63.54	26607	49.51
HPW144	37134	23068	62.12	22908	22301	60.06	12612	33.96
HPW145	37101	2312	6.23	2210	1752	4.72	1752	4.72
HPW146	21947	4879	22.23	4717	3279	14.94	3279	14.94
HPW147	38085	27903	73.27	27716	26799	70.37	14543	38.19
HPW148	34101	8847	25.94	8619	7544	22.12	7544	22.12
HPW149	48656	27250	56.01	26330	23200	47.68	22833	46.93
HPW150	44528	7407	16.63	7223	6016	13.51	6016	13.51
HPW151	22433	14979	66.77	14771	13716	61.14	7533	33.58
HPW152	35068	24576	70.08	24410	23507	67.03	13595	38.77
HPW153	31339	22289	71.12	22086	21028	67.1	12168	38.83
HPW154	30300	21481	70.89	21197	20592	67.96	14492	47.83
HPW155	50930	4641	9.11	4490	3617	7.1	3617	7.1
HPW156	35203	23915	67.93	23736	23298	66.18	15112	42.93
HPW157	33225	22988	69.19	22826	21507	64.73	11859	35.69
HPW158	43292	29835	68.92	29663	28712	66.32	17152	39.62
HPW159	44257	2557	5.78	2480	2105	4.76	2105	4.76
HPW160	34807	24712	71	24517	23409	67.25	13607	39.09
HPW161	51975	3377	6.5	3265	2623	5.05	2623	5.05
HPW162	53166	4917	9.25	4778	3924	7.38	3918	7.37
HPW163	29081	20653	71.02	20512	20125	69.2	13225	45.48
HPW164	37936	25628	67.56	25407	24532	64.67	19278	50.82
HPW165	55698	23334	41.89	22905	21252	38.16	20820	37.38
HPW166	30030	19220	64	19032	17711	58.98	11038	36.76
HPW167	26739	18672	69.83	18517	17418	65.14	9640	36.05
HPW168	38688	25805	66.7	25639	24754	63.98	17123	44.26
HPW169	35884	1704	4.75	1594	1232	3.43	1232	3.43
HPW170	28963	20050	69.23	19888	19281	66.57	12295	42.45
HPW171	55003	3677	6.69	3555	2538	4.61	2538	4.61
HPW172	43016	26415	61.41	26224	25570	59.44	16591	38.57
HPW173	32404	23051	71.14	22897	22021	67.96	12924	39.88
HPW174	34973	24874	71.12	24668	23704	67.78	14805	42.33
HPW175	55499	3150	5.68	3083	2741	4.94	2741	4.94
HPW176	37061	26400	71.23	26185	25448	68.67	14060	37.94
HPW177	47251	4797	10.15	4667	3184	6.74	3184	6.74
HPW178	22587	15752	69.74	15600	14859	65.79	8445	37.39
HPW179	17202	5690	33.08	5549	5256	30.55	5256	30.55
HPW180	20455	1341	6.56	1203	966	4.72	966	4.72
HPW181	27599	18124	65.67	17946	17135	62.09	9897	35.86
HPW182	53022	3512	6.62	3382	2549	4.81	2549	4.81
HPW183	51117	3828	7.49	3708	2738	5.36	2738	5.36
HPW184	20214	4060	20.09	3843	3570	17.66	3401	16.82
HPW185	38501	28347	73.63	28230	27234	70.74	14498	37.66
HPW186	35162	26108	74.25	25953	25118	71.44	13223	37.61
HPW187	39276	6154	15.67	5892	4558	11.61	4558	11.61
HPW188	17193	11609	67.52	11501	11136	64.77	6336	36.85
HPW189	37610	25202	67.01	25041	24176	64.28	19133	50.87
HPW190	45609	4813	10.55	4675	3331	7.3	3324	7.29
HPW191	49046	4446	9.06	4309	2574	5.25	2574	5.25
HPW192	42058	4100	9.75	3937	2508	5.96	2508	5.96
HPW193	11866	6531	55.04	6175	4945	41.67	3117	26.27
HPW194	12107	7489	61.86	7328	6133	50.66	3551	29.33
HPW195	21261	14037	66.02	13910	13091	61.57	7919	37.25
HPW196	23934	3064	12.8	2959	1905	7.96	1608	6.72
HPW201	69817	4317	6.18	4219	3457	4.95	3457	4.95
HPW202	45805	3686	8.05	3555	3236	7.06	3236	7.06
HPW203	30674	21720	70.81	21491	20820	67.88	12454	40.6
HPW204	30437	2537	8.34	2419	1679	5.52	1679	5.52
HPW205	24456	2555	10.45	2409	1816	7.43	1816	7.43
HPW206	41647	3586	8.61	3462	2289	5.5	2289	5.5
HPW207	22702	16576	73.02	16363	15840	69.77	9211	40.57
HPW208	40821	28716	70.35	28537	28059	68.74	18326	44.89
HPW209	55445	6140	11.07	5937	4742	8.55	4365	7.87
HPW210	38244	1898	4.96	1806	1608	4.2	1608	4.2
HPW211	40429	3162	7.82	3043	2389	5.91	2389	5.91
HPW212	35063	10642	30.35	10461	9936	28.34	9936	28.34
HPW213	35777	24739	69.15	24568	24094	67.34	16849	47.09
HPW214	31032	22529	72.6	22355	21733	70.03	11837	38.14
HPW215	37103	26990	72.74	26824	26024	70.14	13871	37.39
HPW216	64156	4049	6.31	3976	3279	5.11	3279	5.11
HPW217	48838	35972	73.66	35891	34983	71.63	18898	38.7
HPW218	48640	4018	8.26	3912	2994	6.16	2994	6.16
HPW219	19131	13522	70.68	13410	12982	67.86	7071	36.96
HPW220	31724	2162	6.82	2097	1361	4.29	1361	4.29
HPW221	21016	14345	68.26	14165	13411	63.81	8761	41.69
HPW222	21419	15599	72.83	15490	15045	70.24	8215	38.35
HPW223	40534	5388	13.29	5155	4430	10.93	4430	10.93
HPW224	42442	32179	75.82	32023	31275	73.69	18755	44.19
HPW225	63453	4272	6.73	4133	3465	5.46	3465	5.46
HPW226	48905	3416	6.98	3306	2896	5.92	2889	5.91
HPW227	32730	2204	6.73	2100	1498	4.58	1498	4.58
HPW228	55607	3921	7.05	3820	2917	5.25	2917	5.25
HPW229	59740	4505	7.54	4412	3676	6.15	3676	6.15
HPW230	42589	30658	71.99	30542	29829	70.04	22075	51.83
HPW231	43492	32729	75.25	32488	31638	72.74	17800	40.93
HPW232	67770	4280	6.32	4188	3503	5.17	3503	5.17
HPW233	26689	18096	67.8	17849	17066	63.94	10710	40.13
HPW234	57183	4591	8.03	4452	3470	6.07	3470	6.07
HPW235	50690	4241	8.37	4117	3423	6.75	3423	6.75
HPW236	21286	14217	66.79	14055	13352	62.73	7720	36.27
HPW237	52203	5500	10.54	5388	4770	9.14	4755	9.11
HPW238	43569	30276	69.49	30083	28630	65.71	16707	38.35
HPW239	28751	20672	71.9	20482	19805	68.88	11053	38.44
HPW240	40898	29582	72.33	29443	29051	71.03	19202	46.95
HPW241	39501	27821	70.43	27711	27003	68.36	14023	35.5
HPW242	48590	3350	6.89	3240	2826	5.82	2826	5.82
HPW243	19102	12875	67.4	12715	11862	62.1	6493	33.99
HPW244	34592	2550	7.37	2440	1922	5.56	1922	5.56
HPW245	41685	4107	9.85	3926	3065	7.35	3065	7.35
HPW246	32472	22545	69.43	22374	21260	65.47	13357	41.13
HPW247	29480	20065	68.06	19900	18868	64	10719	36.36
HPW248	47864	3485	7.28	3353	2721	5.68	2721	5.68
HPW249	63689	4228	6.64	4133	3461	5.43	3454	5.42
HPW250	39196	28612	73	28457	27565	70.33	14946	38.13
HPW251	60061	5344	8.9	5231	4334	7.22	4334	7.22
HPW252	20312	13540	66.66	13433	12411	61.1	7154	35.22
HPW253	55219	3393	6.14	3296	2487	4.5	2479	4.49
HPW254	36076	9585	26.57	9427	5369	14.88	5369	14.88
HPW255	25835	17934	69.42	17793	16741	64.8	9920	38.4
HPW256	21851	14097	64.51	14001	12153	55.62	7162	32.78
HPW257	39684	28113	70.84	27947	26759	67.43	17345	43.71
HPW258	69866	4266	6.11	4190	3475	4.97	3467	4.96
HPW259	39493	29109	73.71	28931	26798	67.86	14691	37.2
HPW260	28283	20067	70.95	19881	19242	68.03	10929	38.64
HPW261	28127	19855	70.59	19672	18878	67.12	10911	38.79
HPW262	43627	30452	69.8	30246	28752	65.9	17034	39.04
HPW263	64116	2861	4.46	2785	2522	3.93	2522	3.93
HPW264	63051	4016	6.37	3919	3541	5.62	3533	5.6
HPW265	23033	15009	65.16	14896	13830	60.04	8023	34.83
HPW266	32727	23164	70.78	23002	21914	66.96	12207	37.3
HPW267	24435	14881	60.9	14664	13475	55.15	8110	33.19
HPW268	37324	26499	71	26302	25522	68.38	14394	38.56
HPW269	46023	31803	69.1	31680	30914	67.17	17730	38.52
HPW270	1046	58	5.54	23	17	1.63	17	1.63
HPW271	144901	102637	70.83	102320	98143	67.73	54098	37.33
HPW272	50538	35579	70.4	35447	34935	69.13	19087	37.77
HPW273	79582	5052	6.35	4901	3742	4.7	3742	4.7
HPW274	31093	21223	68.26	21035	19764	63.56	12548	40.36
HPW275	46721	19251	41.2	18760	17082	36.56	16934	36.24
HPW276	30830	21022	68.19	20851	19642	63.71	11354	36.83
HPW277	72062	13060	18.12	12874	12030	16.69	12030	16.69
HPW278	60389	3818	6.32	3730	3077	5.1	3077	5.1
HPW279	28064	18149	64.67	17967	16110	57.4	9641	34.35
HPW280	37912	26187	69.07	26053	24625	64.95	13532	35.69
HPW281	58525	41666	71.19	41518	39755	67.93	22979	39.26
HPW282	44262	3837	8.67	3720	2944	6.65	2944	6.65
HPW283	40726	29323	72	29203	28254	69.38	15943	39.15
HPW284	51674	6700	12.97	6503	5118	9.9	4564	8.83
HPW285	56724	4259	7.51	4143	3522	6.21	3522	6.21
HPW286	38493	28142	73.11	27992	27228	70.73	16051	41.7
HPW287	36206	26924	74.36	26732	25928	71.61	14514	40.09
HPW288	45363	33012	72.77	32826	31976	70.49	18383	40.52
HPW289	58737	40618	69.15	40375	37357	63.6	20668	35.19
HPW290	33551	23158	69.02	22971	21372	63.7	11845	35.3
HPW291	60755	41099	67.65	40988	40630	66.88	35480	58.4
HPW292	18995	11991	63.13	11832	10804	56.88	6110	32.17
HPW293	47966	3063	6.39	2976	2458	5.12	2458	5.12
HPW294	42574	31790	74.67	31393	30257	71.07	19728	46.34
HPW295	35965	25541	71.02	25385	24103	67.02	14047	39.06
HPW296	28654	19758	68.95	19678	19079	66.58	10940	38.18
HPW301	69262	4861	7.02	4721	4349	6.28	4344	6.27
HPW302	96340	4339	4.5	4245	3922	4.07	3922	4.07
HPW303	45464	21457	47.2	21371	20956	46.09	11499	25.29
HPW304	86546	3360	3.88	3255	3010	3.48	3010	3.48
HPW305	29036	2873	9.89	2741	1796	6.19	1451	5
HPW306	27791	19964	71.84	19792	19151	68.91	10638	38.28
HPW307	44661	2362	5.29	2270	1833	4.1	1833	4.1
HPW308	51874	36434	70.24	35341	32540	62.73	28924	55.76
HPW309	37782	2719	7.2	2648	2479	6.56	2479	6.56
HPW310	48420	9090	18.77	8975	8536	17.63	8526	17.61
HPW311	40380	29700	73.55	29565	28348	70.2	15945	39.49
HPW312	24850	17558	70.66	17365	16722	67.29	9058	36.45
HPW313	49436	35498	71.81	35320	33741	68.25	20824	42.12
HPW314	33037	22714	68.75	22494	20609	62.38	11691	35.39
HPW315	60001	39982	66.64	39640	38142	63.57	21679	36.13
HPW316	81639	7169	8.78	7079	6116	7.49	5228	6.4
HPW317	37392	3538	9.46	3437	2990	8	2811	7.52
HPW318	47375	27842	58.77	27664	26488	55.91	15338	32.38
HPW319	69610	3740	5.37	3655	3074	4.42	3056	4.39
HPW320	28300	17070	60.32	16916	16576	58.57	12551	44.35
HPW321	77915	44868	57.59	44659	43952	56.41	27195	34.9
HPW322	65610	2824	4.3	2774	2534	3.86	2534	3.86
