sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
HPW185	38501	28751	74.68	28641	28006	72.74	14678	38.12
HPW186	35162	26524	75.43	26372	25495	72.51	13400	38.11
HPW187	39276	6293	16.02	6051	4715	12	4715	12
HPW188	17193	11808	68.68	11685	11307	65.77	6440	37.46
HPW189	37610	25600	68.07	25427	24542	65.25	19467	51.76
HPW190	45609	4928	10.8	4780	3381	7.41	3374	7.4
HPW191	49046	4621	9.42	4480	2643	5.39	2643	5.39
HPW192	42058	4220	10.03	4069	2611	6.21	2611	6.21
HPW193	11866	6681	56.3	6358	5080	42.81	3223	27.16
HPW194	12107	7639	63.1	7484	6222	51.39	3607	29.79
HPW195	21261	14295	67.24	14167	13292	62.52	8060	37.91
HPW196	23934	3136	13.1	3015	1967	8.22	1659	6.93
HPW201	69817	4448	6.37	4327	3507	5.02	3507	5.02
HPW202	45805	3769	8.23	3651	3298	7.2	3298	7.2
HPW203	30674	22054	71.9	21826	21117	68.84	12595	41.06
HPW204	30437	2619	8.6	2489	1741	5.72	1741	5.72
HPW205	24456	2639	10.79	2485	1870	7.65	1571	6.42
HPW206	41647	3694	8.87	3564	2376	5.71	2376	5.71
HPW207	22702	16873	74.32	16671	16112	70.97	9377	41.3
HPW208	40821	29174	71.47	29009	28494	69.8	18528	45.39
HPW209	55445	6296	11.36	6117	4891	8.82	4494	8.11
HPW210	38244	1956	5.11	1846	1679	4.39	1679	4.39
HPW211	40429	3259	8.06	3149	2420	5.99	2420	5.99
HPW212	35063	10890	31.06	10710	10180	29.03	10180	29.03
HPW213	35777	25095	70.14	24954	24413	68.24	17049	47.65
HPW214	31032	22842	73.61	22670	22013	70.94	11997	38.66
HPW215	37103	27415	73.89	27275	26478	71.36	14066	37.91
HPW216	64156	4173	6.5	4103	3411	5.32	3148	4.91
HPW217	48838	36561	74.86	36487	35530	72.75	19155	39.22
HPW218	48640	4139	8.51	4034	3064	6.3	2409	4.95
HPW219	19131	13745	71.85	13630	13180	68.89	7119	37.21
HPW220	31724	2249	7.09	2187	1409	4.44	1409	4.44
HPW221	21016	14557	69.27	14377	13583	64.63	8854	42.13
HPW222	21419	15834	73.93	15722	15325	71.55	8362	39.04
HPW223	40534	5535	13.66	5313	4580	11.3	4580	11.3
HPW224	42442	32647	76.92	32490	31721	74.74	19039	44.86
HPW225	63453	4404	6.94	4278	3598	5.67	3598	5.67
HPW226	48905	3522	7.2	3419	2975	6.08	2968	6.07
HPW227	32730	2285	6.98	2175	1555	4.75	1555	4.75
HPW228	55607	4045	7.27	3950	3008	5.41	2988	5.37
HPW229	59740	4640	7.77	4546	3878	6.49	3878	6.49
HPW230	42589	31091	73	30982	30270	71.07	22376	52.54
HPW231	43492	33278	76.52	33061	32203	74.04	18099	41.61
HPW232	67770	4426	6.53	4324	3636	5.37	3615	5.33
HPW233	26689	18367	68.82	18150	17329	64.93	10872	40.74
HPW234	57183	4723	8.26	4575	3544	6.2	3544	6.2
HPW235	50690	4373	8.63	4251	3549	7	3001	5.92
HPW236	21286	14434	67.81	14256	13529	63.56	7826	36.77
HPW237	52203	5627	10.78	5535	4878	9.34	4132	7.92
HPW238	43569	30737	70.55	30558	29064	66.71	16958	38.92
HPW239	28751	21043	73.19	20831	20115	69.96	11173	38.86
HPW240	40898	30003	73.36	29871	29461	72.04	19356	47.33
HPW241	39501	28353	71.78	28245	27499	69.62	14208	35.97
HPW242	48590	3477	7.16	3368	2928	6.03	2928	6.03
HPW243	19102	13112	68.64	12966	12075	63.21	6643	34.78
HPW244	34592	2637	7.62	2528	1992	5.76	1992	5.76
HPW245	41685	4214	10.11	4009	3157	7.57	3157	7.57
HPW246	32472	22903	70.53	22728	21825	67.21	13544	41.71
HPW247	29480	20437	69.32	20278	19423	65.89	10848	36.8
HPW248	47864	3585	7.49	3438	2796	5.84	2796	5.84
HPW249	63689	4342	6.82	4244	3552	5.58	3545	5.57
HPW250	39196	29050	74.11	28889	27965	71.35	15256	38.92
HPW251	60061	5487	9.14	5387	4400	7.33	4400	7.33
HPW252	20312	13750	67.69	13641	12590	61.98	7264	35.76
HPW253	55219	3519	6.37	3420	2564	4.64	2556	4.63
HPW254	36076	9797	27.16	9641	5494	15.23	5231	14.5
HPW255	25835	18240	70.6	18115	17027	65.91	10111	39.14
HPW256	21851	14373	65.78	14244	12293	56.26	7214	33.01
HPW257	39684	28575	72.01	28411	27178	68.49	17625	44.41
HPW258	69866	4423	6.33	4349	3594	5.14	3586	5.13
HPW259	39493	29560	74.85	29376	27177	68.81	14859	37.62
HPW260	28283	20398	72.12	20215	19505	68.96	11037	39.02
HPW261	28127	20183	71.76	19986	19144	68.06	11066	39.34
HPW262	43627	30934	70.91	30727	29159	66.84	17224	39.48
HPW263	64116	2978	4.64	2896	2619	4.08	2619	4.08
HPW264	63051	4127	6.55	4039	3665	5.81	3656	5.8
HPW265	23033	15265	66.27	15153	14037	60.94	8106	35.19
HPW266	32727	23543	71.94	23383	22242	67.96	12334	37.69
HPW267	24435	15111	61.84	14876	13839	56.64	8208	33.59
HPW268	37324	26938	72.17	26753	25977	69.6	14610	39.14
HPW269	46023	32323	70.23	32191	31368	68.16	17971	39.05
HPW270	1046	59	5.64	23	17	1.63	17	1.63
HPW271	144901	104351	72.02	104001	99626	68.75	54813	37.83
HPW272	50538	36119	71.47	35979	35468	70.18	19382	38.35
HPW273	79582	5221	6.56	5071	3906	4.91	3906	4.91
HPW274	31093	21587	69.43	21439	20098	64.64	12779	41.1
HPW275	46721	19578	41.9	19148	17460	37.37	17291	37.01
HPW276	30830	21386	69.37	21259	19963	64.75	11528	37.39
HPW277	72062	13369	18.55	13201	12350	17.14	11657	16.18
HPW278	60389	3942	6.53	3849	3158	5.23	3158	5.23
HPW279	28064	18480	65.85	18303	16379	58.36	9829	35.02
HPW280	37912	26608	70.18	26464	24978	65.88	13735	36.23
HPW281	58525	42388	72.43	42243	40377	68.99	23311	39.83
HPW282	44262	3954	8.93	3833	3049	6.89	2471	5.58
HPW283	40726	29734	73.01	29612	28617	70.27	16125	39.59
HPW284	51674	6866	13.29	6667	5264	10.19	4690	9.08
HPW285	56724	4406	7.77	4301	3659	6.45	3653	6.44
HPW286	38493	28565	74.21	28405	27657	71.85	16316	42.39
HPW287	36206	27476	75.89	27268	26494	73.18	14831	40.96
HPW288	45363	33560	73.98	33360	32486	71.61	18630	41.07
HPW289	58737	41309	70.33	41103	37944	64.6	21016	35.78
HPW290	33551	23532	70.14	23337	21677	64.61	12042	35.89
HPW291	60755	41719	68.67	41611	41235	67.87	36012	59.27
HPW292	18995	12188	64.16	11998	11056	58.2	6203	32.66
HPW293	47966	3166	6.6	3075	2531	5.28	2531	5.28
HPW294	42574	32247	75.74	31874	30671	72.04	20022	47.03
HPW295	35965	25983	72.25	25792	24465	68.02	14295	39.75
HPW296	28654	20054	69.99	19975	19345	67.51	11063	38.61
HPW301	69262	4996	7.21	4848	4449	6.42	4444	6.42
HPW302	96340	4455	4.62	4371	4034	4.19	2881	2.99
HPW303	45464	21776	47.9	21693	21252	46.74	11616	25.55
HPW304	86546	3486	4.03	3384	3111	3.59	3111	3.59
HPW305	29036	2979	10.26	2844	1847	6.36	1492	5.14
HPW306	27791	20290	73.01	20133	19460	70.02	10802	38.87
HPW307	44661	2459	5.51	2369	1891	4.23	1891	4.23
HPW308	51874	37042	71.41	36111	33050	63.71	29581	57.02
HPW309	37782	2804	7.42	2733	2552	6.75	2552	6.75
HPW310	48420	9329	19.27	9224	8748	18.07	8738	18.05
HPW311	40380	30146	74.66	30011	28733	71.16	16111	39.9
HPW312	24850	17885	71.97	17694	17014	68.47	9285	37.36
HPW313	49436	36033	72.89	35825	34242	69.27	21156	42.79
HPW314	33037	23091	69.89	22886	20918	63.32	11800	35.72
HPW315	60001	40623	67.7	40299	38738	64.56	22032	36.72
HPW316	81639	7346	9	7256	6274	7.69	5363	6.57
HPW317	37392	3659	9.79	3528	3056	8.17	2910	7.78
HPW318	47375	28340	59.82	28164	26965	56.92	15635	33
HPW319	69610	3873	5.56	3803	3189	4.58	3170	4.55
HPW320	28300	17594	62.17	17436	17087	60.38	12952	45.77
HPW321	77915	45478	58.37	45302	44559	57.19	27478	35.27
HPW322	65610	2912	4.44	2862	2613	3.98	2613	3.98
